Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,179.34M,-,7.54,4.96,10.37,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-5.43%,341.02%,391.45%,12.78%,36.34%,42.51%,145.68%,305.42%,-70.67%,412.68%,-70.67%,846.62%,57.39,-1.39%,0.08,5.79,0.75%,147547
AAIC,Real Estate,126.00M,-,70.00,0.68,14.16,5.94,34.66M,32.37M,37.80%,2.90%,4.03,-2.70%,-24.60%,-,3.50,7.36%,2.07%,-40.39%,4.65%,3.32%,6.73%,6.16%,31.91%,-1.73%,15.11%,-40.49%,187.79%,63.35,-1.02%,1.26,4.03,2.26%,90580
AAME,Financial,98.56M,158.79,0.53,0.84,11.07,20.97,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-8.07%,118.33%,137.10%,14.74%,28.17%,32.18%,77.49%,134.62%,-67.94%,152.22%,-67.94%,224.05%,62.86,-1.34%,0.10,5.12,-2.29%,68376
AAU,Basic Materials,100.81M,-,-,1.72,37.34,-,119.16M,114.95M,5.90%,0.78%,0.17,-4.20%,-4.60%,9.50,0.04,-16.90%,45.86%,81.64%,11.91%,14.29%,13.73%,31.36%,22.53%,-27.96%,92.11%,-30.28%,307.59%,56.58,2.46%,0.80,0.86,6.72%,1283724
ABEO,Healthcare,275.18M,-,39.31,2.00,2.84,-,93.77M,84.15M,36.10%,3.42%,0.78,-47.00%,-62.00%,2.70,0.02,-26.79%,14.95%,-39.71%,19.99%,14.85%,-3.17%,20.43%,10.29%,-35.90%,72.29%,-44.02%,145.52%,49.81,1.22%,1.05,2.43,-1.24%,1193761
ABEV,Consumer Defensive,43.43B,15.68,-,2.80,-,-,15.73B,4.39B,8.62%,1.72%,3.31,-,-,-,-,-2.47%,-10.10%,-22.82%,2.68%,3.04%,-3.06%,-6.55%,7.92%,-13.28%,0.91%,-23.23%,49.89%,42.48,-0.36%,0.48,2.78,0.54%,3398007
ABIO,Healthcare,44.46M,-,-,0.56,0.87,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-7.17%,-1.89%,-10.38%,6.42%,6.13%,0.92%,6.90%,-9.60%,-13.87%,19.62%,-78.47%,114.34%,51.63,0.21%,1.89,4.74,1.65%,465212
ABUS,Healthcare,367.61M,-,60.26,-,3.11,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-3.39%,5.16%,30.89%,6.75%,7.77%,9.14%,11.41%,44.18%,-23.15%,32.68%,-49.99%,412.62%,58.28,1.40%,0.55,4.51,5.40%,684903
ACCO,Industrials,781.19M,10.58,0.45,1.07,9.10,6.89,94.50M,91.78M,94.30%,4.14%,7.60,2.80%,10.30%,1.60,1.26,-10.64%,-5.84%,-13.37%,4.32%,3.64%,-6.60%,-6.13%,14.49%,-15.06%,1.88%,-15.94%,131.34%,38.89,0.12%,2.14,8.12,-1.34%,329444
ACER,Healthcare,52.05M,-,-,3.85,8.39,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-14.43%,-19.17%,-31.24%,9.76%,10.61%,-6.48%,14.03%,15.51%,-24.69%,56.52%,-50.34%,233.33%,49.46,0.86%,0.18,3.60,2.86%,47842
ACIU,Healthcare,584.15M,-,32.82,2.17,2.11,-,71.93M,37.91M,29.90%,2.83%,1.15,-22.10%,-24.20%,18.10,0.01,8.21%,27.99%,-7.59%,22.43%,12.88%,13.39%,30.96%,24.60%,-35.92%,66.53%,-38.38%,96.81%,59.29,2.91%,2.50,8.01,1.26%,722501
ACOR,Healthcare,65.77M,1.29,0.40,1.05,1.04,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,-7.03%,-13.68%,-32.94%,5.85%,8.24%,-6.63%,17.82%,45.08%,-21.36%,102.08%,-35.88%,168.70%,49.74,0.29%,0.24,6.81,-1.02%,88428
ACRX,Healthcare,237.60M,-,45.69,-,5.51,-,113.81M,88.85M,25.60%,12.35%,2.01,-60.70%,85.50%,2.90,-,-18.18%,-8.09%,44.97%,9.61%,11.93%,-5.33%,21.60%,46.35%,-25.22%,90.35%,-25.22%,213.46%,50.39,0.93%,0.61,2.20,1.79%,1025302
ACST,Healthcare,163.83M,33.80,2022.54,5.53,-,-,179.50M,176.13M,1.66%,1.27%,0.04,-,-,-,-,-23.94%,43.19%,62.98%,11.60%,15.87%,20.15%,74.60%,101.89%,-16.39%,318.03%,-16.39%,496.49%,60.80,2.96%,0.87,1.02,11.76%,13940672
ACTG,Industrials,386.80M,35.20,14.82,1.93,1.28,128.93,48.47M,46.31M,69.30%,2.59%,1.28,4.00%,7.30%,2.60,0.57,-0.75%,42.68%,235.71%,8.21%,9.96%,24.71%,63.23%,114.41%,0.35%,145.11%,0.35%,387.43%,78.26,0.38%,3.91,8.53,6.76%,1131774
ACY,Industrials,15.02M,-,0.86,-,3.06,2.50,1.55M,1.20M,4.50%,3.83%,0.03,-26.30%,-414.20%,-,-,-5.06%,17.61%,119.15%,9.24%,17.71%,-4.80%,25.68%,163.10%,-74.71%,358.10%,-74.71%,1251.82%,50.59,-1.54%,0.02,9.62,-1.33%,9320
ADAP,Healthcare,941.19M,-,294.12,2.46,2.35,-,154.67M,11.25M,84.40%,12.77%,0.90,-33.70%,-44.90%,12.20,0.00,-11.67%,0.67%,50.25%,10.33%,8.41%,1.06%,10.25%,-13.97%,-16.76%,61.21%,-54.40%,205.50%,50.84,1.00%,0.99,6.11,2.17%,487295
ADES,Industrials,113.38M,-,1.91,1.28,7.56,3.02,18.09M,17.94M,63.60%,4.58%,6.93,-14.50%,-24.20%,1.40,0.35,4.73%,10.33%,-52.12%,6.09%,6.09%,11.21%,10.42%,24.09%,-1.92%,32.18%,-51.54%,73.90%,62.08,0.33%,3.04,6.12,2.34%,111096
ADIL,Healthcare,41.06M,-,-,5.69,5.55,-,13.65M,11.64M,9.90%,2.97%,0.55,-121.30%,-132.80%,7.50,0.00,2.42%,46.53%,83.77%,10.48%,11.35%,11.93%,33.03%,64.88%,-12.41%,80.63%,-27.75%,189.00%,61.63,-0.34%,0.71,2.89,-2.36%,138986
ADMA,Healthcare,258.51M,-,6.41,3.26,4.33,-,87.70M,70.91M,54.90%,13.61%,2.40,-37.20%,-98.80%,8.50,1.36,-8.33%,17.86%,-31.78%,7.22%,7.61%,4.37%,16.78%,6.89%,-13.68%,40.32%,-36.07%,85.17%,57.65,1.89%,1.01,2.68,1.70%,1247711
ADMP,Healthcare,183.52M,-,9.97,3.75,14.80,-,140.28M,92.57M,5.30%,5.48%,0.26,-78.50%,-115.90%,1.30,0.19,-18.18%,67.70%,94.41%,10.29%,16.96%,-0.69%,50.47%,81.68%,-40.17%,197.87%,-40.17%,418.52%,55.69,1.48%,0.37,1.40,3.70%,2197602
ADMS,Healthcare,171.24M,-,2.45,-,1.85,-,28.38M,27.75M,63.00%,6.39%,3.30,-43.50%,328.40%,3.90,-,-7.69%,27.43%,3.04%,7.27%,11.76%,1.34%,14.07%,45.20%,-36.17%,42.09%,-36.17%,207.37%,54.13,1.04%,0.40,5.84,1.39%,66718
ADT,Industrials,7.60B,-,1.44,2.30,15.54,11.79,769.24M,691.77M,95.70%,2.39%,4.17,-3.70%,-19.70%,0.90,3.10,0.54%,5.86%,30.06%,3.09%,5.05%,2.25%,8.59%,11.75%,-10.52%,24.17%,-44.63%,179.88%,58.77,0.00%,0.50,9.53,1.49%,613086
ADTX,Healthcare,59.50M,-,-,2.26,4.34,-,13.97M,9.25M,6.80%,10.77%,0.24,-133.80%,-596.90%,18.90,0.00,2.20%,75.31%,-,18.51%,19.32%,7.49%,42.98%,41.72%,-39.82%,112.03%,-57.73%,149.99%,56.57,0.00%,0.13,4.05,-3.35%,167259
ADXS,Healthcare,137.45M,-,458.16,2.79,5.45,-,70.13M,-,17.50%,-,0.37,-60.50%,-76.40%,8.50,0.00,5.26%,67.22%,12.15%,18.54%,14.09%,33.92%,96.70%,127.56%,-20.49%,324.45%,-20.49%,373.02%,67.18,0.00%,0.61,1.25,4.02%,2763368
AEF,Financial,457.27M,-,33.07,1.27,-,-,50.75M,-,63.43%,-,0.31,-,-,-,-,0.67%,5.26%,19.35%,1.19%,1.39%,4.55%,8.64%,31.62%,0.89%,17.26%,0.89%,108.66%,70.52,0.11%,0.71,9.13,1.33%,16472
AEG,Financial,9.69B,1137.50,0.16,0.29,0.72,-,2.05B,1.81B,8.10%,0.16%,1.31,-,-,-,0.42,4.36%,6.56%,12.62%,1.98%,1.72%,10.10%,15.86%,46.96%,1.72%,33.99%,1.72%,162.78%,68.86,3.30%,1.16,4.73,3.96%,772603
AEHL,Industrials,12.20M,-,-,-,-,-,3.05M,2.19M,0.87%,4.92%,0.13,-,-,-,-,10.50%,47.06%,100.23%,16.73%,15.39%,53.77%,74.01%,106.53%,-3.17%,129.58%,-7.91%,526.92%,72.62,3.75%,6.14,4.89,22.25%,1525473
AEHR,Technology,80.98M,-,5.95,7.33,23.82,-,23.40M,20.19M,23.10%,0.78%,0.29,-23.10%,-33.50%,3.20,0.16,14.63%,49.78%,39.83%,13.92%,10.15%,23.09%,36.08%,74.39%,-8.33%,65.83%,-8.33%,200.00%,66.85,-2.67%,1.53,3.30,-2.08%,253570
AEMD,Healthcare,31.29M,-,39.12,2.72,2.59,-,12.09M,11.78M,6.10%,4.89%,0.26,-54.30%,-59.30%,10.00,0.00,-15.26%,2.35%,-6.12%,11.13%,11.40%,2.12%,11.15%,46.87%,-15.56%,72.18%,-28.91%,124.70%,52.69,1.15%,0.15,2.65,1.59%,102294
AESE,Communication Services,94.11M,-,4.09,1.61,16.23,-,29.63M,18.53M,1.80%,1.65%,0.10,-46.50%,-74.10%,1.00,0.17,-23.72%,28.65%,-15.60%,14.33%,16.39%,9.99%,35.60%,40.51%,-31.20%,142.15%,-58.42%,517.47%,56.30,2.52%,0.87,2.47,3.78%,782945
AEY,Technology,37.80M,-,0.77,2.79,7.00,-,12.15M,5.56M,4.90%,4.31%,0.84,-53.30%,-119.70%,1.80,0.48,-4.39%,12.76%,-10.04%,8.48%,7.17%,7.08%,6.28%,33.89%,-20.28%,27.07%,-47.92%,125.33%,57.67,2.14%,0.31,3.38,3.36%,27297
AEZS,Healthcare,87.25M,-,67.11,5.19,4.02,-,62.68M,62.63M,21.40%,8.12%,0.31,-21.50%,-125.80%,13.00,0.01,-26.70%,101.73%,2.94%,10.50%,25.75%,17.63%,88.27%,141.53%,-58.01%,333.05%,-58.01%,424.14%,54.24,5.00%,1.29,1.52,8.57%,6550299
AFI,Industrials,80.95M,-,0.14,0.34,3.65,-,21.96M,20.95M,75.20%,2.38%,2.08,-11.10%,-22.10%,1.90,0.29,-24.95%,-7.33%,11.47%,8.45%,7.82%,-11.27%,-3.66%,9.28%,-28.19%,20.96%,-30.88%,245.59%,42.59,0.00%,2.05,3.87,2.13%,151321
AFIF,Financial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.41%,-0.36%,-0.05%,0.34%,0.35%,-0.40%,-0.56%,-0.92%,-1.22%,0.21%,-9.84%,6.59%,40.84,0.00%,0.06,9.71,-0.21%,1608
AFIN,Real Estate,880.81M,-,2.90,0.57,10.21,-,108.43M,108.35M,49.90%,3.24%,6.59,-1.20%,-2.60%,-,0.00,2.71%,6.93%,-35.58%,2.94%,3.12%,7.22%,8.87%,15.60%,-2.42%,17.01%,-36.77%,101.43%,64.66,0.24%,0.45,8.46,1.56%,73902
AFMD,Healthcare,646.79M,-,23.69,9.30,5.48,-,86.03M,82.40M,47.30%,9.10%,4.28,-37.70%,-100.40%,2.20,0.05,2.33%,-11.65%,123.27%,4.51%,6.68%,-0.30%,-4.46%,38.82%,-19.12%,9.21%,-19.12%,326.06%,48.16,0.00%,0.68,6.05,-1.47%,368261
AGE,Healthcare,91.04M,-,47.92,-,82.76,-,37.68M,21.21M,18.40%,1.72%,1.13,-207.10%,964.50%,0.40,-,-12.96%,25.00%,66.67%,7.64%,9.62%,9.67%,25.65%,75.41%,-23.53%,56.00%,-40.46%,251.35%,58.00,0.85%,0.74,2.34,-0.43%,73860
AGEN,Healthcare,853.15M,-,9.33,-,7.48,-,182.67M,170.64M,56.10%,14.62%,8.65,-95.70%,82.80%,0.90,-,-14.01%,25.93%,0.68%,6.37%,9.79%,4.00%,20.16%,20.03%,-23.87%,46.60%,-23.87%,148.90%,56.64,-0.45%,0.67,4.53,2.49%,596167
AGFS,Consumer Defensive,131.00M,-,0.79,0.46,5.22,5.16,51.00M,30.24M,73.30%,2.57%,4.32,-9.70%,-25.00%,2.70,0.98,-6.54%,20.30%,-1.62%,6.47%,7.07%,9.09%,7.27%,-2.00%,-14.89%,32.79%,-42.14%,143.00%,57.90,0.00%,0.31,2.43,0.00%,17062
AGI,Basic Materials,3.01B,29.46,4.25,1.09,-,-,392.73M,391.00M,74.64%,0.82%,1.08,-,-,-,-,-7.04%,-3.28%,17.30%,4.25%,4.23%,-6.12%,-12.02%,-16.55%,-23.76%,-1.25%,-35.02%,125.30%,35.08,0.91%,1.01,7.53,-1.76%,919499
AGLE,Healthcare,343.80M,-,-,3.29,2.46,-,62.24M,46.72M,94.00%,3.98%,8.28,-66.90%,-81.40%,10.10,0.00,-6.13%,-8.75%,-12.41%,5.45%,5.37%,-0.10%,-5.99%,-6.92%,-24.03%,12.92%,-34.71%,112.29%,46.44,0.14%,0.40,7.43,3.19%,27570
AGRO,Consumer Defensive,970.42M,-,1.13,1.15,4.54,3.37,117.74M,117.34M,73.30%,0.67%,2.52,-1.60%,-4.30%,1.80,1.31,-0.36%,2.11%,1.99%,2.36%,3.06%,4.90%,14.76%,54.88%,-2.34%,43.13%,-2.34%,151.66%,66.72,0.00%,0.36,8.33,1.46%,34477
AGRX,Healthcare,291.13M,-,-,4.34,4.05,-,87.35M,67.10M,49.90%,3.55%,1.95,-45.90%,-56.80%,10.20,0.24,-3.51%,15.38%,-9.84%,8.12%,6.27%,9.68%,14.46%,17.44%,-9.55%,24.91%,-14.75%,152.59%,59.04,2.12%,0.72,3.41,3.33%,272493
AGS,Consumer Cyclical,239.85M,-,1.21,3.87,2.12,11.26,35.65M,35.49M,79.60%,2.27%,1.77,-8.70%,-69.80%,4.80,10.02,7.45%,15.72%,-33.78%,6.98%,6.97%,21.26%,17.14%,61.09%,-2.02%,53.49%,-32.28%,935.52%,68.18,0.58%,0.34,7.26,4.91%,47371
AGTC,Healthcare,297.37M,-,121.23,4.57,5.60,-,25.88M,21.58M,37.20%,6.09%,0.57,-62.30%,-89.20%,3.90,0.24,41.94%,55.53%,31.71%,26.34%,12.88%,35.58%,47.77%,38.04%,-26.78%,85.34%,-26.78%,209.17%,66.19,1.50%,4.26,7.08,-3.15%,3009294
AHC,Communication Services,49.40M,-,0.31,1.01,1.14,-,21.41M,18.34M,55.70%,0.18%,0.29,-4.60%,-11.70%,2.80,0.00,-1.26%,23.04%,-12.31%,5.85%,11.34%,1.68%,23.84%,41.82%,-26.88%,66.23%,-26.88%,79.12%,55.82,0.00%,1.01,2.31,-1.68%,35937
AHPI,Healthcare,24.62M,-,0.72,2.89,-,-,4.01M,2.81M,7.10%,15.99%,0.72,-14.50%,-27.80%,1.50,0.40,-15.14%,-0.95%,200.48%,15.35%,13.52%,-7.28%,9.10%,-14.09%,-28.86%,42.28%,-85.77%,223.36%,48.12,2.55%,0.62,6.40,1.95%,118154
AHT,Real Estate,222.34M,-,0.29,-,1.84,-,68.94M,14.03M,7.30%,13.83%,0.24,-11.20%,-753.10%,-,-,7.12%,22.26%,-86.48%,8.81%,10.97%,22.28%,26.38%,-7.50%,-11.86%,79.62%,-85.39%,198.43%,65.54,0.00%,2.44,3.79,9.54%,6089785
AIH,Healthcare,149.94M,-,1.25,2.27,14.56,-,23.61M,23.61M,4.10%,0.06%,0.10,-19.30%,-44.50%,0.50,1.34,2.20%,33.83%,-12.40%,8.31%,8.09%,18.17%,31.84%,24.70%,-6.69%,62.09%,-34.60%,82.94%,67.21,1.85%,1.52,6.97,3.34%,67135
AIHS,Financial,74.97M,-,10.27,12.15,17.04,-,37.80M,34.93M,0.90%,0.16%,0.02,-80.70%,-358.10%,0.70,1.90,-3.07%,22.48%,138.10%,9.67%,12.33%,9.65%,29.45%,95.95%,-9.21%,79.69%,-26.60%,563.46%,59.38,6.33%,6.96,1.73,9.18%,6856768
AIKI,Healthcare,43.71M,-,4856.13,1.86,1.60,-,34.99M,32.96M,13.10%,3.57%,0.08,-49.20%,-50.70%,59.60,0.00,-3.75%,40.00%,55.69%,19.87%,16.48%,4.33%,46.66%,102.58%,-34.31%,203.17%,-69.32%,259.75%,53.87,3.25%,3.32,1.67,8.77%,15898960
AIM,Healthcare,99.15M,-,495.76,1.61,2.50,-,40.69M,40.23M,6.30%,4.73%,0.51,-26.30%,-30.40%,50.00,0.03,-11.70%,18.57%,137.14%,7.83%,9.46%,6.90%,19.73%,10.38%,-17.22%,48.13%,-64.37%,153.30%,55.66,0.80%,0.39,2.53,1.73%,449491
AINC,Financial,21.81M,-,0.06,-,0.32,0.48,2.31M,1.29M,17.90%,0.83%,0.04,-36.80%,217.30%,0.70,-,0.81%,3.67%,-62.71%,6.72%,7.27%,11.27%,25.54%,23.39%,-21.46%,81.17%,-62.24%,98.89%,63.06,3.54%,0.10,8.95,2.17%,7575
AIRI,Industrials,66.15M,-,1.35,5.54,44.10,-,30.62M,24.74M,23.70%,0.42%,0.11,-4.10%,-19.50%,1.30,2.57,5.13%,38.51%,29.75%,15.45%,11.70%,18.16%,37.53%,61.52%,-18.70%,72.41%,-18.70%,233.32%,69.95,-0.49%,2.00,2.00,-2.44%,562991
AIV,Real Estate,711.55M,4.58,0.80,0.33,3.12,6.82,147.53M,147.50M,98.87%,6.61%,0.81,2.20%,8.40%,-,2.08,-2.85%,-1.44%,-18.13%,2.53%,3.14%,0.06%,-0.01%,15.73%,-25.69%,13.62%,-25.69%,82.45%,49.37,0.42%,0.18,4.82,0.73%,661352
AKBA,Healthcare,644.65M,-,2.09,1.94,2.39,-,143.32M,142.95M,81.20%,19.20%,4.20,-52.50%,-105.70%,2.20,0.00,-6.71%,37.26%,-55.52%,8.17%,9.92%,9.31%,29.36%,-34.24%,-13.81%,63.47%,-67.69%,111.96%,57.85,1.16%,0.65,4.43,2.78%,1311412
AKER,Healthcare,34.27M,-,21.73,1.42,1.48,-,7.63M,7.45M,21.20%,7.55%,0.55,-114.30%,-136.30%,9.20,0.00,-2.96%,55.95%,18.37%,21.68%,13.09%,14.77%,42.53%,20.29%,-29.20%,91.73%,-58.08%,139.35%,57.49,-0.76%,0.96,3.71,-5.60%,301786
