Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,178.41M,-,7.50,4.93,10.31,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-9.64%,372.73%,420.00%,17.33%,36.32%,78.86%,191.08%,347.17%,-69.40%,434.81%,-69.40%,887.48%,58.50,0.87%,0.27,6.04,5.65%,1373401
AAIC,Real Estate,124.40M,-,69.11,0.67,13.98,5.87,34.66M,32.37M,37.80%,2.90%,4.07,-2.70%,-24.60%,-,3.50,5.42%,-1.52%,-34.07%,3.10%,2.91%,7.82%,7.66%,33.43%,-0.98%,25.00%,-40.18%,189.29%,68.04,0.00%,2.35,4.05,4.12%,485325
AAME,Financial,107.41M,173.03,0.57,0.91,12.07,22.85,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,9.81%,153.78%,192.82%,31.08%,27.10%,57.22%,99.91%,152.95%,-66.31%,166.34%,-66.31%,240.51%,67.66,-2.63%,0.28,5.38,-5.78%,533358
AAU,Basic Materials,112.00M,-,-,1.91,41.48,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,20.79%,38.46%,103.94%,15.08%,14.94%,32.18%,44.33%,34.68%,-21.58%,109.13%,-24.10%,343.71%,63.63,6.67%,1.48,0.94,4.57%,6489555
ABEO,Healthcare,331.11M,-,47.30,2.41,3.42,-,93.77M,84.15M,36.10%,3.42%,0.85,-47.00%,-62.00%,2.70,0.02,14.73%,65.36%,-4.21%,23.71%,13.90%,13.61%,40.79%,25.05%,-27.44%,95.02%,-36.64%,177.92%,58.17,1.35%,1.97,2.75,-7.09%,6007375
ABEV,Consumer Defensive,43.90B,15.85,-,2.83,-,-,15.73B,4.39B,8.62%,1.72%,3.29,-,-,-,-,-4.45%,-9.42%,-22.82%,2.63%,3.04%,-0.86%,-3.31%,12.11%,-10.31%,5.57%,-22.89%,55.03%,47.88,0.36%,0.72,2.87,2.87%,14784827
ABIO,Healthcare,49.42M,-,-,0.62,0.97,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,11.16%,13.85%,-5.47%,7.16%,5.88%,10.41%,16.85%,-1.74%,-6.73%,29.54%,-76.68%,132.13%,65.65,2.51%,1.87,5.13,-0.97%,1233715
ABUS,Healthcare,371.90M,-,60.97,-,3.14,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,4.34%,7.18%,32.01%,11.44%,7.86%,8.85%,10.35%,44.16%,-24.36%,30.59%,-50.78%,404.55%,58.13,2.77%,0.55,4.44,2.54%,2013065
ACCO,Industrials,854.28M,11.57,0.49,1.17,9.96,7.54,94.50M,91.78M,94.30%,4.14%,7.42,2.80%,10.30%,1.60,1.26,1.58%,2.62%,-11.24%,3.71%,3.32%,1.19%,2.44%,25.09%,-7.48%,15.62%,-16.71%,151.99%,52.29,0.11%,0.38,8.85,-1.72%,176883
ACER,Healthcare,57.10M,-,-,4.22,9.21,-,11.51M,11.21M,31.80%,2.37%,0.32,-128.70%,-161.00%,1.60,0.00,-3.76%,33.33%,-17.77%,11.27%,14.81%,-0.49%,25.40%,25.32%,-18.83%,68.70%,-46.48%,259.26%,56.23,1.04%,0.46,3.88,1.04%,341743
ACH,Basic Materials,8.66B,-,0.31,0.71,4.31,16.11,680.91M,429.49M,1.60%,0.01%,0.40,0.00%,-0.10%,0.70,1.85,8.78%,-1.01%,20.05%,1.34%,1.66%,16.20%,11.33%,47.38%,-0.92%,28.40%,-2.31%,111.30%,68.52,10.57%,1.75,9.72,10.45%,152159
