Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,184.02M,-,7.73,5.09,10.64,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,0.85%,368.25%,413.04%,12.10%,36.54%,74.62%,184.17%,336.56%,-70.13%,422.12%,-70.13%,864.05%,58.09,0.87%,0.27,5.90,3.15%,1541353
AAIC,Real Estate,129.84M,-,72.13,0.70,14.59,6.12,34.66M,32.37M,37.80%,2.90%,4.07,-2.70%,-24.60%,-,3.50,8.56%,2.27%,-30.60%,4.01%,3.13%,8.08%,7.93%,33.76%,-0.73%,25.31%,-40.03%,190.00%,68.40,0.00%,2.32,4.06,4.37%,534474
AAME,Financial,101.20M,163.03,0.54,0.86,11.37,21.53,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-17.23%,142.34%,166.34%,18.11%,27.36%,57.22%,99.90%,152.94%,-66.31%,166.34%,-66.31%,240.51%,67.66,-2.63%,0.27,5.38,-5.78%,555275
AAU,Basic Materials,116.97M,-,-,2.00,43.32,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,18.94%,48.88%,111.24%,15.61%,13.96%,32.03%,44.16%,34.52%,-21.67%,108.89%,-24.19%,343.19%,63.58,6.67%,1.47,0.94,4.44%,7182229
ABEO,Healthcare,304.26M,-,43.47,2.21,3.14,-,93.77M,84.15M,36.10%,3.42%,0.85,-47.00%,-62.00%,2.70,0.02,-19.76%,37.37%,-14.20%,19.80%,13.98%,12.37%,39.26%,23.68%,-28.23%,92.89%,-37.33%,174.89%,57.38,1.35%,2.11,2.72,-8.11%,7163790
ABEV,Consumer Defensive,45.32B,16.36,-,2.92,-,-,15.73B,4.39B,8.62%,1.72%,3.29,-,-,-,-,1.77%,-9.43%,-22.01%,2.70%,3.06%,-0.52%,-2.98%,12.50%,-10.00%,5.94%,-22.62%,55.57%,48.54,0.36%,0.81,2.88,3.23%,18650237
ABIO,Healthcare,49.32M,-,-,0.62,0.97,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,4.87%,15.40%,-6.51%,6.40%,5.94%,11.27%,17.76%,-0.97%,-6.00%,30.55%,-76.50%,133.94%,67.31,2.51%,1.89,5.17,-0.19%,1391119
ABUS,Healthcare,385.65M,-,63.22,-,3.26,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-7.23%,11.41%,34.03%,9.61%,7.96%,10.08%,11.59%,45.78%,-23.51%,32.06%,-50.22%,410.23%,59.10,2.77%,0.57,4.49,3.70%,2317808
ACCO,Industrials,838.14M,11.35,0.48,1.15,9.77,7.40,94.50M,91.78M,94.30%,4.14%,7.42,2.80%,10.30%,1.60,1.26,-4.95%,-0.11%,-9.53%,3.35%,3.35%,1.02%,2.27%,24.88%,-7.64%,15.42%,-16.85%,151.57%,51.96,0.11%,0.61,8.83,-1.89%,310725
ACER,Healthcare,56.65M,-,-,4.19,9.14,-,11.51M,11.21M,31.80%,2.37%,0.32,-128.70%,-161.00%,1.60,0.00,-4.51%,33.22%,-18.94%,10.57%,14.75%,-2.28%,23.14%,23.06%,-20.29%,65.65%,-47.45%,252.78%,54.64,1.04%,0.50,3.81,-0.78%,415974
ACH,Basic Materials,9.54B,-,0.34,0.78,4.75,17.74,680.91M,429.49M,1.60%,0.01%,0.40,0.00%,-0.10%,0.70,1.85,12.94%,11.00%,33.47%,1.30%,1.68%,15.84%,10.98%,46.92%,-1.22%,28.01%,-2.61%,110.65%,68.23,10.57%,2.19,9.69,10.11%,212117
ACIU,Healthcare,584.89M,-,32.86,2.18,2.11,-,71.93M,37.91M,29.90%,2.83%,1.26,-22.10%,-24.20%,18.10,0.01,3.53%,29.41%,-7.04%,19.29%,12.09%,17.63%,33.28%,23.53%,-36.64%,64.66%,-39.08%,94.59%,64.27,1.95%,1.37,7.92,-3.30%,1168147
ACOR,Healthcare,71.22M,1.40,0.43,1.13,1.13,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,-1.46%,16.95%,-30.63%,7.22%,9.19%,1.47%,32.24%,59.60%,-13.97%,121.07%,-43.14%,193.96%,60.15,1.20%,0.37,7.45,-1.06%,434467
ACRX,Healthcare,253.00M,-,48.65,-,5.87,-,113.81M,88.85M,25.60%,12.35%,2.13,-60.70%,85.50%,2.90,-,-11.20%,23.66%,43.75%,12.05%,14.22%,-0.30%,30.49%,54.16%,-21.77%,99.13%,-21.77%,227.92%,53.67,-0.80%,2.08,2.30,-8.37%,10694615
ACST,Healthcare,197.45M,40.74,2437.60,6.67,-,-,179.50M,176.13M,1.66%,1.27%,0.05,-,-,-,-,22.22%,73.26%,92.98%,16.51%,15.93%,38.03%,102.65%,120.46%,-9.84%,350.82%,-9.84%,543.27%,69.15,5.83%,1.19,1.10,6.80%,58262885
ACTG,Industrials,380.50M,34.63,14.58,1.90,1.26,126.83,48.47M,46.31M,69.30%,2.59%,1.37,4.00%,7.30%,2.60,0.57,9.47%,54.42%,220.82%,10.27%,10.08%,21.60%,58.30%,101.76%,-7.53%,125.86%,-7.53%,349.14%,75.51,2.25%,1.63,7.86,-1.75%,1425136
ADAP,Healthcare,1.07B,-,332.98,2.79,2.66,-,154.67M,11.25M,84.40%,12.77%,0.93,-33.70%,-44.90%,12.20,0.00,-0.88%,10.98%,68.41%,8.19%,8.11%,13.78%,24.79%,-4.05%,-7.77%,78.63%,-49.48%,238.50%,63.77,1.53%,1.23,6.77,3.83%,1902706
