Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,178.41M,-,7.50,4.93,10.31,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-9.64%,372.73%,420.00%,17.33%,36.32%,70.18%,176.94%,325.46%,-70.89%,408.85%,-70.89%,839.54%,57.65,0.87%,0.16,5.75,0.52%,149331
AAIC,Real Estate,124.40M,-,69.11,0.67,13.98,5.87,34.66M,32.37M,37.80%,2.90%,4.07,-2.70%,-24.60%,-,3.50,5.42%,-1.52%,-34.07%,3.10%,2.91%,7.01%,6.86%,32.44%,-1.71%,24.07%,-40.62%,187.14%,66.87,0.00%,5.56,4.02,3.34%,207331
AAME,Financial,107.41M,173.03,0.57,0.91,12.07,22.85,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,9.81%,153.78%,192.82%,31.08%,27.10%,56.63%,99.16%,152.00%,-66.44%,165.35%,-66.44%,239.24%,67.40,-2.63%,0.30,5.36,-6.13%,101833
AAU,Basic Materials,112.00M,-,-,1.91,41.48,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,20.79%,38.46%,103.94%,15.08%,14.94%,36.24%,48.76%,38.82%,-19.17%,115.56%,-21.77%,357.33%,64.95,6.67%,2.70,0.97,7.78%,2133575
ABEO,Healthcare,331.11M,-,47.30,2.41,3.42,-,93.77M,84.15M,36.10%,3.42%,0.85,-47.00%,-62.00%,2.70,0.02,14.73%,65.36%,-4.21%,23.71%,13.90%,22.78%,52.16%,35.14%,-21.58%,110.76%,-31.52%,200.34%,64.66,1.35%,2.80,2.97,0.40%,1538417
ABEV,Consumer Defensive,43.90B,15.85,-,2.83,-,-,15.73B,4.39B,8.62%,1.72%,3.29,-,-,-,-,-4.45%,-9.42%,-22.82%,2.63%,3.04%,-1.90%,-4.32%,10.94%,-11.25%,4.47%,-23.70%,53.41%,45.80,0.36%,0.55,2.84,1.79%,2041008
ABIO,Healthcare,49.42M,-,-,0.62,0.97,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,11.16%,13.85%,-5.47%,7.16%,5.88%,12.21%,18.76%,-0.13%,-5.20%,31.66%,-76.30%,135.93%,68.42,2.51%,4.39,5.21,0.66%,523931
ABUS,Healthcare,371.90M,-,60.97,-,3.14,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,4.34%,7.18%,32.01%,11.44%,7.86%,12.04%,13.58%,48.38%,-22.15%,34.41%,-49.33%,419.32%,60.57,2.77%,1.36,4.57,5.54%,888944
ACCO,Industrials,854.28M,11.57,0.49,1.17,9.96,7.54,94.50M,91.78M,94.30%,4.14%,7.42,2.80%,10.30%,1.60,1.26,1.58%,2.62%,-11.24%,3.71%,3.32%,2.63%,3.90%,26.87%,-6.16%,17.27%,-15.53%,155.58%,55.23,0.11%,0.65,8.97,-0.32%,53785
ACER,Healthcare,57.10M,-,-,4.22,9.21,-,11.51M,11.21M,31.80%,2.37%,0.32,-128.70%,-161.00%,1.60,0.00,-3.76%,33.33%,-17.77%,11.27%,14.81%,-3.31%,21.85%,21.77%,-21.13%,63.91%,-48.00%,249.07%,53.65,1.04%,0.40,3.77,-1.82%,54436
ACH,Basic Materials,8.66B,-,0.31,0.71,4.31,16.11,680.91M,429.49M,1.60%,0.01%,0.40,0.00%,-0.10%,0.70,1.85,8.78%,-1.01%,20.05%,1.34%,1.66%,16.68%,11.79%,47.99%,-0.51%,28.93%,-1.91%,112.17%,68.89,10.57%,5.40,9.76,10.91%,84650
ACIU,Healthcare,604.83M,-,33.98,2.25,2.18,-,71.93M,37.91M,29.90%,2.83%,1.26,-22.10%,-24.20%,18.10,0.01,16.17%,41.45%,-3.08%,20.48%,12.08%,20.30%,36.31%,26.33%,-35.20%,68.40%,-37.69%,99.02%,67.06,1.95%,3.69,8.10,-1.10%,511404
ACOR,Healthcare,71.99M,1.42,0.44,1.15,1.14,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,2.45%,23.04%,-34.64%,7.11%,9.64%,3.72%,35.17%,63.14%,-12.06%,125.97%,-41.88%,200.47%,62.44,1.20%,0.26,7.62,1.13%,50073
ACRX,Healthcare,276.10M,-,53.10,-,6.41,-,113.81M,88.85M,25.60%,12.35%,2.13,-60.70%,85.50%,2.90,-,8.19%,26.13%,50.30%,12.10%,13.64%,-0.21%,30.61%,54.31%,-21.69%,99.32%,-21.69%,228.23%,53.74,-0.80%,3.69,2.30,-8.28%,3074724
ACST,Healthcare,184.88M,38.15,2282.48,6.24,-,-,179.50M,176.13M,1.66%,1.27%,0.05,-,-,-,-,34.64%,61.06%,77.89%,18.87%,16.27%,39.28%,104.49%,122.47%,-9.02%,354.92%,-9.02%,549.12%,69.49,5.83%,2.69,1.11,7.77%,21381329
