Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,453.92M,-,19.15,5.46,26.24,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,381.85%,418.85%,455.26%,113.33%,33.31%,174.40%,278.01%,397.45%,-69.22%,438.05%,-69.22%,893.46%,59.27,-2.69%,0.97,6.08,-3.95%,4751409
AAIC,Real Estate,123.69M,-,68.72,0.64,13.90,5.83,34.66M,32.45M,37.10%,2.82%,3.83,-2.70%,-24.60%,-,3.50,1.93%,-4.90%,-36.16%,3.27%,2.75%,-2.93%,-0.47%,22.90%,-9.54%,17.46%,-45.35%,164.29%,46.88,-0.27%,0.46,3.70,0.27%,98538
AAME,Financial,48.78M,157.58,0.26,0.83,5.48,10.38,20.44M,4.08M,5.40%,0.01%,0.00,0.30%,1.00%,-,0.26,118.49%,126.09%,173.68%,71.90%,21.29%,143.47%,164.79%,201.39%,-61.74%,202.48%,-61.74%,286.71%,90.77,-5.77%,5.45,6.11,17.50%,9274898
AAU,Basic Materials,85.52M,-,-,1.59,31.67,-,119.16M,114.95M,5.90%,0.52%,0.15,-4.20%,-4.60%,9.50,0.04,2.39%,42.30%,60.58%,15.80%,14.55%,23.77%,18.54%,14.50%,-34.42%,74.89%,-36.53%,271.05%,58.43,3.34%,1.24,0.79,5.62%,4544749
ABEO,Healthcare,242.39M,-,34.63,2.10,2.50,-,93.77M,84.15M,34.30%,2.02%,0.66,-47.00%,-62.00%,2.70,0.02,35.08%,50.88%,-2.27%,10.38%,9.99%,60.72%,86.29%,51.87%,26.34%,145.19%,-23.73%,234.51%,80.66,3.49%,6.51,3.31,28.29%,15086079
ABEV,Consumer Defensive,45.95B,16.59,-,2.96,-,-,15.73B,4.39B,8.62%,1.84%,3.30,-,-,-,-,4.66%,-4.89%,-22.96%,3.12%,3.28%,-5.38%,-5.09%,10.40%,-12.34%,9.46%,-29.27%,51.52%,42.76,-3.42%,1.39,2.81,-3.94%,30627980
ABIO,Healthcare,43.38M,-,-,0.56,0.85,-,9.32M,9.28M,7.20%,0.87%,0.15,-29.30%,-31.30%,34.00,0.00,10.95%,12.83%,-16.04%,5.33%,5.12%,10.58%,14.90%,-4.77%,2.11%,26.39%,-77.54%,123.62%,65.81,2.15%,6.65,4.94,6.05%,3145532
ABUS,Healthcare,353.21M,-,57.90,-,2.99,-,79.49M,63.55M,31.20%,6.38%,1.07,-76.20%,128.90%,15.90,-,9.79%,16.25%,29.69%,5.82%,7.46%,21.40%,21.26%,60.96%,-17.80%,41.91%,-46.51%,448.30%,69.55,3.13%,2.82,4.82,16.27%,9603209
ACCO,Industrials,836.30M,11.39,0.48,1.16,9.75,7.38,94.50M,91.78M,93.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,9.52%,0.23%,-3.80%,3.36%,3.37%,6.61%,8.13%,31.41%,1.38%,20.80%,-19.11%,162.25%,62.82,0.45%,0.40,9.20,3.89%,193741
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,9.32%,60.89%,-11.53%,8.71%,15.01%,11.22%,34.15%,30.30%,-16.84%,72.83%,-45.17%,268.06%,60.86,1.50%,1.25,3.97,-0.38%,883869
ACH,Basic Materials,7.90B,-,0.29,0.65,3.94,14.73,680.91M,429.49M,1.60%,0.00%,0.09,0.00%,-0.10%,0.70,1.85,5.75%,-11.49%,9.03%,1.54%,1.68%,2.44%,-1.71%,33.01%,-13.07%,14.27%,-13.07%,88.04%,54.31,7.29%,0.55,8.65,6.92%,48695
ACIU,Healthcare,515.07M,-,29.27,1.96,1.89,-,71.93M,37.91M,30.00%,3.25%,3.39,-22.10%,-24.20%,18.10,0.01,17.89%,27.03%,-26.18%,13.81%,9.60%,21.97%,34.41%,19.60%,-20.37%,59.25%,-41.08%,88.21%,70.00,1.56%,0.82,7.66,8.65%,269013
ACOR,Healthcare,67.91M,1.38,0.41,1.12,1.07,-,47.71M,9.35M,40.50%,11.56%,0.92,6.60%,16.10%,1.10,0.73,9.05%,88.22%,-41.39%,7.18%,10.49%,10.14%,39.31%,59.04%,-14.90%,118.69%,-43.75%,190.80%,63.95,1.22%,0.33,7.37,0.27%,346392
