Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
TIPT,Financial,176.11M,-,0.23,0.50,1.70,2.16,33.68M,21.63M,40.30%,1.24%,2.92,-4.20%,-29.20%,-,1.14,4.45%,4.88%,-28.53%,2.41%,2.22%,3.23%,1.14%,-5.28%,-4.61%,7.26%,-29.76%,16.18%,58.62,0.00%,0.21,5.17,0.19%,3075
TK,Energy,270.67M,-,0.13,0.55,0.72,0.27,101.11M,69.17M,27.90%,4.43%,3.82,-0.70%,-10.90%,0.80,7.71,11.52%,10.61%,-25.14%,6.49%,7.43%,6.12%,9.81%,9.41%,-6.69%,32.86%,-42.83%,64.12%,59.76,0.74%,2.38,2.79,2.95%,305017
TKAT,Consumer Cyclical,20.60M,-,4.68,4.29,4.20,-,11.27M,5.97M,0.50%,1.03%,0.12,-7.00%,-35.10%,1.20,0.36,14.75%,50.00%,118.73%,20.53%,17.06%,16.47%,35.28%,72.97%,-18.20%,146.67%,-18.20%,191.07%,57.90,13.81%,0.24,2.22,5.71%,18760
TKC,Communication Services,5.16B,10.02,1.36,1.83,2.66,3.71,880.47M,430.78M,3.10%,0.09%,1.35,8.00%,19.90%,1.90,1.13,3.61%,4.55%,-4.01%,1.75%,2.16%,5.05%,10.35%,12.86%,1.03%,23.84%,-7.70%,34.63%,65.34,1.92%,1.96,5.87,2.26%,93751
TLC,Healthcare,232.69M,-,-,23.04,-,-,42.08M,34.27M,0.19%,0.00%,0.06,-,-,-,-,11.94%,20.74%,0.55%,7.64%,6.28%,15.48%,22.28%,12.51%,-3.47%,36.86%,-55.97%,124.60%,63.82,2.53%,1.65,5.57,0.72%,6852
TLGT,Healthcare,24.58M,-,0.48,-,2.53,-,21.75M,21.72M,8.40%,1.77%,0.06,-24.30%,163.40%,2.50,-,10.64%,15.85%,-74.28%,7.69%,13.29%,3.23%,25.54%,-42.64%,-18.90%,122.46%,-84.05%,126.37%,55.18,3.77%,1.53,1.03,-2.83%,1544820
TLMD,Healthcare,563.45M,-,9.38,0.96,1878.16,-,76.77M,35.03M,71.20%,4.34%,3.25,-,-,0.20,0.00,-2.29%,-0.82%,-,5.58%,6.21%,1.01%,-3.81%,-20.94%,-16.54%,9.93%,-38.58%,9.93%,48.53,0.69%,0.34,7.42,2.20%,25386
TLSA,Healthcare,385.33M,-,-,-,-,-,97.31M,34.64M,18.62%,1.04%,0.33,-,-,-,-,1.54%,45.05%,313.83%,15.31%,16.05%,12.46%,43.19%,27.53%,-23.91%,128.69%,-66.93%,553.41%,56.71,2.02%,0.57,4.03,1.64%,97866
TMBR,Healthcare,16.67M,-,41.67,-,1.39,-,18.89M,6.60M,12.30%,17.14%,0.24,-219.50%,956.00%,1.00,-,5.51%,59.18%,-73.90%,11.06%,15.76%,13.23%,25.55%,-28.97%,-24.71%,94.71%,-87.60%,94.71%,59.15,1.49%,1.53,1.29,-3.36%,1150949
TMDI,Healthcare,249.16M,-,24.92,59.78,-,-,90.60M,82.09M,3.29%,0.89%,0.24,-,-,-,-,1.85%,46.28%,444.55%,11.17%,15.42%,20.90%,58.97%,187.59%,-19.22%,282.78%,-19.22%,2193.20%,63.02,1.82%,2.32,2.80,1.82%,1122224
TMQ,Basic Materials,291.73M,1.87,-,1.57,-,-,143.00M,53.44M,64.99%,0.07%,0.10,-,-,-,-,-1.45%,0.99%,-12.07%,5.34%,4.93%,-2.79%,1.29%,5.75%,-11.11%,24.23%,-17.69%,94.18%,47.40,-0.49%,0.59,2.00,-1.96%,33134
TMST,Basic Materials,245.90M,-,0.29,0.48,3.29,1.79,45.00M,35.88M,60.70%,7.92%,7.88,-14.90%,-28.80%,1.70,0.20,10.02%,6.19%,-18.06%,7.02%,6.70%,-2.11%,0.71%,26.66%,-20.40%,15.58%,-22.86%,142.13%,50.92,0.00%,0.94,5.23,-4.74%,53849
TNAV,Technology,229.48M,37.86,0.94,2.20,2.32,-,47.23M,30.44M,48.90%,1.45%,0.84,2.10%,6.20%,1.90,0.00,0.00%,0.63%,1.06%,0.57%,0.79%,0.22%,0.60%,-0.12%,-1.24%,2.36%,-26.62%,38.26%,57.38,0.00%,0.84,4.77,0.00%,70340
TNP,Energy,163.31M,6.84,0.24,0.11,-,-,18.61M,12.34M,22.40%,1.90%,2.05,1.00%,2.30%,-,0.00,4.69%,8.47%,-41.74%,4.19%,4.62%,1.29%,-0.19%,-10.05%,-12.91%,11.90%,-62.56%,25.21%,54.26,1.84%,0.51,8.84,1.49%,9290
TNXP,Healthcare,352.81M,-,-,2.71,6.33,-,264.78M,156.47M,2.70%,2.83%,0.16,-106.20%,-118.20%,14.20,0.00,35.58%,62.08%,-21.76%,16.98%,15.06%,22.75%,55.58%,53.44%,-22.58%,126.42%,-51.22%,207.53%,66.94,0.00%,3.10,1.20,-9.77%,14091725
TOMZ,Industrials,83.39M,12.96,3.59,5.94,14.13,18.13,16.74M,10.22M,0.10%,2.10%,0.94,49.00%,78.10%,5.00,0.03,-0.21%,5.63%,100.77%,6.57%,7.02%,0.24%,3.69%,-38.62%,-19.86%,23.32%,-73.00%,228.57%,49.30,0.21%,1.16,4.60,-1.92%,42013
TOPS,Industrials,73.33M,-,1.06,0.00,13.10,-,39.83M,33.49M,0.90%,6.36%,0.44,-6.10%,-23.00%,0.30,2.20,20.67%,62.41%,-87.64%,18.06%,14.71%,18.42%,42.83%,-7.14%,-24.36%,87.39%,-89.12%,118.95%,63.62,2.78%,1.38,2.08,-3.70%,1067329
TOUR,Consumer Cyclical,277.48M,-,2.29,0.74,1.18,-,123.43M,23.89M,10.60%,5.84%,0.71,-14.30%,-31.40%,1.30,0.02,3.90%,15.76%,11.52%,8.37%,9.06%,20.05%,16.11%,78.96%,-46.57%,42.60%,-46.57%,232.32%,63.80,14.55%,7.38,2.41,13.15%,2311825
