Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,187.76M,-,7.89,5.19,10.85,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-3.06%,377.78%,366.67%,12.99%,36.30%,48.18%,151.47%,306.06%,-71.14%,404.42%,-71.14%,831.37%,57.01,-0.83%,0.48,5.70,-5.32%,652884
AAIC,Real Estate,127.60M,-,70.89,0.69,14.34,6.02,34.66M,32.37M,37.80%,2.90%,4.01,-2.70%,-24.60%,-,3.50,7.55%,1.53%,-37.56%,4.31%,3.25%,3.20%,2.70%,27.63%,-5.12%,15.09%,-42.54%,177.86%,56.02,0.00%,1.55,3.89,-2.51%,85311
AAME,Financial,104.02M,167.58,0.55,0.88,11.69,22.13,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-15.31%,137.34%,162.09%,13.97%,27.60%,50.90%,99.40%,160.14%,-64.75%,177.34%,-64.75%,256.33%,69.32,0.36%,0.47,5.63,1.81%,233691
AAU,Basic Materials,112.00M,-,-,1.91,41.48,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,7.46%,59.60%,106.00%,15.44%,13.89%,14.97%,30.79%,22.22%,-28.33%,91.11%,-30.65%,305.47%,56.95,0.00%,1.13,0.86,-4.44%,1365112
ABEO,Healthcare,294.19M,-,42.03,2.14,3.04,-,93.77M,84.15M,36.10%,3.42%,0.78,-47.00%,-62.00%,2.70,0.02,-21.26%,37.70%,-24.86%,21.71%,14.85%,-4.85%,18.36%,7.37%,-37.60%,67.72%,-45.51%,139.01%,48.43,-8.37%,2.44,2.37,-10.08%,2112228
ABEV,Consumer Defensive,45.16B,16.31,-,2.91,-,-,15.73B,4.39B,8.62%,1.72%,3.30,-,-,-,-,2.14%,-5.90%,-18.86%,2.68%,3.04%,-3.35%,-6.43%,8.25%,-13.13%,1.09%,-23.92%,50.16%,42.38,-2.44%,1.19,2.78,-3.14%,6370559
ABIO,Healthcare,46.94M,-,-,0.59,0.92,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-1.01%,10.56%,-8.04%,6.78%,6.15%,2.32%,8.56%,-8.32%,-12.73%,21.21%,-78.18%,117.19%,53.51,-1.42%,3.24,4.80,-2.44%,597255
ABUS,Healthcare,378.77M,-,62.09,-,3.20,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-1.34%,12.79%,29.71%,7.91%,8.04%,6.18%,8.31%,40.68%,-25.38%,28.82%,-51.44%,397.73%,55.95,-0.91%,0.90,4.38,-0.68%,854595
ACCO,Industrials,800.18M,10.84,0.46,1.10,9.33,7.06,94.50M,91.78M,94.30%,4.14%,7.70,2.80%,10.30%,1.60,1.26,-10.03%,-4.53%,-12.46%,4.59%,3.60%,-4.82%,-4.06%,17.22%,-13.13%,4.20%,-15.60%,136.61%,41.84,-0.71%,1.44,8.31,-1.48%,167299
ACER,Healthcare,55.61M,-,-,4.11,8.97,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-3.36%,-2.86%,-24.37%,9.58%,12.01%,-6.66%,15.00%,16.06%,-24.48%,56.96%,-50.21%,234.26%,49.46,0.00%,0.32,3.61,-3.48%,63942
ACIU,Healthcare,661.70M,-,37.17,2.46,2.39,-,71.93M,37.91M,29.90%,2.83%,1.17,-22.10%,-24.20%,18.10,0.01,17.12%,51.10%,7.43%,21.56%,12.63%,17.34%,34.98%,27.29%,-34.56%,70.06%,-37.08%,100.99%,61.42,-0.67%,2.62,8.18,-8.70%,566916
ACOR,Healthcare,70.94M,1.39,0.43,1.13,1.12,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,-5.60%,10.75%,-23.66%,6.78%,8.88%,-3.83%,23.21%,50.86%,-18.36%,109.79%,-35.61%,178.96%,53.57,-2.43%,0.40,7.07,-4.72%,112789
ACRX,Healthcare,245.30M,-,47.17,-,5.69,-,113.81M,88.85M,25.60%,12.35%,2.03,-60.70%,85.50%,2.90,-,-19.49%,7.21%,42.95%,11.20%,13.54%,-5.36%,21.89%,45.97%,-25.57%,89.45%,-25.57%,211.96%,49.98,-0.45%,1.03,2.19,-1.88%,1313794
ACST,Healthcare,183.09M,37.78,2260.32,6.18,-,-,179.50M,176.13M,1.66%,1.27%,0.04,-,-,-,-,4.08%,70.11%,79.29%,16.40%,15.66%,13.21%,66.46%,89.10%,-21.95%,290.25%,-21.95%,456.84%,58.49,0.00%,1.61,0.95,-6.65%,19471418
ACTG,Industrials,393.09M,35.77,15.06,1.96,1.30,131.03,48.47M,46.31M,69.30%,2.59%,1.30,4.00%,7.30%,2.60,0.57,8.41%,57.36%,234.85%,9.71%,9.97%,16.79%,52.85%,98.80%,-7.60%,125.68%,-7.60%,348.79%,71.22,-1.85%,1.37,7.85,-3.28%,298720
ADAP,Healthcare,1.04B,-,325.60,2.72,2.61,-,154.67M,11.25M,84.40%,12.77%,0.90,-33.70%,-44.90%,12.20,0.00,-1.93%,15.73%,64.68%,9.30%,8.35%,2.05%,11.76%,-13.10%,-16.07%,62.54%,-54.03%,208.00%,51.57,-1.36%,1.48,6.16,-6.95%,553427
ADES,Industrials,112.24M,-,1.89,1.27,7.48,2.99,18.09M,17.94M,63.60%,4.58%,7.07,-14.50%,-24.20%,1.40,0.35,1.37%,7.64%,-52.26%,5.61%,5.96%,5.91%,4.84%,17.48%,-7.05%,25.27%,-54.08%,64.81%,55.33,-0.68%,1.15,5.80,-2.03%,31303
ADIL,Healthcare,43.14M,-,-,5.98,5.83,-,13.65M,11.64M,9.90%,2.97%,0.55,-121.30%,-132.80%,7.50,0.00,4.36%,61.98%,105.04%,12.66%,11.11%,15.06%,35.34%,67.07%,-11.65%,82.19%,-27.13%,191.50%,62.81,0.00%,1.12,2.91,-6.27%,166350
ADMA,Healthcare,257.53M,-,6.39,3.25,4.31,-,87.70M,70.91M,54.90%,13.61%,2.42,-37.20%,-98.80%,8.50,1.36,-10.85%,27.67%,-29.11%,8.07%,7.86%,-0.29%,11.62%,1.50%,-17.96%,33.37%,-39.24%,76.00%,51.92,1.52%,1.81,2.55,-2.97%,1699816
ADMP,Healthcare,202.55M,-,11.01,4.14,16.33,-,140.28M,92.57M,5.30%,5.48%,0.27,-78.50%,-115.90%,1.30,0.19,-5.10%,91.81%,94.26%,12.47%,17.00%,-3.45%,49.50%,78.16%,-41.67%,190.43%,-41.67%,405.56%,54.49,-2.68%,1.17,1.37,-8.39%,5261176
ADMS,Healthcare,175.11M,-,2.51,-,1.89,-,28.38M,27.75M,63.00%,6.39%,3.32,-43.50%,328.40%,3.90,-,-7.24%,32.06%,5.18%,8.02%,11.69%,2.90%,15.05%,46.39%,-35.85%,42.82%,-35.85%,208.95%,54.77,-0.17%,0.70,5.87,-0.34%,87749
ADT,Industrials,7.62B,-,1.44,2.31,15.57,11.81,769.24M,691.77M,95.70%,2.39%,4.14,-3.70%,-19.70%,0.90,3.10,-0.42%,7.18%,34.05%,3.11%,4.93%,3.42%,9.97%,13.18%,-9.58%,25.47%,-44.04%,182.82%,60.38,-0.21%,1.35,9.63,2.34%,1268400
ADTX,Healthcare,57.79M,-,-,2.20,4.22,-,13.97M,9.25M,6.80%,10.77%,0.24,-133.80%,-596.90%,18.90,0.00,7.96%,71.73%,-,18.94%,19.15%,5.06%,39.00%,36.00%,-42.42%,102.88%,-59.55%,139.20%,54.69,-1.72%,0.24,3.88,-4.79%,238694
ADV,Communication Services,3.16B,-,0.95,1.31,6323.18,-,56.25M,-,16.90%,-,4.48,-0.60%,-0.60%,0.20,0.00,-0.20%,-17.85%,1.31%,3.87%,4.81%,-2.77%,-14.03%,-7.48%,-28.52%,3.54%,-28.52%,26.11%,36.18,0.00%,0.50,9.95,-1.29%,116297
ADXS,Healthcare,161.50M,-,538.34,3.28,6.41,-,70.13M,-,17.50%,-,0.37,-60.50%,-76.40%,8.50,0.00,21.55%,131.15%,34.29%,19.27%,14.27%,35.10%,98.40%,124.42%,-21.97%,316.53%,-21.97%,364.19%,67.15,-5.67%,3.30,1.23,-13.12%,11265475
AEF,Financial,459.30M,-,33.21,1.27,-,-,50.75M,-,63.43%,-,0.31,-,-,-,-,1.80%,6.85%,20.34%,1.07%,1.52%,2.08%,6.19%,28.64%,-1.66%,14.30%,-1.66%,103.40%,60.67,-0.88%,0.31,8.90,-1.66%,5467
AEG,Financial,9.86B,1157.50,0.16,0.30,0.73,-,2.05B,1.81B,8.10%,0.16%,1.31,-,-,-,0.42,5.47%,5.71%,14.89%,1.85%,1.70%,5.75%,11.36%,41.21%,-2.58%,28.33%,-2.58%,151.67%,62.07,-1.08%,1.07,4.53,-2.16%,541839
AEHL,Industrials,13.57M,-,-,-,-,-,3.05M,2.19M,0.87%,4.92%,0.14,-,-,-,-,25.00%,59.50%,128.98%,16.29%,15.05%,26.42%,41.90%,67.08%,-21.98%,84.98%,-25.80%,405.13%,62.67,-10.11%,3.45,3.94,-11.46%,643983
AEHR,Technology,74.25M,-,5.46,6.72,21.84,-,23.40M,20.19M,23.10%,0.78%,0.32,-23.10%,-33.50%,3.20,0.16,19.77%,44.39%,15.73%,13.90%,9.43%,12.59%,23.34%,57.17%,-14.20%,48.74%,-14.20%,169.09%,59.64,-0.32%,1.11,2.96,-4.21%,127755
AEMD,Healthcare,32.01M,-,40.02,2.78,2.65,-,12.09M,11.78M,6.10%,4.89%,0.26,-54.30%,-59.30%,10.00,0.00,-11.30%,5.12%,-23.05%,12.80%,11.25%,0.40%,10.18%,45.07%,-16.88%,69.48%,-30.03%,121.19%,51.37,0.00%,0.19,2.61,-2.25%,96178
AESE,Communication Services,95.29M,-,4.14,1.63,16.43,-,29.63M,18.53M,1.80%,1.65%,0.10,-46.50%,-74.10%,1.00,0.17,1.69%,52.53%,-11.40%,22.67%,16.65%,4.02%,28.30%,31.29%,-35.85%,125.78%,-61.23%,475.75%,52.85,-1.66%,0.90,2.30,-4.44%,614535
AEY,Technology,40.00M,-,0.82,2.96,7.41,-,12.15M,5.56M,4.90%,4.31%,0.84,-53.30%,-119.70%,1.80,0.48,2.67%,26.28%,7.45%,8.53%,7.04%,8.40%,6.86%,34.92%,-19.82%,27.80%,-47.62%,126.63%,59.43,1.16%,0.85,3.40,-1.75%,56437
AEZS,Healthcare,96.60M,-,74.30,5.74,4.45,-,62.68M,62.63M,21.40%,8.12%,0.31,-21.50%,-125.80%,13.00,0.01,-29.55%,142.19%,18.32%,15.02%,25.65%,14.03%,82.15%,129.25%,-60.36%,308.83%,-60.36%,394.83%,52.96,-1.29%,1.83,1.43,-7.42%,7005555
AFI,Industrials,80.53M,-,0.14,0.34,3.63,-,21.96M,20.95M,75.20%,2.38%,2.18,-11.10%,-22.10%,1.90,0.29,-23.06%,-8.05%,11.21%,7.70%,7.42%,-20.04%,-12.86%,-0.97%,-35.09%,9.34%,-37.52%,212.40%,37.23,3.18%,7.91,3.50,-7.19%,423837
