Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,419.50M,-,17.70,5.04,24.25,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,336.57%,361.14%,465.22%,120.04%,34.82%,148.31%,257.04%,386.80%,-69.25%,437.53%,-69.25%,892.50%,59.08,3.42%,0.60,6.07,3.83%,1015259
AAIC,Real Estate,125.36M,-,69.65,0.64,14.09,5.91,34.66M,32.45M,37.10%,2.82%,3.86,-2.70%,-24.60%,-,3.50,2.19%,-4.83%,-35.07%,3.00%,2.72%,-3.42%,-1.49%,21.68%,-10.27%,15.05%,-45.79%,162.14%,44.90,-1.07%,0.92,3.67,-1.87%,67223
AAME,Financial,60.97M,196.97,0.32,1.04,6.85,12.97,20.44M,4.08M,5.40%,0.01%,0.00,0.30%,1.00%,-,0.26,180.18%,175.42%,242.11%,85.72%,24.46%,121.08%,150.45%,192.75%,-62.43%,197.03%,-62.43%,279.75%,82.25,-6.00%,2.90,6.00,-7.69%,1837532
AAU,Basic Materials,90.70M,-,-,1.68,33.59,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,-14.98%,50.91%,75.62%,9.16%,14.48%,30.43%,28.40%,22.96%,-29.36%,88.38%,-31.64%,299.67%,61.76,5.02%,3.93,0.85,7.26%,5039928
ABEO,Healthcare,318.49M,-,45.50,2.76,3.29,-,93.77M,84.15M,34.30%,2.02%,0.60,-47.00%,-62.00%,2.70,0.02,74.74%,90.45%,35.06%,15.52%,11.34%,56.24%,84.11%,53.13%,-4.43%,142.39%,-22.93%,238.05%,79.62,10.03%,8.55,3.35,-1.33%,7475241
ABEV,Consumer Defensive,44.53B,16.08,-,2.87,-,-,15.73B,4.39B,8.62%,1.84%,3.28,-,-,-,-,-2.41%,-5.35%,-25.53%,2.91%,3.29%,-5.68%,-5.85%,9.43%,-12.98%,8.67%,-26.72%,50.42%,41.70,-1.77%,1.16,2.78,-1.60%,8841239
ABIO,Healthcare,45.90M,-,-,0.59,0.90,-,9.32M,9.28M,7.20%,0.87%,0.14,-29.30%,-31.30%,34.00,0.00,9.07%,18.23%,-13.05%,5.53%,5.42%,7.89%,12.52%,-6.42%,-6.00%,22.72%,-77.91%,119.90%,62.73,1.62%,4.31,4.86,-1.42%,769477
ABUS,Healthcare,411.93M,-,67.53,-,3.48,-,79.49M,63.55M,31.20%,6.38%,1.02,-76.20%,128.90%,15.90,-,24.74%,24.10%,48.92%,7.95%,7.59%,17.45%,18.01%,56.68%,-19.51%,38.97%,-47.62%,436.93%,66.18,2.48%,3.67,4.72,-2.38%,4480417
ACCO,Industrials,876.88M,11.94,0.51,1.21,10.22,7.74,94.50M,91.78M,93.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,11.12%,6.41%,0.98%,3.23%,3.45%,6.84%,8.54%,31.86%,-0.64%,21.52%,-18.63%,163.82%,63.24,0.22%,0.35,9.26,-0.32%,58553
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,9.62%,57.71%,-11.92%,9.50%,15.41%,3.59%,26.42%,23.49%,-20.92%,64.35%,-47.86%,250.00%,55.93,0.50%,0.79,3.78,-5.26%,194200
