Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,445.32M,-,18.79,5.35,25.74,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,343.57%,400.40%,464.14%,120.62%,34.95%,153.86%,265.03%,397.69%,-68.56%,449.56%,-68.56%,914.71%,59.38,3.42%,0.41,6.21,6.15%,2258235
AAIC,Real Estate,124.36M,-,69.09,0.64,13.97,5.87,34.66M,32.45M,37.10%,2.82%,3.86,-2.70%,-24.60%,-,3.50,2.49%,-6.55%,-35.14%,2.80%,2.65%,-2.37%,-0.42%,23.00%,-9.29%,16.30%,-45.20%,165.00%,47.79,-1.07%,0.88,3.71,-0.80%,209664
AAME,Financial,61.25M,197.88,0.33,1.04,6.88,13.03,20.44M,4.08M,5.40%,0.01%,0.00,0.30%,1.00%,-,0.26,191.52%,170.95%,251.08%,91.23%,25.68%,140.60%,172.57%,218.61%,-59.11%,223.27%,-59.11%,313.29%,91.58,-6.00%,1.25,6.53,0.46%,2560616
AAU,Basic Materials,96.12M,-,-,1.78,35.60,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,6.78%,64.64%,95.91%,8.98%,14.62%,28.86%,26.85%,21.48%,-30.21%,86.11%,-32.46%,294.86%,61.24,5.02%,1.91,0.84,5.97%,7963156
ABEO,Healthcare,313.79M,-,44.83,2.72,3.24,-,93.77M,84.15M,34.30%,2.02%,0.60,-47.00%,-62.00%,2.70,0.02,64.53%,89.77%,13.99%,18.31%,11.97%,56.00%,83.84%,52.90%,-4.57%,142.03%,-23.04%,237.54%,79.43,10.03%,4.11,3.34,-1.47%,11643909
ABEV,Consumer Defensive,44.22B,15.97,-,2.85,-,-,15.73B,4.39B,8.62%,1.84%,3.28,-,-,-,-,-3.77%,-8.47%,-24.31%,2.66%,3.27%,-4.83%,-4.99%,10.43%,-12.19%,9.65%,-26.05%,51.79%,42.91,-1.77%,0.74,2.81,-0.71%,18164209
ABIO,Healthcare,46.27M,-,-,0.60,0.91,-,9.32M,9.28M,7.20%,0.87%,0.14,-29.30%,-31.30%,34.00,0.00,12.19%,17.77%,-9.96%,5.59%,5.53%,10.33%,15.07%,-4.30%,-3.87%,25.50%,-77.41%,124.89%,66.44,1.62%,2.59,4.97,0.81%,1498936
ABUS,Healthcare,380.44M,-,62.37,-,3.22,-,79.49M,63.55M,31.20%,6.38%,1.02,-76.20%,128.90%,15.90,-,14.03%,15.50%,39.91%,10.38%,7.89%,11.11%,11.64%,48.22%,-23.85%,31.47%,-50.44%,407.95%,59.45,2.48%,1.75,4.47,-7.64%,6921757
ACCO,Industrials,884.43M,12.04,0.51,1.22,10.31,7.81,94.50M,91.78M,93.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,11.55%,8.45%,2.85%,3.41%,3.30%,8.11%,9.83%,33.43%,0.54%,22.97%,-17.66%,166.95%,65.14,0.22%,0.58,9.37,0.86%,318626
ACER,Healthcare,56.35M,-,-,4.25,9.09,-,11.51M,11.21M,31.60%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,3.75%,55.42%,-19.38%,9.93%,15.75%,6.06%,29.43%,26.43%,-19.04%,68.26%,-46.62%,258.33%,58.09,0.50%,0.51,3.87,-3.01%,409826
