Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,445.32M,-,18.79,5.35,25.74,-,34.43M,31.74M,0.04%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,343.57%,400.40%,464.14%,120.62%,34.95%,131.85%,246.96%,389.81%,-68.38%,452.69%,-68.38%,920.49%,59.46,6.44%,0.69,6.25,0.57%,1740055
AAIC,Real Estate,124.36M,-,69.09,0.64,13.97,5.87,34.66M,32.45M,37.10%,2.89%,4.01,-2.70%,-24.60%,-,3.50,2.49%,-6.55%,-35.14%,2.80%,2.65%,-2.29%,-0.89%,22.46%,-9.53%,15.99%,-45.34%,164.30%,47.00,-0.81%,0.46,3.70,-0.26%,48910
AAME,Financial,61.25M,197.88,0.33,1.04,6.88,13.03,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,191.52%,170.95%,251.08%,91.23%,25.68%,103.08%,138.87%,186.42%,-62.83%,193.86%,-62.83%,275.69%,80.11,-3.98%,0.39,5.94,-9.10%,363761
AAU,Basic Materials,96.12M,-,-,1.78,35.60,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,6.78%,64.64%,95.91%,8.98%,14.62%,29.87%,31.65%,25.06%,-27.92%,92.22%,-30.24%,307.83%,62.72,5.07%,3.69,0.87,3.28%,7184507
ABEO,Healthcare,313.79M,-,44.83,2.72,3.24,-,93.77M,84.15M,34.30%,3.42%,0.96,-47.00%,-62.00%,2.70,0.02,64.53%,89.77%,13.99%,18.31%,11.97%,48.41%,77.26%,50.25%,-13.22%,133.23%,-24.22%,232.37%,77.39,-1.80%,4.34,3.29,-1.53%,5913745
ABEV,Consumer Defensive,44.22B,15.97,-,2.85,-,-,15.73B,4.39B,8.62%,1.72%,3.14,-,-,-,-,-3.77%,-8.47%,-24.31%,2.66%,3.27%,-4.24%,-4.73%,10.63%,-11.88%,10.04%,-25.79%,52.33%,43.61,0.36%,0.69,2.82,0.36%,7506739
ABIO,Healthcare,46.27M,-,-,0.60,0.91,-,9.32M,9.28M,7.20%,0.33%,0.05,-29.30%,-31.30%,34.00,0.00,12.19%,17.77%,-9.96%,5.59%,5.53%,9.32%,14.47%,-4.55%,-4.03%,25.29%,-77.45%,124.51%,66.06,0.80%,5.73,4.96,-0.17%,1557067
ABUS,Healthcare,380.44M,-,62.37,-,3.22,-,79.49M,63.55M,31.20%,5.02%,0.79,-76.20%,128.90%,15.90,-,14.03%,15.50%,39.91%,10.38%,7.89%,9.17%,9.51%,45.12%,-25.04%,29.41%,-51.22%,400.00%,57.71,1.79%,1.35,4.40,-1.57%,2457974
ACCO,Industrials,884.43M,12.04,0.51,1.22,10.31,7.81,94.50M,91.78M,93.20%,4.14%,7.12,2.80%,10.30%,1.60,1.26,11.55%,8.45%,2.85%,3.41%,3.30%,7.01%,8.92%,32.38%,-1.45%,22.31%,-18.10%,165.53%,63.79,0.43%,0.64,9.32,-0.53%,156270
ACER,Healthcare,56.35M,-,-,4.25,9.09,-,11.51M,11.21M,31.60%,2.37%,0.33,-128.70%,-161.00%,1.60,0.00,3.75%,55.42%,-19.38%,9.93%,15.75%,5.81%,30.50%,28.15%,-17.68%,71.09%,-45.72%,264.35%,59.31,3.36%,0.69,3.93,1.68%,253071
