Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,445.32M,-,18.79,5.35,25.74,-,34.43M,31.74M,0.04%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,343.57%,400.40%,464.14%,120.62%,34.95%,128.31%,241.66%,382.33%,-68.86%,444.25%,-68.86%,904.90%,59.17,6.44%,0.56,6.15,-0.97%,1880938
AAIC,Real Estate,124.36M,-,69.09,0.64,13.97,5.87,34.66M,32.45M,37.10%,2.89%,4.01,-2.70%,-24.60%,-,3.50,2.49%,-6.55%,-35.14%,2.80%,2.65%,-1.77%,-0.36%,23.11%,-9.05%,16.61%,-45.05%,165.71%,48.68,-0.81%,0.46,3.72,0.27%,64430
AAME,Financial,61.25M,197.88,0.33,1.04,6.88,13.03,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,191.52%,170.95%,251.08%,91.23%,25.68%,105.61%,141.85%,189.99%,-62.37%,197.52%,-62.37%,280.38%,81.38,-3.98%,0.38,6.01,-7.96%,470984
AAU,Basic Materials,96.12M,-,-,1.78,35.60,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,6.78%,64.64%,95.91%,8.98%,14.62%,36.01%,37.88%,30.98%,-24.51%,101.31%,-26.94%,327.11%,64.73,5.07%,3.69,0.91,8.17%,9484688
ABEO,Healthcare,313.79M,-,44.83,2.72,3.24,-,93.77M,84.15M,34.30%,3.42%,0.96,-47.00%,-62.00%,2.70,0.02,64.53%,89.77%,13.99%,18.31%,11.97%,53.43%,83.25%,55.33%,-10.29%,141.12%,-21.66%,243.61%,80.04,-1.80%,3.87,3.40,1.80%,6979688
ABEV,Consumer Defensive,44.22B,15.97,-,2.85,-,-,15.73B,4.39B,8.62%,1.72%,3.14,-,-,-,-,-3.77%,-8.47%,-24.31%,2.66%,3.27%,-4.07%,-4.57%,10.83%,-11.72%,10.24%,-25.66%,52.60%,43.95,0.36%,0.56,2.83,0.53%,8116328
ABIO,Healthcare,46.27M,-,-,0.60,0.91,-,9.32M,9.28M,7.20%,0.33%,0.05,-29.30%,-31.30%,34.00,0.00,12.19%,17.77%,-9.96%,5.59%,5.53%,11.43%,16.67%,-2.71%,-2.18%,27.71%,-77.01%,128.84%,68.31,0.80%,5.14,5.06,1.76%,1844454
ABUS,Healthcare,380.44M,-,62.37,-,3.22,-,79.49M,63.55M,31.20%,5.02%,0.79,-76.20%,128.90%,15.90,-,14.03%,15.50%,39.91%,10.38%,7.89%,9.17%,9.51%,45.12%,-25.04%,29.41%,-51.22%,400.00%,57.71,1.79%,1.10,4.40,-1.57%,2658064
ACCO,Industrials,884.43M,12.04,0.51,1.22,10.31,7.81,94.50M,91.78M,93.20%,4.14%,7.12,2.80%,10.30%,1.60,1.26,11.55%,8.45%,2.85%,3.41%,3.30%,7.58%,9.50%,33.09%,-0.93%,22.97%,-17.66%,166.95%,65.14,0.43%,0.55,9.37,0.00%,175912
ACER,Healthcare,56.35M,-,-,4.25,9.09,-,11.51M,11.21M,31.60%,2.37%,0.33,-128.70%,-161.00%,1.60,0.00,3.75%,55.42%,-19.38%,9.93%,15.75%,8.04%,33.25%,30.86%,-15.94%,74.70%,-44.58%,272.04%,60.78,3.36%,0.56,4.02,3.82%,269888
ACH,Basic Materials,8.61B,-,0.31,0.71,4.30,16.06,680.91M,429.49M,1.60%,0.01%,0.39,0.00%,-0.10%,0.70,1.85,7.96%,-9.35%,21.49%,1.43%,1.64%,5.01%,0.19%,34.54%,-11.56%,16.25%,-11.56%,91.30%,56.55,0.68%,0.37,8.80,-0.23%,21993
ACIU,Healthcare,558.91M,-,31.76,2.13,2.05,-,71.93M,37.91M,30.00%,2.83%,3.00,-22.10%,-24.20%,18.10,0.01,15.91%,32.35%,-14.72%,14.42%,10.17%,15.45%,28.20%,16.03%,-22.77%,54.47%,-42.85%,82.56%,65.48,0.00%,0.62,7.43,-2.88%,134217
