Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,453.92M,-,19.15,5.46,26.24,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,381.85%,418.85%,455.26%,113.33%,33.31%,164.02%,263.71%,378.64%,-70.38%,417.70%,-70.38%,855.88%,58.57,-2.69%,0.96,5.85,-7.58%,5201887
AAIC,Real Estate,123.69M,-,68.72,0.64,13.90,5.83,34.66M,32.45M,37.10%,2.82%,3.83,-2.70%,-24.60%,-,3.50,1.93%,-4.90%,-36.16%,3.27%,2.75%,-1.88%,0.61%,24.22%,-8.56%,18.73%,-44.76%,167.14%,50.22,-0.27%,0.55,3.74,1.36%,131243
AAME,Financial,48.78M,157.58,0.26,0.83,5.48,10.38,20.44M,4.08M,5.40%,0.01%,0.00,0.30%,1.00%,-,0.26,118.49%,126.09%,173.68%,71.90%,21.29%,159.02%,181.69%,220.63%,-59.30%,221.78%,-59.30%,311.39%,91.52,-5.77%,5.08,6.50,25.00%,9629961
AAU,Basic Materials,85.52M,-,-,1.59,31.67,-,119.16M,114.95M,5.90%,0.52%,0.15,-4.20%,-4.60%,9.50,0.04,2.39%,42.30%,60.58%,15.80%,14.55%,24.29%,19.03%,14.98%,-34.14%,75.62%,-36.27%,272.61%,58.62,3.34%,1.26,0.79,6.07%,5165890
ABEO,Healthcare,242.39M,-,34.63,2.10,2.50,-,93.77M,84.15M,34.30%,2.02%,0.66,-47.00%,-62.00%,2.70,0.02,35.08%,50.88%,-2.27%,10.38%,9.99%,64.60%,90.79%,55.54%,29.39%,151.11%,-21.89%,242.60%,81.36,3.49%,6.31,3.39,31.40%,16281508
ABEV,Consumer Defensive,45.95B,16.59,-,2.96,-,-,15.73B,4.39B,8.62%,1.84%,3.30,-,-,-,-,4.66%,-4.89%,-22.96%,3.12%,3.28%,-4.54%,-4.24%,11.38%,-11.56%,10.44%,-28.64%,52.87%,43.92,-3.42%,1.43,2.83,-3.08%,35066203
ABIO,Healthcare,43.38M,-,-,0.56,0.85,-,9.32M,9.28M,7.20%,0.87%,0.15,-29.30%,-31.30%,34.00,0.00,10.95%,12.83%,-16.04%,5.33%,5.12%,10.32%,14.62%,-5.00%,1.86%,26.08%,-77.59%,123.08%,65.57,2.15%,6.41,4.93,5.79%,3380400
ABUS,Healthcare,353.21M,-,57.90,-,2.99,-,79.49M,63.55M,31.20%,6.38%,1.07,-76.20%,128.90%,15.90,-,9.79%,16.25%,29.69%,5.82%,7.46%,21.78%,21.64%,61.46%,-17.55%,42.35%,-46.34%,450.00%,69.75,3.13%,3.00,4.84,16.63%,11406284
ACCO,Industrials,836.30M,11.39,0.48,1.16,9.75,7.38,94.50M,91.78M,93.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,9.52%,0.23%,-3.80%,3.36%,3.37%,7.59%,9.12%,32.63%,2.31%,21.92%,-18.36%,164.67%,64.01,0.45%,0.78,9.29,4.85%,422180
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,9.32%,60.89%,-11.53%,8.71%,15.01%,11.64%,34.65%,30.80%,-16.53%,73.48%,-44.97%,269.44%,61.25,1.50%,1.18,3.99,0.00%,927374
ACH,Basic Materials,7.90B,-,0.29,0.65,3.94,14.73,680.91M,429.49M,1.60%,0.00%,0.09,0.00%,-0.10%,0.70,1.85,5.75%,-11.49%,9.03%,1.54%,1.68%,1.61%,-2.50%,31.94%,-13.77%,13.34%,-13.77%,86.52%,53.24,7.29%,0.92,8.58,6.06%,90228
ACIU,Healthcare,515.07M,-,29.27,1.96,1.89,-,71.93M,37.91M,30.00%,3.25%,3.39,-22.10%,-24.20%,18.10,0.01,17.89%,27.03%,-26.18%,13.81%,9.60%,21.82%,34.23%,19.45%,-20.48%,59.04%,-41.15%,87.96%,69.92,1.56%,0.89,7.65,8.51%,324090
ACOR,Healthcare,67.91M,1.38,0.41,1.12,1.07,-,47.71M,9.35M,40.50%,11.56%,0.92,6.60%,16.10%,1.10,0.73,9.05%,88.22%,-41.39%,7.18%,10.49%,12.97%,42.90%,63.14%,-12.70%,124.33%,-42.30%,198.30%,65.71,1.22%,0.33,7.56,2.86%,388276
ACRX,Healthcare,243.51M,-,46.83,-,5.65,-,113.81M,88.85M,25.40%,11.82%,2.19,-60.70%,85.50%,2.90,-,5.45%,73.13%,34.88%,8.77%,15.50%,24.10%,57.10%,76.98%,-11.90%,124.24%,-11.90%,269.26%,69.07,1.29%,1.99,2.59,11.64%,9572215
ACST,Healthcare,137.31M,-,-,8.32,-,-,179.50M,95.08M,1.66%,1.67%,0.04,-,-,-,-,17.24%,76.27%,4.79%,8.95%,16.92%,29.24%,92.93%,84.96%,-17.40%,323.73%,-17.40%,426.32%,71.56,4.22%,1.72,0.90,17.65%,74737598
ACTG,Industrials,359.72M,31.50,13.78,1.73,1.19,119.91,48.47M,46.31M,69.70%,2.64%,1.64,4.00%,7.30%,2.60,0.57,27.68%,83.33%,180.39%,10.49%,10.22%,27.04%,57.24%,90.54%,-6.75%,106.32%,-6.75%,310.29%,76.97,0.00%,2.62,7.18,0.42%,1963541
ADAP,Healthcare,903.93M,-,282.48,2.56,2.26,-,154.67M,11.25M,90.50%,11.81%,0.86,-33.70%,-44.90%,12.20,0.00,13.74%,10.70%,49.64%,6.21%,7.39%,18.04%,30.64%,-2.09%,6.47%,80.21%,-49.03%,241.50%,67.27,0.81%,1.37,6.83,9.98%,2114283
ADES,Industrials,98.51M,-,1.66,1.27,6.57,2.63,18.09M,17.94M,63.40%,4.45%,7.26,-14.50%,-24.20%,1.40,0.35,16.77%,6.47%,-49.81%,8.75%,5.41%,10.46%,7.11%,18.46%,-7.38%,27.43%,-53.29%,67.65%,60.77,1.35%,2.25,5.90,-0.34%,246776
