Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,403.01M,-,17.00,4.84,23.30,-,34.43M,31.74M,0.04%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-60.70%,350.32%,435.14%,30.85%,35.89%,81.25%,188.19%,331.22%,-71.04%,406.19%,-71.04%,834.64%,57.56,6.23%,0.28,5.72,1.78%,1600963
AAIC,Real Estate,124.69M,-,69.27,0.64,14.01,5.88,34.66M,32.45M,37.10%,2.89%,4.06,-2.70%,-24.60%,-,3.50,0.54%,-6.30%,-36.19%,2.48%,2.74%,3.44%,3.72%,28.36%,-4.89%,21.18%,-42.54%,177.86%,60.68,-0.54%,1.05,3.89,4.57%,243196
AAME,Financial,49.34M,159.39,0.26,0.84,5.54,10.50,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,120.08%,136.94%,192.22%,93.84%,26.00%,75.83%,117.91%,170.91%,-64.25%,182.67%,-64.25%,261.39%,72.33,1.71%,1.08,5.71,8.56%,2241650
AAU,Basic Materials,105.01M,-,-,1.95,38.89,-,119.16M,114.95M,5.90%,0.52%,0.12,-4.20%,-4.60%,9.50,0.04,27.31%,55.08%,111.32%,14.48%,15.40%,28.84%,37.61%,29.20%,-25.00%,100.00%,-27.42%,324.33%,61.58,-2.73%,1.06,0.90,-1.64%,5101380
ABEO,Healthcare,315.67M,-,45.10,2.73,3.26,-,93.77M,84.15M,34.30%,3.42%,0.92,-47.00%,-62.00%,2.70,0.02,36.59%,84.62%,5.99%,20.27%,12.63%,24.82%,53.81%,34.72%,-21.90%,109.91%,-31.80%,199.14%,64.45,-1.79%,5.35,2.96,-11.90%,16825755
ABEV,Consumer Defensive,44.53B,16.08,-,2.87,-,-,15.73B,4.39B,8.62%,1.72%,3.26,-,-,-,-,-2.75%,-11.29%,-22.96%,2.68%,3.06%,-4.27%,-6.01%,9.12%,-12.81%,6.45%,-25.63%,50.70%,41.94,-1.77%,0.51,2.79,-1.41%,11698720
ABIO,Healthcare,49.34M,-,-,0.63,0.97,-,9.32M,9.28M,7.20%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,13.73%,22.97%,-3.46%,7.21%,5.98%,12.33%,18.52%,-0.64%,-5.82%,30.80%,-76.45%,134.39%,67.74,0.00%,2.22,5.18,-2.26%,1579297
ABUS,Healthcare,372.78M,-,61.11,-,3.15,-,79.49M,63.55M,31.20%,5.02%,0.79,-76.20%,128.90%,15.90,-,5.29%,6.83%,39.05%,11.85%,7.90%,6.55%,7.80%,41.31%,-26.24%,27.35%,-52.00%,392.05%,55.80,0.00%,0.44,4.33,-1.14%,1770448
ACCO,Industrials,853.29M,11.62,0.49,1.18,9.95,7.53,94.50M,91.78M,93.20%,4.14%,7.25,2.80%,10.30%,1.60,1.26,2.15%,0.33%,-12.32%,3.81%,3.37%,3.06%,4.54%,27.42%,-5.86%,17.65%,-20.91%,156.41%,55.95,-1.00%,0.47,9.00,-0.44%,246941
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,2.37%,0.32,-128.70%,-161.00%,1.60,0.00,-1.72%,54.65%,-15.47%,10.75%,16.20%,-0.26%,25.03%,24.30%,-19.67%,66.96%,-47.03%,255.56%,55.41,0.25%,0.43,3.84,-3.76%,358113
ACH,Basic Materials,8.53B,-,0.31,0.70,4.25,15.90,680.91M,429.49M,1.60%,0.01%,0.40,0.00%,-0.10%,0.70,1.85,8.04%,-2.78%,18.61%,1.48%,1.67%,5.24%,0.55%,33.78%,-10.48%,16.25%,-11.56%,91.30%,56.36,0.11%,0.19,8.80,0.80%,18171
ACIU,Healthcare,615.90M,-,34.99,2.35,2.26,-,71.93M,37.91M,30.00%,2.83%,1.34,-22.10%,-24.20%,18.10,0.01,17.41%,38.88%,-2.54%,18.71%,11.60%,23.54%,39.09%,27.82%,-34.48%,70.27%,-37.00%,101.23%,68.55,-3.44%,4.15,8.19,-2.85%,3329193
ACOR,Healthcare,70.13M,1.43,0.42,1.16,1.11,-,47.71M,9.35M,40.50%,5.77%,0.45,6.60%,16.10%,1.10,0.73,6.01%,79.01%,-37.06%,7.32%,10.89%,3.38%,35.41%,61.54%,-13.05%,123.44%,-42.53%,197.11%,61.53,0.79%,0.14,7.53,-0.79%,163124
ACRX,Healthcare,276.04M,-,53.09,-,6.40,-,113.81M,88.85M,25.40%,12.35%,2.14,-60.70%,85.50%,2.90,-,13.36%,20.64%,55.62%,12.75%,14.20%,10.35%,44.12%,68.76%,-14.63%,117.32%,-14.63%,257.86%,61.35,-1.52%,0.51,2.51,-4.56%,2609364
ACST,Healthcare,199.24M,-,-,12.07,-,-,179.50M,95.08M,1.66%,1.67%,0.03,-,-,-,-,47.02%,67.22%,89.42%,18.93%,16.36%,32.53%,94.52%,107.34%,-15.57%,322.13%,-15.57%,502.34%,66.57,-8.11%,0.50,1.03,-7.21%,24225859
ACTG,Industrials,395.44M,34.63,15.15,1.90,1.30,131.81,48.47M,46.31M,69.70%,2.59%,1.40,4.00%,7.30%,2.60,0.57,7.67%,81.11%,218.22%,10.72%,10.77%,26.62%,63.96%,106.78%,-5.88%,129.89%,-5.88%,357.14%,78.91,0.64%,1.49,8.00,1.78%,1283558
ADAP,Healthcare,965.06M,-,301.58,2.73,2.41,-,154.67M,11.25M,90.50%,12.77%,0.93,-33.70%,-44.90%,12.20,0.00,13.53%,12.56%,58.99%,10.17%,8.11%,9.97%,20.97%,-7.42%,-11.17%,72.03%,-51.34%,226.00%,60.40,0.00%,0.55,6.52,-1.66%,851573
ADES,Industrials,96.84M,-,1.63,1.25,6.46,2.58,18.09M,17.94M,63.40%,4.58%,7.37,-14.50%,-24.20%,1.40,0.35,9.60%,5.24%,-51.46%,5.90%,5.64%,5.03%,3.44%,14.74%,-8.81%,22.89%,-54.95%,61.68%,54.74,-1.20%,0.58,5.69,-2.23%,64267
ADIL,Healthcare,35.12M,-,-,5.60,4.75,-,13.65M,11.67M,9.80%,2.97%,0.55,-121.30%,-132.80%,7.50,0.00,23.83%,46.23%,69.19%,16.09%,10.56%,27.56%,44.68%,75.58%,-5.33%,88.75%,-24.50%,202.00%,72.58,-0.34%,0.94,3.02,3.78%,591729
