Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,445.32M,-,18.79,5.35,25.74,-,34.43M,31.74M,0.04%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,343.57%,400.40%,464.14%,120.62%,34.95%,128.31%,241.66%,382.33%,-68.86%,444.25%,-68.86%,904.90%,59.17,6.44%,0.45,6.15,-0.97%,2236633
AAIC,Real Estate,124.36M,-,69.09,0.64,13.97,5.87,34.66M,32.45M,37.10%,2.89%,4.01,-2.70%,-24.60%,-,3.50,2.49%,-6.55%,-35.14%,2.80%,2.65%,-1.51%,-0.10%,23.44%,-8.80%,16.93%,-44.90%,166.43%,49.54,-0.81%,0.49,3.73,0.54%,102800
AAME,Financial,61.25M,197.88,0.33,1.04,6.88,13.03,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,191.52%,170.95%,251.08%,91.23%,25.68%,98.43%,133.40%,179.86%,-63.68%,187.13%,-63.68%,267.09%,77.87,-3.98%,0.30,5.80,-11.18%,556953
AAU,Basic Materials,96.12M,-,-,1.78,35.60,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,6.78%,64.64%,95.91%,8.98%,14.62%,48.07%,50.10%,42.59%,-17.82%,119.16%,-20.47%,364.97%,68.10,5.07%,5.02,0.99,17.76%,19256586
ABEO,Healthcare,313.79M,-,44.83,2.72,3.24,-,93.77M,84.15M,34.30%,3.42%,0.96,-47.00%,-62.00%,2.70,0.02,64.53%,89.77%,13.99%,18.31%,11.97%,48.47%,77.32%,50.31%,-13.19%,133.32%,-24.19%,232.49%,77.44,-1.80%,3.02,3.29,-1.50%,8115516
ABEV,Consumer Defensive,44.22B,15.97,-,2.85,-,-,15.73B,4.39B,8.62%,1.72%,3.14,-,-,-,-,-3.77%,-8.47%,-24.31%,2.66%,3.27%,-3.90%,-4.40%,11.03%,-11.56%,10.44%,-25.53%,52.87%,44.29,0.36%,0.62,2.83,0.71%,13289196
ABIO,Healthcare,46.27M,-,-,0.60,0.91,-,9.32M,9.28M,7.20%,0.33%,0.05,-29.30%,-31.30%,34.00,0.00,12.19%,17.77%,-9.96%,5.59%,5.53%,11.71%,16.97%,-2.47%,-1.93%,28.03%,-76.95%,129.41%,68.57,0.80%,4.26,5.07,2.01%,2277266
ABUS,Healthcare,380.44M,-,62.37,-,3.22,-,79.49M,63.55M,31.20%,5.02%,0.79,-76.20%,128.90%,15.90,-,14.03%,15.50%,39.91%,10.38%,7.89%,9.54%,9.88%,45.61%,-24.79%,29.85%,-51.05%,401.70%,58.08,1.79%,0.84,4.41,-1.23%,3036643
ACCO,Industrials,884.43M,12.04,0.51,1.22,10.31,7.81,94.50M,91.78M,93.20%,4.14%,7.12,2.80%,10.30%,1.60,1.26,11.55%,8.45%,2.85%,3.41%,3.30%,6.33%,8.22%,31.54%,-2.08%,21.53%,-18.62%,163.83%,62.26,0.43%,0.45,9.26,-1.17%,215432
ACER,Healthcare,56.35M,-,-,4.25,9.09,-,11.51M,11.21M,31.60%,2.37%,0.33,-128.70%,-161.00%,1.60,0.00,3.75%,55.42%,-19.38%,9.93%,15.75%,9.84%,35.47%,33.04%,-14.54%,77.61%,-43.66%,278.24%,61.88,3.36%,0.50,4.09,5.56%,362144
ACH,Basic Materials,8.61B,-,0.31,0.71,4.30,16.06,680.91M,429.49M,1.60%,0.01%,0.39,0.00%,-0.10%,0.70,1.85,7.96%,-9.35%,21.49%,1.43%,1.64%,5.36%,0.53%,35.00%,-11.26%,16.64%,-11.26%,91.96%,57.11,0.68%,0.28,8.83,0.11%,24904
ACIU,Healthcare,558.91M,-,31.76,2.13,2.05,-,71.93M,37.91M,30.00%,2.83%,3.00,-22.10%,-24.20%,18.10,0.01,15.91%,32.35%,-14.72%,14.42%,10.17%,14.21%,26.82%,14.78%,-23.60%,52.81%,-43.46%,80.59%,64.00,0.00%,0.48,7.35,-3.92%,152918
ACOR,Healthcare,72.63M,1.48,0.44,1.20,1.15,-,47.71M,9.35M,40.50%,5.77%,0.46,6.60%,16.10%,1.10,0.73,12.69%,91.24%,-34.66%,6.42%,10.39%,5.78%,37.54%,60.50%,-13.86%,121.36%,-43.06%,194.35%,61.55,1.78%,0.49,7.46,-5.09%,522475
ACRX,Healthcare,290.74M,-,55.91,-,6.75,-,113.81M,88.85M,25.40%,12.35%,2.20,-60.70%,85.50%,2.90,-,27.65%,105.19%,63.91%,10.66%,16.22%,17.59%,53.84%,76.84%,-11.22%,125.97%,-11.22%,272.11%,65.64,4.33%,1.20,2.61,-5.78%,5351048
ACST,Healthcare,175.91M,-,-,10.65,-,-,179.50M,95.08M,1.66%,1.67%,0.03,-,-,-,-,44.08%,71.93%,71.72%,12.43%,16.24%,53.92%,126.40%,128.07%,2.68%,358.52%,2.68%,554.27%,79.42,14.29%,2.93,1.12,14.16%,120191715
ACTG,Industrials,376.82M,33.00,14.44,1.81,1.24,125.61,48.47M,46.31M,69.70%,2.59%,1.50,4.00%,7.30%,2.60,0.57,16.67%,71.00%,203.24%,10.76%,10.32%,35.35%,71.17%,111.22%,1.51%,131.61%,1.51%,360.57%,82.58,2.14%,3.68,8.06,7.61%,2641765
ADAP,Healthcare,982.53M,-,307.04,2.78,2.46,-,154.67M,11.25M,90.50%,12.77%,0.93,-33.70%,-44.90%,12.20,0.00,11.94%,9.22%,61.10%,9.31%,8.09%,16.86%,28.38%,-2.57%,-6.95%,80.21%,-49.03%,241.50%,66.51,1.19%,0.47,6.83,1.19%,652212
ADES,Industrials,97.18M,-,1.64,1.25,6.48,2.59,18.09M,17.94M,63.40%,4.58%,7.31,-14.50%,-24.20%,1.40,0.35,25.59%,6.38%,-51.09%,7.49%,5.58%,5.43%,3.20%,14.21%,-8.97%,22.68%,-55.03%,61.40%,55.26,0.00%,0.89,5.68,-2.74%,89569
ADIL,Healthcare,35.97M,-,-,5.73,4.86,-,13.65M,11.67M,9.80%,2.97%,0.57,-121.30%,-132.80%,7.50,0.00,34.23%,54.40%,85.09%,14.57%,10.22%,28.89%,42.93%,72.37%,-7.84%,83.75%,-26.50%,194.00%,72.28,2.01%,1.91,2.94,-1.34%,1041846
ADMA,Healthcare,285.35M,-,7.08,3.64,4.78,-,87.70M,70.91M,54.50%,13.61%,2.60,-37.20%,-98.80%,8.50,1.36,20.90%,37.85%,-14.74%,9.21%,6.75%,20.59%,30.90%,14.64%,-3.34%,56.22%,-31.19%,99.31%,68.97,3.05%,1.96,2.89,-2.03%,6508196
ADMP,Healthcare,196.89M,-,10.70,4.36,15.88,-,140.28M,92.57M,5.30%,5.48%,0.27,-78.50%,-115.90%,1.30,0.19,42.73%,125.32%,123.81%,12.21%,16.61%,23.79%,87.26%,103.71%,-35.68%,257.06%,-35.68%,457.41%,63.77,7.01%,1.12,1.50,-4.14%,18646662
ADMS,Healthcare,183.20M,-,2.62,-,1.98,-,28.38M,27.75M,62.60%,6.39%,3.65,-43.50%,328.40%,3.90,-,11.21%,36.27%,14.62%,10.73%,11.39%,17.25%,25.81%,58.24%,-31.86%,51.70%,-31.86%,228.16%,61.51,0.00%,1.15,6.24,-1.81%,498712
ADT,Industrials,7.77B,-,1.47,2.32,15.87,12.04,769.24M,691.76M,95.70%,2.39%,4.12,-3.70%,-19.70%,0.90,3.10,6.30%,7.02%,42.97%,3.76%,5.25%,2.66%,9.64%,12.17%,-11.36%,24.70%,-45.15%,177.24%,57.36,1.16%,0.48,9.44,-0.11%,1718453
ADTX,Healthcare,49.09M,-,-,2.04,3.58,-,13.97M,9.25M,6.80%,10.77%,0.27,-133.80%,-596.90%,18.90,0.00,17.45%,61.11%,-,9.91%,16.53%,28.05%,59.73%,44.85%,-39.82%,113.16%,-57.72%,150.00%,67.42,1.86%,0.76,4.05,7.43%,2529667
ADXS,Healthcare,118.90M,-,396.33,2.70,4.72,-,70.13M,-,15.00%,-,0.43,-60.50%,-76.40%,8.50,0.00,60.89%,114.81%,8.41%,13.93%,13.51%,49.06%,118.41%,117.41%,-1.61%,325.96%,-7.94%,339.52%,80.69,6.03%,1.45,1.16,-0.01%,16631056
AEF,Financial,451.18M,-,32.63,1.25,-,-,50.75M,-,63.43%,-,0.23,-,-,-,-,3.37%,3.37%,18.29%,1.43%,1.68%,3.75%,8.42%,30.88%,0.34%,20.38%,0.34%,104.32%,66.76,0.00%,0.76,8.94,0.56%,52710
AEG,Financial,9.29B,7.26,0.21,0.28,0.70,-,2.05B,1.81B,8.10%,0.16%,1.30,-,-,-,0.42,5.53%,2.81%,3.29%,1.58%,1.73%,3.82%,9.88%,38.66%,-1.13%,24.08%,-1.13%,143.33%,62.98,-0.23%,0.61,4.38,-0.23%,1194288
AEHL,Industrials,10.86M,-,-,-,-,-,3.05M,2.19M,0.87%,4.92%,0.15,-,-,-,-,21.09%,23.18%,79.85%,25.35%,13.26%,24.80%,36.94%,55.24%,-28.71%,69.01%,-32.20%,361.54%,69.09,-4.21%,1.20,3.60,1.12%,777436
AEHR,Technology,62.02M,-,4.56,5.61,18.24,-,23.40M,20.19M,23.00%,0.78%,0.38,-23.10%,-33.50%,3.20,0.16,8.86%,22.27%,28.36%,5.68%,7.94%,23.69%,30.89%,60.10%,3.86%,89.74%,3.86%,169.09%,67.19,4.65%,3.76,2.96,14.73%,1412465
AEMD,Healthcare,32.84M,-,54.73,2.64,2.26,-,12.07M,11.78M,6.30%,4.89%,0.28,-49.70%,-54.60%,9.90,0.00,32.02%,11.07%,-24.18%,8.75%,9.78%,18.59%,32.82%,71.04%,-3.82%,96.10%,-19.03%,155.93%,68.00,-1.66%,0.32,3.02,0.33%,591461
AESE,Communication Services,88.42M,-,3.84,1.60,15.25,-,29.63M,18.53M,1.40%,1.65%,0.12,-46.50%,-74.10%,1.00,0.17,22.16%,52.90%,9.28%,12.74%,13.47%,54.74%,84.67%,73.13%,11.71%,208.76%,-49.58%,648.75%,72.27,10.97%,3.66,2.99,26.37%,8677216
AEY,Technology,40.41M,-,0.80,2.65,4.87,-,11.79M,5.90M,5.10%,4.06%,0.87,-48.60%,-95.90%,2.00,0.54,11.59%,21.22%,14.24%,4.94%,6.51%,11.70%,6.04%,34.26%,-20.99%,25.94%,-48.38%,123.33%,61.54,3.56%,0.63,3.35,-0.59%,154914
AEZS,Healthcare,132.79M,-,102.15,8.15,6.12,-,62.68M,62.63M,21.40%,8.37%,0.37,-21.50%,-125.80%,13.00,0.01,120.00%,307.41%,96.43%,58.15%,26.35%,96.29%,194.95%,218.23%,-47.24%,444.16%,-47.24%,558.62%,61.68,1.82%,3.01,1.91,-13.18%,38385767
AFI,Industrials,96.33M,-,0.17,0.44,4.34,-,21.96M,20.95M,74.50%,2.38%,2.29,-11.10%,-22.10%,1.90,0.29,24.68%,15.29%,33.88%,9.37%,6.75%,18.20%,28.38%,44.90%,-6.75%,57.08%,-10.24%,348.79%,65.94,1.84%,0.96,5.03,2.58%,186527
AFIF,Financial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.16%,-0.04%,-0.04%,0.27%,0.35%,0.28%,0.10%,-0.22%,-0.61%,0.93%,-9.19%,7.35%,55.85,0.20%,0.24,9.78,0.20%,17158
AFIN,Real Estate,863.91M,-,2.84,0.55,10.01,-,108.43M,108.35M,49.40%,3.24%,6.48,-1.20%,-2.60%,-,0.00,6.79%,4.16%,-39.43%,2.60%,3.29%,5.63%,5.56%,11.31%,-1.93%,12.31%,-39.99%,93.33%,61.71,1.00%,0.70,8.12,1.25%,339124
AFMD,Healthcare,631.60M,-,23.39,9.58,5.43,-,86.03M,82.40M,45.00%,9.10%,4.10,-37.70%,-100.40%,2.20,0.05,6.04%,0.81%,127.37%,7.86%,7.73%,-4.31%,-3.16%,42.49%,-19.25%,21.53%,-19.25%,325.35%,48.39,0.48%,0.60,6.04,-3.05%,979977
AGE,Healthcare,90.41M,-,47.58,-,82.19,-,37.68M,21.21M,18.30%,1.72%,1.34,-207.10%,964.50%,0.40,-,31.15%,46.34%,100.00%,14.20%,8.59%,41.70%,54.88%,114.04%,1.51%,83.39%,-30.01%,313.03%,74.14,5.00%,10.48,2.75,14.62%,2546856
AGEN,Healthcare,1.00B,-,10.94,-,8.77,-,182.67M,170.64M,53.50%,14.62%,8.94,-95.70%,82.80%,0.90,-,23.88%,61.23%,40.11%,13.26%,9.48%,30.54%,42.21%,39.35%,-13.03%,67.48%,-13.03%,184.34%,78.05,0.76%,1.23,5.18,-1.24%,3075504
AGFS,Consumer Defensive,124.59M,-,0.75,0.48,4.96,4.91,51.00M,30.24M,73.30%,2.57%,4.76,-9.70%,-25.00%,2.70,0.98,28.14%,19.72%,17.51%,8.95%,6.87%,26.77%,15.74%,5.67%,-8.93%,42.08%,-38.10%,160.00%,73.43,1.96%,2.75,2.60,1.96%,402147
AGI,Basic Materials,3.18B,31.15,4.50,1.15,-,-,392.73M,391.00M,74.64%,0.86%,1.15,-,-,-,-,2.27%,-9.09%,31.49%,3.15%,4.09%,2.39%,-4.21%,-8.52%,-16.36%,8.33%,-28.71%,147.16%,49.74,0.74%,0.70,8.26,1.91%,1856123
AGLE,Healthcare,369.55M,-,-,3.55,2.64,-,62.24M,46.72M,94.50%,3.98%,8.37,-66.90%,-81.40%,10.10,0.00,2.23%,-4.89%,-5.93%,3.33%,4.85%,1.09%,-4.31%,-3.84%,-21.57%,16.57%,-32.60%,119.14%,49.26,0.26%,0.43,7.67,-1.41%,84546
AGRO,Consumer Defensive,960.73M,-,1.12,1.16,4.50,3.34,117.74M,117.34M,71.30%,0.67%,2.45,-1.60%,-4.30%,1.80,1.31,5.47%,13.87%,5.47%,2.47%,3.64%,5.60%,17.73%,57.19%,-1.61%,41.75%,-1.61%,149.24%,71.60,0.48%,0.48,8.25,-0.48%,138211
AGRX,Healthcare,317.75M,-,-,4.75,4.42,-,87.35M,67.10M,49.60%,3.55%,2.07,-45.90%,-56.80%,10.20,0.24,27.11%,26.22%,-9.98%,6.59%,4.14%,15.70%,17.07%,18.31%,-7.72%,26.11%,-28.54%,152.22%,67.39,2.22%,2.62,3.40,-5.68%,2695727
AGS,Consumer Cyclical,224.55M,-,1.13,3.53,1.98,10.54,35.65M,35.49M,77.30%,2.27%,1.70,-8.70%,-69.80%,4.80,10.02,15.33%,-3.07%,-32.19%,6.48%,6.63%,9.18%,5.87%,43.55%,-13.54%,35.21%,-40.72%,806.43%,59.16,0.16%,0.53,6.36,0.55%,225611
AGTC,Healthcare,178.23M,-,71.29,2.25,2.68,-,25.82M,21.58M,41.50%,6.09%,1.25,-53.30%,-73.10%,5.30,0.17,22.44%,8.15%,-1.80%,10.33%,7.31%,12.51%,13.14%,1.75%,-5.35%,34.29%,-30.67%,124.02%,60.25,1.83%,4.97,5.13,4.48%,4664807
AHC,Communication Services,53.12M,-,0.33,1.06,1.23,-,21.41M,18.34M,55.20%,0.18%,0.30,-4.60%,-11.70%,2.80,0.00,10.22%,47.62%,-16.50%,11.56%,10.73%,10.83%,34.90%,48.75%,-24.37%,71.94%,-24.37%,85.27%,62.12,0.00%,1.52,2.39,-3.63%,154994
AHPI,Healthcare,31.25M,-,0.92,3.52,-,-,4.01M,2.81M,9.60%,15.99%,0.64,-14.50%,-27.80%,1.50,0.40,13.86%,57.20%,200.79%,9.04%,13.42%,19.13%,37.98%,2.52%,-5.97%,72.39%,-82.76%,291.80%,67.25,7.98%,1.00,7.76,1.54%,623538
AHT,Real Estate,227.25M,-,0.29,-,1.88,-,68.94M,14.03M,6.50%,13.83%,0.23,-11.20%,-753.10%,-,-,20.00%,36.71%,-87.91%,9.35%,11.23%,10.41%,9.69%,-24.92%,-26.08%,50.64%,-88.34%,150.28%,56.19,4.01%,1.14,3.18,-1.90%,8611805
AIH,Healthcare,154.85M,-,1.29,2.15,15.18,-,23.61M,23.61M,4.20%,0.06%,0.12,-19.30%,-44.50%,0.50,1.34,11.07%,25.89%,-20.28%,8.56%,7.32%,21.72%,28.34%,16.88%,-1.48%,53.49%,-38.08%,73.23%,75.25,5.18%,2.55,6.60,3.61%,285331
AIHS,Financial,76.84M,-,10.53,13.08,17.46,-,37.80M,29.36M,1.00%,0.19%,0.02,-80.70%,-358.10%,0.70,1.90,8.97%,39.34%,195.65%,12.75%,13.06%,7.10%,23.62%,90.79%,-15.26%,67.71%,-31.49%,519.23%,55.66,1.18%,1.45,1.61,-5.29%,3782554
AIKI,Healthcare,60.61M,-,6734.93,2.02,2.22,-,34.99M,32.96M,13.10%,3.57%,0.10,-49.20%,-50.70%,59.60,0.00,10.53%,52.73%,60.53%,7.02%,14.31%,18.20%,66.01%,106.73%,-23.78%,234.45%,-69.99%,251.98%,63.34,2.38%,0.49,1.64,-2.45%,5393212
AIM,Healthcare,119.20M,-,595.99,1.68,3.01,-,40.69M,40.23M,6.50%,4.73%,0.56,-26.30%,-30.40%,50.00,0.03,25.48%,26.09%,216.36%,13.46%,8.02%,30.22%,41.00%,24.78%,-0.02%,66.05%,-60.06%,264.03%,70.00,12.64%,3.36,2.84,8.79%,10197904
