Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,187.76M,-,7.89,5.19,10.85,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-3.06%,377.78%,366.67%,12.99%,36.30%,66.72%,177.31%,337.07%,-69.52%,432.74%,-69.52%,883.66%,58.46,-0.34%,0.27,6.02,2.03%,1579864
AAIC,Real Estate,127.60M,-,70.89,0.69,14.34,6.02,34.66M,32.37M,37.80%,2.90%,3.99,-2.70%,-24.60%,-,3.50,7.55%,1.53%,-37.56%,4.31%,3.25%,6.03%,5.67%,31.19%,-2.68%,20.91%,-41.06%,185.00%,62.92,0.99%,0.93,3.99,-1.72%,219370
AAME,Financial,104.02M,167.58,0.55,0.88,11.69,22.13,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-15.31%,137.34%,162.09%,13.97%,27.60%,54.71%,100.65%,157.75%,-65.37%,172.41%,-65.37%,250.00%,68.65,0.93%,0.16,5.53,2.79%,335571
AAU,Basic Materials,112.00M,-,-,1.91,41.48,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,7.46%,59.60%,106.00%,15.44%,13.89%,23.16%,37.17%,28.34%,-25.00%,100.00%,-27.42%,324.33%,60.21,2.43%,0.85,0.90,-4.26%,4286174
ABEO,Healthcare,294.19M,-,42.03,2.14,3.04,-,93.77M,84.15M,36.10%,3.42%,0.82,-47.00%,-62.00%,2.70,0.02,-21.26%,37.70%,-24.86%,21.71%,14.85%,6.87%,33.07%,19.50%,-30.61%,86.51%,-39.40%,165.79%,54.94,-4.41%,3.52,2.63,-3.31%,12340617
ABEV,Consumer Defensive,45.16B,16.31,-,2.91,-,-,15.73B,4.39B,8.62%,1.72%,3.30,-,-,-,-,2.14%,-5.90%,-18.86%,2.68%,3.04%,-0.57%,-3.36%,11.94%,-10.31%,5.20%,-21.45%,55.03%,47.89,0.00%,1.17,2.87,-0.35%,26616654
ABIO,Healthcare,46.94M,-,-,0.59,0.92,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-1.01%,10.56%,-8.04%,6.78%,6.15%,5.07%,11.61%,-5.90%,-10.55%,24.24%,-77.64%,122.62%,57.53,-0.58%,1.63,4.92,-4.84%,1246400
ABUS,Healthcare,378.77M,-,62.09,-,3.20,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-1.34%,12.79%,29.71%,7.91%,8.04%,7.35%,9.31%,42.41%,-24.87%,29.71%,-51.11%,401.14%,56.82,0.22%,0.51,4.41,-1.78%,2033463
ACCO,Industrials,800.18M,10.84,0.46,1.10,9.33,7.06,94.50M,91.78M,94.30%,4.14%,7.68,2.80%,10.30%,1.60,1.26,-10.03%,-4.53%,-12.46%,4.59%,3.60%,-3.56%,-2.55%,19.10%,-11.82%,6.57%,-14.33%,140.17%,44.00,-4.98%,1.75,8.43,-4.53%,865404
ACER,Healthcare,55.61M,-,-,4.11,8.97,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-3.36%,-2.86%,-24.37%,9.58%,12.01%,-4.03%,20.00%,20.52%,-21.76%,62.61%,-48.41%,246.30%,52.80,-1.05%,0.23,3.74,-1.84%,197592
