Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,445.32M,-,18.79,5.35,25.74,-,34.43M,31.74M,0.04%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,343.57%,400.40%,464.14%,120.62%,34.95%,131.66%,246.67%,389.39%,-68.40%,452.22%,-68.40%,919.62%,59.45,6.44%,0.51,6.24,0.48%,2110646
AAIC,Real Estate,124.36M,-,69.09,0.64,13.97,5.87,34.66M,32.45M,37.10%,2.89%,4.01,-2.70%,-24.60%,-,3.50,2.49%,-6.55%,-35.14%,2.80%,2.65%,-1.64%,-0.23%,23.28%,-8.92%,16.77%,-44.98%,166.07%,49.11,-0.81%,0.48,3.72,0.40%,83410
AAME,Financial,61.25M,197.88,0.33,1.04,6.88,13.03,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,191.52%,170.95%,251.08%,91.23%,25.68%,100.19%,135.47%,182.35%,-63.36%,189.68%,-63.36%,270.35%,78.71,-3.98%,0.34,5.85,-10.39%,518591
AAU,Basic Materials,96.12M,-,-,1.78,35.60,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,6.78%,64.64%,95.91%,8.98%,14.62%,40.11%,42.03%,34.92%,-22.23%,107.38%,-24.74%,339.98%,65.95,5.07%,3.53,0.93,11.43%,11331618
ABEO,Healthcare,313.79M,-,44.83,2.72,3.24,-,93.77M,84.15M,34.30%,3.42%,0.96,-47.00%,-62.00%,2.70,0.02,64.53%,89.77%,13.99%,18.31%,11.97%,50.27%,79.48%,52.13%,-12.13%,136.15%,-23.27%,236.53%,79.02,-1.80%,3.42,3.33,-0.30%,7693747
ABEV,Consumer Defensive,44.22B,15.97,-,2.85,-,-,15.73B,4.39B,8.62%,1.72%,3.14,-,-,-,-,-3.77%,-8.47%,-24.31%,2.66%,3.27%,-4.41%,-4.90%,10.44%,-12.03%,9.85%,-25.92%,52.06%,43.26,0.36%,0.54,2.82,0.18%,9650448
ABIO,Healthcare,46.27M,-,-,0.60,0.91,-,9.32M,9.28M,7.20%,0.33%,0.05,-29.30%,-31.30%,34.00,0.00,12.19%,17.77%,-9.96%,5.59%,5.53%,10.17%,15.35%,-3.82%,-3.29%,26.26%,-77.27%,126.24%,67.11,0.80%,4.62,5.00,0.60%,2067785
ABUS,Healthcare,380.44M,-,62.37,-,3.22,-,79.49M,63.55M,31.20%,5.02%,0.79,-76.20%,128.90%,15.90,-,14.03%,15.50%,39.91%,10.38%,7.89%,9.42%,9.76%,45.45%,-24.87%,29.71%,-51.11%,401.14%,57.95,1.79%,0.94,4.41,-1.34%,2834284
ACCO,Industrials,884.43M,12.04,0.51,1.22,10.31,7.81,94.50M,91.78M,93.20%,4.14%,7.12,2.80%,10.30%,1.60,1.26,11.55%,8.45%,2.85%,3.41%,3.30%,7.12%,9.04%,32.53%,-1.35%,22.44%,-18.01%,165.81%,64.06,0.43%,0.47,9.33,-0.43%,189093
ACER,Healthcare,56.35M,-,-,4.25,9.09,-,11.51M,11.21M,31.60%,2.37%,0.33,-128.70%,-161.00%,1.60,0.00,3.75%,55.42%,-19.38%,9.93%,15.75%,9.71%,35.31%,32.88%,-14.64%,77.39%,-43.72%,277.78%,61.80,3.36%,0.52,4.08,5.43%,312273
ACH,Basic Materials,8.61B,-,0.31,0.71,4.30,16.06,680.91M,429.49M,1.60%,0.01%,0.39,0.00%,-0.10%,0.70,1.85,7.96%,-9.35%,21.49%,1.43%,1.64%,4.77%,-0.04%,34.23%,-11.76%,15.98%,-11.76%,90.87%,56.15,0.68%,0.31,8.78,-0.45%,22875
