Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,436.00M,-,18.40,5.24,25.20,-,34.43M,31.74M,0.04%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,347.06%,382.54%,462.96%,122.07%,35.35%,87.38%,189.96%,322.39%,-72.15%,386.73%,-72.15%,798.69%,56.87,-0.99%,0.20,5.50,-9.54%,982899
AAIC,Real Estate,123.02M,-,68.34,0.63,13.82,5.80,34.66M,32.45M,37.10%,2.89%,4.04,-2.70%,-24.60%,-,3.50,0.82%,-7.56%,-37.37%,2.67%,2.67%,-1.64%,-0.81%,22.59%,-9.29%,16.30%,-45.20%,165.00%,48.30,0.54%,0.74,3.71,1.09%,153320
AAME,Financial,53.47M,172.73,0.28,0.91,6.01,11.38,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,150.00%,142.55%,200.00%,92.88%,25.93%,70.85%,106.85%,153.04%,-66.87%,161.94%,-66.87%,234.88%,70.11,-1.58%,0.21,5.29,-7.17%,387567
AAU,Basic Materials,111.88M,-,-,2.07,41.44,-,119.16M,114.95M,5.90%,0.52%,0.13,-4.20%,-4.60%,9.50,0.04,30.85%,89.36%,123.99%,12.18%,15.58%,35.97%,42.01%,34.19%,-22.35%,107.07%,-24.85%,339.32%,64.08,-4.48%,2.59,0.93,-4.41%,10750425
ABEO,Healthcare,315.67M,-,45.10,2.73,3.26,-,93.77M,84.15M,34.30%,3.42%,0.92,-47.00%,-62.00%,2.70,0.02,43.59%,82.61%,6.33%,18.94%,12.35%,52.42%,84.96%,59.37%,-7.78%,147.85%,-19.47%,253.21%,81.04,2.38%,1.97,3.49,4.02%,5496321
ABEV,Consumer Defensive,44.53B,16.08,-,2.87,-,-,15.73B,4.39B,8.62%,1.72%,3.24,-,-,-,-,-4.39%,-4.39%,-23.77%,2.48%,3.23%,-4.72%,-5.90%,9.24%,-12.85%,8.83%,-26.42%,50.64%,42.04,-0.35%,0.51,2.79,-1.46%,10574503
ABIO,Healthcare,46.74M,-,-,0.60,0.91,-,9.32M,9.28M,7.20%,0.33%,0.05,-29.30%,-31.30%,34.00,0.00,10.57%,17.02%,-6.17%,6.42%,5.78%,16.75%,22.78%,2.61%,3.29%,34.85%,-75.73%,141.63%,73.52,5.58%,7.26,5.34,6.37%,4139023
ABUS,Healthcare,377.04M,-,61.81,-,3.19,-,79.49M,63.55M,31.20%,5.02%,0.79,-76.20%,128.90%,15.90,-,13.59%,2.55%,44.30%,11.70%,7.68%,7.49%,8.21%,42.70%,-25.89%,27.94%,-51.77%,394.32%,56.39,-0.45%,0.64,4.35,-1.81%,2326227
ACCO,Industrials,869.33M,11.84,0.50,1.20,10.13,7.67,94.50M,91.78M,93.20%,4.14%,7.20,2.80%,10.30%,1.60,1.26,7.85%,8.10%,0.55%,3.68%,3.45%,4.13%,5.81%,28.73%,-5.02%,19.16%,-20.21%,158.69%,57.82,0.54%,0.48,9.08,-1.41%,227047
ACER,Healthcare,59.55M,-,-,4.49,9.60,-,11.51M,11.21M,31.60%,2.37%,0.33,-128.70%,-161.00%,1.60,0.00,5.14%,65.59%,-13.35%,8.35%,15.96%,5.94%,32.01%,30.50%,-15.90%,74.78%,-44.55%,272.22%,60.06,1.47%,1.53,4.02,-1.71%,1120145
