Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,410.18M,-,17.31,4.93,23.71,-,34.43M,31.74M,0.04%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-9.64%,372.73%,420.00%,17.33%,36.32%,81.25%,188.19%,331.22%,-71.04%,406.19%,-71.04%,834.64%,57.56,6.23%,0.29,5.72,1.78%,1602559
AAIC,Real Estate,130.39M,-,72.44,0.67,14.65,6.15,34.66M,32.45M,37.10%,2.89%,4.06,-2.70%,-24.60%,-,3.50,5.42%,-1.52%,-34.07%,3.10%,2.91%,3.44%,3.72%,28.36%,-4.89%,21.18%,-42.54%,177.86%,60.68,-0.54%,1.06,3.89,4.57%,243640
AAME,Financial,53.56M,173.03,0.29,0.91,6.02,11.40,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,9.81%,153.78%,192.82%,31.08%,27.10%,75.83%,117.91%,170.91%,-64.25%,182.67%,-64.25%,261.39%,72.33,1.71%,1.08,5.71,8.56%,2250586
AAU,Basic Materials,103.29M,-,-,1.91,38.26,-,119.16M,114.95M,5.90%,0.52%,0.12,-4.20%,-4.60%,9.50,0.04,20.79%,38.46%,103.94%,15.08%,14.94%,28.84%,37.61%,29.20%,-25.00%,100.00%,-27.42%,324.33%,61.58,-2.73%,1.06,0.90,-1.64%,5108278
ABEO,Healthcare,278.09M,-,39.73,2.41,2.87,-,93.77M,84.15M,34.30%,3.42%,0.92,-47.00%,-62.00%,2.70,0.02,14.73%,65.36%,-4.21%,23.71%,13.90%,24.82%,53.81%,34.72%,-21.90%,109.91%,-31.80%,199.14%,64.45,-1.79%,5.36,2.96,-11.90%,16859509
ABEV,Consumer Defensive,43.90B,15.85,-,2.83,-,-,15.73B,4.39B,8.62%,1.72%,3.26,-,-,-,-,-4.45%,-9.42%,-22.82%,2.63%,3.04%,-4.27%,-6.01%,9.12%,-12.81%,6.45%,-25.63%,50.70%,41.94,-1.77%,0.51,2.79,-1.41%,11760903
ABIO,Healthcare,48.23M,-,-,0.62,0.94,-,9.32M,9.28M,7.20%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,11.16%,13.85%,-5.47%,7.16%,5.88%,12.33%,18.52%,-0.64%,-5.82%,30.80%,-76.45%,134.39%,67.74,0.00%,2.23,5.18,-2.26%,1590003
ABUS,Healthcare,368.53M,-,60.41,-,3.12,-,79.49M,63.55M,31.20%,5.02%,0.79,-76.20%,128.90%,15.90,-,4.34%,7.18%,32.01%,11.44%,7.86%,6.55%,7.80%,41.31%,-26.24%,27.35%,-52.00%,392.05%,55.80,0.00%,0.44,4.33,-1.14%,1771433
ACCO,Industrials,849.51M,11.57,0.49,1.17,9.90,7.50,94.50M,91.78M,93.20%,4.14%,7.25,2.80%,10.30%,1.60,1.26,1.58%,2.62%,-11.24%,3.71%,3.32%,3.06%,4.54%,27.42%,-5.86%,17.65%,-20.91%,156.41%,55.95,-1.00%,0.47,9.00,-0.44%,247041
ACER,Healthcare,55.91M,-,-,4.22,9.02,-,11.51M,11.21M,31.60%,2.37%,0.32,-128.70%,-161.00%,1.60,0.00,-3.76%,33.33%,-17.77%,11.27%,14.81%,-0.26%,25.03%,24.30%,-19.67%,66.96%,-47.03%,255.56%,55.41,0.25%,0.43,3.84,-3.76%,358336
