Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,436.00M,-,18.40,5.24,25.20,-,34.43M,31.74M,0.04%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,347.06%,382.54%,462.96%,122.07%,35.35%,107.13%,220.53%,366.94%,-69.22%,438.05%,-69.22%,893.46%,58.93,0.00%,0.42,6.08,0.00%,0
AAIC,Real Estate,123.02M,-,68.34,0.63,13.82,5.80,34.66M,32.45M,37.10%,2.89%,4.04,-2.70%,-24.60%,-,3.50,0.82%,-7.56%,-37.37%,2.67%,2.67%,-2.70%,-1.88%,21.27%,-10.27%,15.05%,-45.79%,162.14%,44.70,0.00%,0.61,3.67,0.00%,0
AAME,Financial,53.47M,172.73,0.28,0.91,6.01,11.38,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,150.00%,142.55%,200.00%,92.88%,25.93%,84.05%,122.84%,172.59%,-64.31%,182.18%,-64.31%,260.76%,76.31,0.00%,0.34,5.70,0.00%,0
AAU,Basic Materials,111.88M,-,-,2.07,41.44,-,119.16M,114.95M,5.90%,0.52%,0.13,-4.20%,-4.60%,9.50,0.04,30.85%,89.36%,123.99%,12.18%,15.58%,42.25%,48.57%,40.39%,-18.77%,116.62%,-21.39%,359.59%,67.66,0.00%,4.96,0.97,0.00%,0
ABEO,Healthcare,315.67M,-,45.10,2.73,3.26,-,93.77M,84.15M,34.30%,3.42%,0.92,-47.00%,-62.00%,2.70,0.02,43.59%,82.61%,6.33%,18.94%,12.35%,46.53%,77.82%,53.21%,-11.34%,138.28%,-22.58%,239.57%,79.64,0.00%,2.98,3.36,0.00%,0
ABEV,Consumer Defensive,44.53B,16.08,-,2.87,-,-,15.73B,4.39B,8.62%,1.72%,3.24,-,-,-,-,-4.39%,-4.39%,-23.77%,2.48%,3.23%,-3.31%,-4.51%,10.85%,-11.56%,10.44%,-25.34%,52.87%,44.29,0.00%,0.66,2.83,0.00%,0
ABIO,Healthcare,46.74M,-,-,0.60,0.91,-,9.32M,9.28M,7.20%,0.33%,0.05,-29.30%,-31.30%,34.00,0.00,10.57%,17.02%,-6.17%,6.42%,5.78%,9.75%,15.42%,-3.54%,-2.90%,26.76%,-77.18%,127.15%,67.54,0.00%,4.12,5.02,0.00%,0
ABUS,Healthcare,377.04M,-,61.81,-,3.19,-,79.49M,63.55M,31.20%,5.02%,0.79,-76.20%,128.90%,15.90,-,13.59%,2.55%,44.30%,11.70%,7.68%,9.46%,10.20%,45.33%,-24.53%,30.29%,-50.89%,403.41%,58.44,0.00%,0.83,4.43,0.00%,0
ACCO,Industrials,869.33M,11.84,0.50,1.20,10.13,7.67,94.50M,91.78M,93.20%,4.14%,7.20,2.80%,10.30%,1.60,1.26,7.85%,8.10%,0.55%,3.68%,3.45%,5.63%,7.33%,30.57%,-3.66%,20.87%,-19.07%,162.39%,61.02,0.00%,0.63,9.21,0.00%,0
ACER,Healthcare,59.55M,-,-,4.49,9.60,-,11.51M,11.21M,31.60%,2.37%,0.33,-128.70%,-161.00%,1.60,0.00,5.14%,65.59%,-13.35%,8.35%,15.96%,7.79%,34.31%,32.77%,-14.44%,77.83%,-43.59%,278.70%,61.96,0.00%,0.53,4.09,0.00%,0
