Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,419.50M,-,17.70,5.04,24.25,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,336.57%,361.14%,465.22%,120.04%,34.82%,148.96%,257.98%,388.07%,-69.16%,438.94%,-69.16%,895.10%,59.11,3.42%,0.50,6.09,4.10%,1258597
AAIC,Real Estate,125.36M,-,69.65,0.64,14.09,5.91,34.66M,32.45M,37.10%,2.82%,3.86,-2.70%,-24.60%,-,3.50,2.19%,-4.83%,-35.07%,3.00%,2.72%,-3.16%,-1.22%,22.01%,-10.02%,15.36%,-45.64%,162.86%,45.59,-1.07%,0.86,3.68,-1.60%,93071
AAME,Financial,60.97M,196.97,0.32,1.04,6.85,12.97,20.44M,4.08M,5.40%,0.01%,0.00,0.30%,1.00%,-,0.26,180.18%,175.42%,242.11%,85.72%,24.46%,129.18%,159.63%,203.48%,-61.05%,207.92%,-61.05%,293.67%,86.09,-6.00%,2.12,6.22,-4.31%,1980324
AAU,Basic Materials,90.70M,-,-,1.68,33.59,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,-14.98%,50.91%,75.62%,9.16%,14.48%,30.72%,28.69%,23.24%,-29.20%,88.80%,-31.48%,300.57%,61.86,5.02%,3.13,0.85,7.50%,5927154
ABEO,Healthcare,318.49M,-,45.50,2.76,3.29,-,93.77M,84.15M,34.30%,2.02%,0.60,-47.00%,-62.00%,2.70,0.02,74.74%,90.45%,35.06%,15.52%,11.34%,60.44%,89.07%,57.25%,-1.86%,148.91%,-20.85%,247.15%,81.77,10.03%,6.92,3.43,1.33%,8914939
ABEV,Consumer Defensive,44.53B,16.08,-,2.87,-,-,15.73B,4.39B,8.62%,1.84%,3.28,-,-,-,-,-2.41%,-5.35%,-25.53%,2.91%,3.29%,-4.21%,-4.38%,11.14%,-11.62%,10.36%,-25.58%,52.76%,43.82,-1.77%,0.98,2.83,-0.07%,11040200
ABIO,Healthcare,45.90M,-,-,0.59,0.90,-,9.32M,9.28M,7.20%,0.87%,0.14,-29.30%,-31.30%,34.00,0.00,9.07%,18.23%,-13.05%,5.53%,5.42%,9.22%,13.91%,-5.27%,-4.84%,24.24%,-77.64%,122.62%,65.14,1.62%,3.79,4.92,-0.20%,998808
ABUS,Healthcare,411.93M,-,67.53,-,3.48,-,79.49M,63.55M,31.20%,6.38%,1.02,-76.20%,128.90%,15.90,-,24.74%,24.10%,48.92%,7.95%,7.59%,16.58%,17.13%,55.52%,-20.10%,37.94%,-48.00%,432.95%,65.17,2.48%,2.71,4.69,-3.10%,4884278
ACCO,Industrials,876.88M,11.94,0.51,1.21,10.22,7.74,94.50M,91.78M,93.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,11.12%,6.41%,0.98%,3.23%,3.45%,7.88%,9.59%,33.14%,0.32%,22.70%,-17.84%,166.38%,64.86,0.22%,0.31,9.35,0.65%,76060
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,9.62%,57.71%,-11.92%,9.50%,15.41%,8.25%,32.10%,29.04%,-17.37%,71.73%,-45.52%,265.73%,60.16,0.50%,0.74,3.95,-1.01%,271069
ACH,Basic Materials,8.38B,-,0.30,0.69,4.18,15.62,680.91M,429.49M,1.60%,0.00%,0.09,0.00%,-0.10%,0.70,1.85,7.92%,-12.09%,19.00%,1.39%,1.65%,5.88%,1.06%,36.16%,-10.75%,17.31%,-10.75%,93.04%,57.79,3.73%,0.98,8.88,3.50%,44400
ACIU,Healthcare,558.91M,-,31.76,2.13,2.05,-,71.93M,37.91M,30.00%,3.25%,3.42,-22.10%,-24.20%,18.10,0.01,24.39%,34.68%,-19.39%,15.66%,10.12%,19.09%,32.07%,18.51%,-21.10%,57.80%,-41.62%,86.49%,68.74,1.18%,0.72,7.59,-0.78%,117723
ACOR,Healthcare,69.85M,1.42,0.42,1.15,1.11,-,47.71M,9.35M,40.50%,11.56%,0.92,6.60%,16.10%,1.10,0.73,12.17%,81.73%,-37.62%,6.72%,10.32%,14.80%,47.22%,69.84%,-9.01%,133.83%,-39.86%,210.92%,68.51,5.95%,0.57,7.88,4.23%,304257
ACRX,Healthcare,271.85M,-,52.28,-,6.31,-,113.81M,88.85M,25.40%,11.82%,2.15,-60.70%,85.50%,2.90,-,21.60%,89.05%,54.17%,10.65%,16.11%,30.53%,67.76%,90.91%,-4.59%,142.86%,-4.59%,299.91%,72.97,5.02%,1.88,2.81,8.30%,4170477
ACST,Healthcare,161.55M,-,-,9.78,-,-,179.50M,95.08M,1.66%,1.67%,0.04,-,-,-,-,32.35%,100.67%,18.91%,11.55%,17.48%,37.16%,103.74%,100.22%,-10.26%,360.36%,-10.26%,471.81%,74.82,6.11%,2.52,0.98,8.64%,51288858
ACTG,Industrials,361.23M,31.63,13.84,1.73,1.19,120.41,48.47M,46.31M,69.70%,2.64%,1.58,4.00%,7.30%,2.60,0.57,20.07%,70.14%,189.52%,10.84%,10.07%,31.22%,63.98%,100.45%,-1.30%,118.39%,-1.30%,334.28%,79.91,0.28%,3.04,7.60,5.85%,1074368
