Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,194.14M,-,8.16,5.46,11.22,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,381.85%,418.85%,455.26%,113.33%,33.31%,222.52%,320.53%,429.98%,-67.95%,460.18%,-67.95%,934.31%,60.05,-29.51%,3.54,6.33,-55.73%,18192719
AAIC,Real Estate,125.68M,-,69.82,0.64,14.12,5.93,34.66M,32.45M,36.40%,2.82%,3.79,-2.70%,-24.60%,-,3.50,1.93%,-4.90%,-36.16%,3.27%,2.75%,-3.49%,-0.46%,22.76%,-9.78%,22.59%,-45.49%,163.57%,45.98,0.00%,0.43,3.69,-0.27%,103078
AAME,Financial,105.30M,157.58,0.56,0.83,11.83,22.40,20.44M,4.08M,5.50%,0.01%,0.02,0.30%,1.00%,-,0.26,118.49%,126.09%,173.68%,71.90%,21.29%,119.64%,131.43%,158.50%,86.38%,157.43%,49.43%,229.11%,88.35,54.81%,3719.81,5.20,117.57%,111395843
AAU,Basic Materials,73.08M,-,-,1.59,27.07,-,119.16M,114.95M,5.90%,0.52%,0.15,-4.20%,-4.60%,9.50,0.04,2.39%,42.30%,60.58%,15.80%,14.55%,19.26%,11.30%,8.70%,-37.91%,65.58%,-39.91%,251.30%,55.97,1.57%,0.97,0.75,3.67%,3929108
ABEO,Healthcare,264.89M,-,37.84,2.10,2.74,-,93.77M,84.15M,37.00%,2.02%,0.66,-47.00%,-62.00%,2.70,0.02,35.08%,50.88%,-2.27%,10.38%,9.99%,27.75%,47.19%,18.43%,2.38%,96.95%,-40.55%,160.74%,70.55,5.69%,1.33,2.58,4.88%,3386096
ABEV,Consumer Defensive,45.95B,16.59,-,2.96,-,-,15.73B,4.39B,8.62%,1.84%,3.29,-,-,-,-,4.66%,-4.89%,-22.96%,3.12%,3.28%,-1.62%,-1.03%,15.11%,-8.75%,13.95%,-28.65%,57.73%,48.69,1.03%,0.62,2.92,0.34%,15303968
ABIO,Healthcare,43.29M,-,-,0.56,0.85,-,9.32M,9.28M,6.40%,0.87%,0.16,-29.30%,-31.30%,34.00,0.00,10.95%,12.83%,-16.04%,5.33%,5.12%,4.85%,8.58%,-10.13%,-3.72%,19.18%,-78.82%,110.86%,58.92,1.50%,2.12,4.66,0.00%,1087551
ABUS,Healthcare,342.08M,-,56.08,-,2.89,-,79.49M,63.55M,31.00%,6.38%,1.08,-76.20%,128.90%,15.90,-,9.79%,16.25%,29.69%,5.82%,7.46%,4.75%,4.55%,39.13%,-29.30%,22.06%,-53.99%,371.59%,56.78,1.92%,1.12,4.15,-0.24%,4194905
ACCO,Industrials,863.14M,11.39,0.50,1.16,10.06,7.62,94.50M,91.78M,94.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,9.52%,0.23%,-3.80%,3.36%,3.37%,2.69%,4.31%,26.79%,-2.42%,16.27%,-22.14%,152.42%,57.09,1.13%,0.58,8.86,0.11%,318188
ACER,Healthcare,59.25M,-,-,4.38,9.56,-,11.51M,11.21M,32.20%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,9.32%,60.89%,-11.53%,8.71%,15.01%,13.97%,35.82%,31.24%,-16.53%,73.48%,-44.97%,269.44%,61.25,0.74%,0.28,3.99,-1.72%,223405
