Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,179.34M,-,7.54,4.96,10.37,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-5.43%,341.02%,391.45%,12.78%,36.34%,36.70%,135.66%,288.88%,-71.86%,391.76%,-71.86%,807.99%,56.32,-1.39%,0.07,5.56,-3.36%,61510
AAIC,Real Estate,126.00M,-,70.00,0.68,14.16,5.94,34.66M,32.37M,37.80%,2.90%,4.03,-2.70%,-24.60%,-,3.50,7.36%,2.07%,-40.39%,4.65%,3.32%,6.23%,5.66%,31.29%,-2.20%,14.57%,-40.77%,186.43%,62.55,-1.02%,1.08,4.01,1.78%,40499
AAME,Financial,98.56M,158.79,0.53,0.84,11.07,20.97,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-8.07%,118.33%,137.10%,14.74%,28.17%,30.63%,75.41%,131.87%,-68.31%,149.27%,-68.31%,220.26%,62.05,-1.34%,0.08,5.06,-3.43%,29042
AAU,Basic Materials,100.81M,-,-,1.72,37.34,-,119.16M,114.95M,5.90%,0.78%,0.17,-4.20%,-4.60%,9.50,0.04,-16.90%,45.86%,81.64%,11.91%,14.29%,13.22%,30.77%,21.98%,-28.28%,91.24%,-30.60%,305.75%,56.36,2.46%,0.81,0.86,6.23%,677540
ABEO,Healthcare,275.18M,-,39.31,2.00,2.84,-,93.77M,84.15M,36.10%,3.42%,0.78,-47.00%,-62.00%,2.70,0.02,-26.79%,14.95%,-39.71%,19.99%,14.85%,-3.47%,20.06%,9.95%,-36.10%,71.75%,-44.20%,144.76%,49.63,1.22%,0.96,2.42,-1.55%,574970
ABEV,Consumer Defensive,43.43B,15.68,-,2.80,-,-,15.73B,4.39B,8.62%,1.72%,3.31,-,-,-,-,-2.47%,-10.10%,-22.82%,2.68%,3.04%,-3.23%,-6.72%,7.72%,-13.44%,0.73%,-23.37%,49.62%,42.10,-0.36%,0.59,2.77,0.36%,2182608
ABIO,Healthcare,44.46M,-,-,0.56,0.87,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-7.17%,-1.89%,-10.38%,6.42%,6.13%,0.99%,6.97%,-9.55%,-13.82%,19.69%,-78.45%,114.48%,51.71,0.21%,2.38,4.74,1.71%,308105
ABUS,Healthcare,367.61M,-,60.26,-,3.11,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-3.39%,5.16%,30.89%,6.75%,7.77%,6.81%,9.03%,41.11%,-24.79%,29.85%,-51.05%,401.70%,56.32,1.40%,0.40,4.41,3.15%,259103
ACCO,Industrials,781.19M,10.58,0.45,1.07,9.10,6.89,94.50M,91.78M,94.30%,4.14%,7.60,2.80%,10.30%,1.60,1.26,-10.64%,-5.84%,-13.37%,4.32%,3.64%,-6.83%,-6.36%,14.20%,-15.27%,1.63%,-16.15%,130.77%,38.59,0.12%,1.89,8.10,-1.58%,153340
ACER,Healthcare,52.05M,-,-,3.85,8.39,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-14.43%,-19.17%,-31.24%,9.76%,10.61%,-6.22%,14.34%,15.83%,-24.48%,56.96%,-50.21%,234.26%,49.70,0.86%,0.19,3.61,3.14%,26268
