Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,453.92M,-,19.15,5.46,26.24,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,381.85%,418.85%,455.26%,113.33%,33.31%,180.72%,286.71%,408.91%,-68.51%,450.44%,-68.51%,916.34%,59.71,-2.69%,1.35,6.22,-1.74%,4417239
AAIC,Real Estate,123.69M,-,68.72,0.64,13.90,5.83,34.66M,32.45M,37.10%,2.82%,3.83,-2.70%,-24.60%,-,3.50,1.93%,-4.90%,-36.16%,3.27%,2.75%,-3.19%,-0.74%,22.56%,-9.78%,17.14%,-45.49%,163.57%,45.98,-0.27%,0.58,3.69,0.00%,83800
AAME,Financial,48.78M,157.58,0.26,0.83,5.48,10.38,20.44M,4.08M,5.40%,0.01%,0.00,0.30%,1.00%,-,0.26,118.49%,126.09%,173.68%,71.90%,21.29%,149.05%,170.86%,208.30%,-60.86%,209.41%,-60.86%,295.57%,91.05,-5.77%,7.58,6.25,20.19%,8657719
AAU,Basic Materials,85.52M,-,-,1.59,31.67,-,119.16M,114.95M,5.90%,0.52%,0.15,-4.20%,-4.60%,9.50,0.04,2.39%,42.30%,60.58%,15.80%,14.55%,19.65%,14.59%,10.69%,-36.60%,69.07%,-38.65%,258.70%,56.92,3.34%,1.39,0.76,2.11%,3426068
ABEO,Healthcare,242.39M,-,34.63,2.10,2.50,-,93.77M,84.15M,34.30%,2.02%,0.66,-47.00%,-62.00%,2.70,0.02,35.08%,50.88%,-2.27%,10.38%,9.99%,54.16%,78.69%,45.68%,21.18%,135.19%,-26.84%,220.87%,79.35,3.49%,7.17,3.17,23.06%,11158764
ABEV,Consumer Defensive,45.95B,16.59,-,2.96,-,-,15.73B,4.39B,8.62%,1.84%,3.30,-,-,-,-,4.66%,-4.89%,-22.96%,3.12%,3.28%,-4.87%,-4.58%,10.99%,-11.88%,10.04%,-28.89%,52.33%,43.45,-3.42%,1.67,2.82,-3.42%,24699436
ABIO,Healthcare,43.38M,-,-,0.56,0.85,-,9.32M,9.28M,7.20%,0.87%,0.15,-29.30%,-31.30%,34.00,0.00,10.95%,12.83%,-16.04%,5.33%,5.12%,7.41%,11.60%,-7.50%,-0.82%,22.76%,-78.18%,117.20%,62.66,2.15%,2.44,4.80,3.01%,777123
ABUS,Healthcare,353.21M,-,57.90,-,2.99,-,79.49M,63.55M,31.20%,6.38%,1.07,-76.20%,128.90%,15.90,-,9.79%,16.25%,29.69%,5.82%,7.46%,10.33%,10.20%,46.28%,-25.30%,28.97%,-51.39%,398.30%,62.29,3.13%,1.49,4.39,5.66%,3411220
ACCO,Industrials,836.30M,11.39,0.48,1.16,9.75,7.38,94.50M,91.78M,93.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,9.52%,0.23%,-3.80%,3.36%,3.37%,5.91%,7.42%,30.56%,0.72%,20.01%,-19.64%,160.54%,61.94,0.45%,0.40,9.15,3.22%,131133
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,9.32%,60.89%,-11.53%,8.71%,15.01%,13.22%,36.56%,32.65%,-15.35%,75.93%,-44.19%,274.68%,62.15,1.50%,1.37,4.05,1.42%,650362
