Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,179.34M,-,7.54,4.96,10.37,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-5.43%,341.02%,391.45%,12.78%,36.34%,40.60%,142.38%,299.97%,-71.06%,405.79%,-71.06%,833.89%,57.07,-1.39%,0.07,5.72,-0.60%,319271
AAIC,Real Estate,126.00M,-,70.00,0.68,14.16,5.94,34.66M,32.37M,37.80%,2.90%,4.03,-2.70%,-24.60%,-,3.50,7.36%,2.07%,-40.39%,4.65%,3.32%,5.70%,5.13%,30.63%,-2.68%,14.00%,-41.06%,185.00%,61.67,-1.02%,0.68,3.99,1.27%,118478
AAME,Financial,98.56M,158.79,0.53,0.84,11.07,20.97,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-8.07%,118.33%,137.10%,14.74%,28.17%,29.86%,74.37%,130.49%,-68.50%,147.78%,-68.50%,218.35%,61.65,-1.34%,0.10,5.03,-4.01%,160807
AAU,Basic Materials,100.81M,-,-,1.72,37.34,-,119.16M,114.95M,5.90%,0.78%,0.17,-4.20%,-4.60%,9.50,0.04,-16.90%,45.86%,81.64%,11.91%,14.29%,11.75%,29.07%,20.39%,-29.22%,88.76%,-31.50%,300.47%,55.73,2.46%,0.49,0.85,4.85%,1899189
ABEO,Healthcare,275.18M,-,39.31,2.00,2.84,-,93.77M,84.15M,36.10%,3.42%,0.78,-47.00%,-62.00%,2.70,0.02,-26.79%,14.95%,-39.71%,19.99%,14.85%,-4.74%,18.48%,8.50%,-36.94%,69.49%,-44.93%,141.54%,48.86,1.22%,0.76,2.39,-2.85%,2111524
ABEV,Consumer Defensive,43.43B,15.68,-,2.80,-,-,15.73B,4.39B,8.62%,1.72%,3.31,-,-,-,-,-2.47%,-10.10%,-22.82%,2.68%,3.04%,-2.36%,-5.87%,8.69%,-12.66%,1.64%,-22.68%,50.97%,43.95,-0.36%,1.18,2.80,1.27%,20211828
ABIO,Healthcare,44.46M,-,-,0.56,0.87,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-7.17%,-1.89%,-10.38%,6.42%,6.13%,0.33%,6.27%,-10.14%,-14.38%,18.91%,-78.60%,113.08%,50.87,0.21%,1.42,4.71,1.05%,854382
ABUS,Healthcare,367.61M,-,60.26,-,3.11,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-3.39%,5.16%,30.89%,6.75%,7.77%,7.17%,9.40%,41.59%,-24.53%,30.29%,-50.89%,403.41%,56.63,1.40%,0.61,4.43,3.50%,1831787
ACCO,Industrials,781.19M,10.58,0.45,1.07,9.10,6.89,94.50M,91.78M,94.30%,4.14%,7.60,2.80%,10.30%,1.60,1.26,-10.64%,-5.84%,-13.37%,4.32%,3.64%,-5.68%,-5.20%,15.61%,-14.23%,2.89%,-15.11%,133.62%,40.15,0.12%,1.64,8.20,-0.36%,618179
ACER,Healthcare,52.05M,-,-,3.85,8.39,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-14.43%,-19.17%,-31.24%,9.76%,10.61%,-7.26%,13.07%,14.55%,-25.31%,55.22%,-50.76%,230.56%,48.74,0.86%,0.12,3.57,2.00%,75077
ACIU,Healthcare,584.15M,-,32.82,2.17,2.11,-,71.93M,37.91M,29.90%,2.83%,1.15,-22.10%,-24.20%,18.10,0.01,8.21%,27.99%,-7.59%,22.43%,12.88%,13.53%,31.12%,24.76%,-35.84%,66.74%,-38.31%,97.05%,59.37,2.91%,1.32,8.02,1.39%,928617
ACOR,Healthcare,65.77M,1.29,0.40,1.05,1.04,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,-7.03%,-13.68%,-32.94%,5.85%,8.24%,-8.28%,15.74%,42.53%,-22.75%,98.52%,-37.01%,163.97%,48.07,0.29%,0.22,6.69,-2.76%,199027
ACRX,Healthcare,237.60M,-,45.69,-,5.51,-,113.81M,88.85M,25.60%,12.35%,2.01,-60.70%,85.50%,2.90,-,-18.18%,-8.09%,44.97%,9.61%,11.93%,-6.14%,20.58%,45.11%,-25.85%,88.74%,-25.85%,210.81%,49.77,0.93%,0.50,2.18,0.93%,2050737
ACST,Healthcare,163.83M,33.80,2022.54,5.53,-,-,179.50M,176.13M,1.66%,1.27%,0.04,-,-,-,-,-23.94%,43.19%,62.98%,11.60%,15.87%,11.95%,62.69%,88.11%,-22.10%,289.51%,-22.10%,455.79%,57.87,2.96%,0.57,0.95,4.13%,22366081
ACTG,Industrials,386.80M,35.20,14.82,1.93,1.28,128.93,48.47M,46.31M,69.30%,2.59%,1.28,4.00%,7.30%,2.60,0.57,-0.75%,42.68%,235.71%,8.21%,9.96%,23.54%,61.70%,112.39%,-0.59%,142.82%,-0.59%,382.86%,77.75,0.38%,2.91,8.45,5.76%,2051170
ADAP,Healthcare,941.19M,-,294.12,2.46,2.35,-,154.67M,11.25M,84.40%,12.77%,0.90,-33.70%,-44.90%,12.20,0.00,-11.67%,0.67%,50.25%,10.33%,8.41%,2.39%,11.70%,-12.83%,-15.66%,63.34%,-53.80%,209.54%,52.05,1.00%,0.58,6.19,3.52%,698173
ADES,Industrials,113.38M,-,1.91,1.28,7.56,3.02,18.09M,17.94M,63.60%,4.58%,6.93,-14.50%,-24.20%,1.40,0.35,4.73%,10.33%,-52.12%,6.09%,6.09%,11.76%,10.97%,24.71%,-1.44%,32.84%,-51.30%,74.76%,62.59,0.33%,2.16,6.15,2.85%,192679
ADIL,Healthcare,41.06M,-,-,5.69,5.55,-,13.65M,11.64M,9.90%,2.97%,0.55,-121.30%,-132.80%,7.50,0.00,2.42%,46.53%,83.77%,10.48%,11.35%,16.58%,38.56%,71.73%,-8.77%,88.12%,-24.75%,201.00%,65.83,-0.34%,0.96,3.01,1.69%,454676
ADMA,Healthcare,258.51M,-,6.41,3.26,4.33,-,87.70M,70.91M,54.90%,13.61%,2.40,-37.20%,-98.80%,8.50,1.36,-8.33%,17.86%,-31.78%,7.22%,7.61%,1.46%,13.52%,3.91%,-16.09%,36.40%,-37.86%,80.00%,54.33,1.89%,0.89,2.61,-1.14%,2682355
ADMP,Healthcare,183.52M,-,9.97,3.75,14.80,-,140.28M,92.57M,5.30%,5.48%,0.26,-78.50%,-115.90%,1.30,0.19,-18.18%,67.70%,94.41%,10.29%,16.96%,-1.05%,49.93%,81.03%,-40.38%,196.81%,-40.38%,416.67%,55.51,1.48%,0.29,1.39,3.33%,4161892
ADMS,Healthcare,171.24M,-,2.45,-,1.85,-,28.38M,27.75M,63.00%,6.39%,3.30,-43.50%,328.40%,3.90,-,-7.69%,27.43%,3.04%,7.27%,11.76%,1.68%,14.46%,45.69%,-35.96%,42.58%,-35.96%,208.42%,54.42,1.04%,0.28,5.86,1.74%,111244
ADT,Industrials,7.60B,-,1.44,2.30,15.54,11.79,769.24M,691.77M,95.70%,2.39%,4.17,-3.70%,-19.70%,0.90,3.10,0.54%,5.86%,30.06%,3.09%,5.05%,4.34%,10.81%,14.04%,-8.69%,26.71%,-43.49%,185.61%,62.02,0.00%,0.80,9.73,3.57%,2391817
ADTX,Healthcare,59.50M,-,-,2.26,4.34,-,13.97M,9.25M,6.80%,10.77%,0.24,-133.80%,-596.90%,18.90,0.00,2.20%,75.31%,-,18.51%,19.32%,4.58%,39.10%,37.88%,-41.46%,106.28%,-58.87%,143.21%,55.01,0.00%,0.15,3.94,-5.97%,453603
ADXS,Healthcare,137.45M,-,458.16,2.79,5.45,-,70.13M,-,17.50%,-,0.37,-60.50%,-76.40%,8.50,0.00,5.26%,67.22%,12.15%,18.54%,14.09%,26.59%,85.94%,115.11%,-24.84%,301.22%,-24.84%,347.14%,64.24,0.00%,0.56,1.18,-1.67%,6255768
