Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,438.58M,-,18.43,12.33,25.35,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,1025.98%,1062.60%,1138.10%,99.04%,29.80%,245.45%,350.43%,467.65%,-65.67%,500.00%,-65.67%,1007.84%,61.41,-29.51%,8.00,6.78,-52.59%,12694613
AAIC,Real Estate,126.02M,-,70.01,0.64,14.16,5.94,34.66M,32.45M,36.40%,2.82%,3.79,-2.70%,-24.60%,-,3.50,0.27%,-1.86%,-35.54%,3.19%,2.77%,-3.45%,-0.42%,22.82%,-9.74%,22.64%,-45.47%,163.69%,46.09,0.00%,0.34,3.69,-0.23%,25241
AAU,Basic Materials,70.49M,-,-,1.53,26.11,-,119.16M,114.95M,5.90%,0.52%,0.15,-4.20%,-4.60%,9.50,0.04,22.08%,41.95%,53.44%,22.88%,14.65%,15.43%,7.73%,5.20%,-39.90%,60.26%,-41.84%,240.00%,54.53,1.57%,0.94,0.72,0.34%,1166964
ABEO,Healthcare,252.57M,-,36.08,2.00,2.61,-,93.77M,84.15M,37.00%,2.02%,0.66,-47.00%,-62.00%,2.70,0.02,23.62%,41.38%,-6.82%,8.86%,9.72%,20.32%,38.63%,11.54%,-3.58%,85.49%,-44.01%,145.57%,66.55,5.69%,1.99,2.43,-1.22%,1567745
ABEV,Consumer Defensive,45.79B,16.53,-,2.95,-,-,15.73B,4.39B,8.62%,1.84%,3.29,-,-,-,-,0.34%,-4.90%,-26.62%,3.33%,3.37%,-0.94%,-0.35%,15.89%,-8.12%,14.73%,-28.16%,58.81%,49.82,1.03%,0.59,2.94,1.03%,4474927
ABIO,Healthcare,43.29M,-,-,0.56,0.85,-,9.32M,9.28M,6.40%,0.87%,0.16,-29.30%,-31.30%,34.00,0.00,11.48%,9.39%,-17.38%,5.80%,5.19%,5.14%,8.89%,-9.88%,-3.45%,19.51%,-78.76%,111.45%,59.27,1.50%,3.83,4.67,0.28%,606572
ABUS,Healthcare,342.91M,-,56.21,-,2.90,-,79.49M,63.55M,31.00%,6.38%,1.08,-76.20%,128.90%,15.90,-,13.35%,17.18%,28.40%,6.22%,7.52%,2.98%,2.79%,36.78%,-30.49%,20.00%,-54.77%,363.64%,54.58,1.92%,1.91,4.08,-1.92%,2207392
ACCO,Industrials,862.17M,11.38,0.50,1.15,10.05,7.61,94.50M,91.78M,94.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,6.12%,3.75%,-3.49%,3.44%,3.44%,1.95%,3.56%,25.88%,-3.12%,15.44%,-22.70%,150.61%,55.66,1.13%,0.41,8.80,-0.61%,68707
ACER,Healthcare,60.29M,-,-,4.46,9.72,-,11.51M,11.21M,32.20%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,7.12%,58.59%,-6.45%,9.30%,15.12%,14.82%,36.84%,32.23%,-15.90%,74.78%,-44.55%,272.22%,61.98,0.74%,0.47,4.02,-0.99%,113011
ACH,Basic Materials,8.20B,-,0.30,0.65,4.08,15.24,680.91M,429.49M,1.60%,0.00%,0.09,0.00%,-0.10%,0.70,1.85,2.15%,-12.74%,9.19%,1.69%,1.78%,-4.78%,-7.78%,25.18%,-18.39%,7.27%,-18.39%,76.52%,44.70,0.37%,0.67,8.12,0.50%,20171
ACIU,Healthcare,528.09M,-,29.50,1.97,1.90,-,71.93M,37.91M,29.80%,3.25%,3.42,-22.10%,-24.20%,18.10,0.01,17.13%,30.55%,-24.97%,13.90%,9.34%,11.89%,22.72%,8.48%,-27.75%,44.49%,-46.54%,70.76%,62.37,-0.42%,2.63,6.95,-3.20%,292423
ACOR,Healthcare,69.45M,1.35,0.42,1.09,1.10,-,47.71M,9.35M,41.80%,11.56%,0.91,6.60%,16.10%,1.10,0.73,3.77%,77.23%,-44.75%,8.03%,10.71%,13.90%,42.32%,60.69%,-14.09%,120.77%,-43.38%,193.56%,64.56,0.84%,0.22,7.44,3.91%,81684
ACRX,Healthcare,249.08M,-,47.90,-,5.78,-,113.81M,88.85M,25.40%,11.82%,2.21,-60.70%,85.50%,2.90,-,3.11%,69.34%,38.92%,8.67%,15.56%,12.04%,40.06%,56.62%,-22.28%,97.84%,-22.28%,225.78%,61.34,4.31%,1.25,2.29,-1.51%,1836469
ACST,Healthcare,73.15M,-,-,8.21,-,-,96.89M,93.53M,1.66%,1.70%,0.04,-,-,-,-,8.71%,45.75%,-1.95%,9.81%,17.89%,10.10%,64.40%,54.31%,-31.23%,252.78%,-31.23%,338.19%,62.74,2.57%,0.83,0.75,-0.75%,11061103
ACTG,Industrials,363.54M,32.16,13.93,1.76,1.20,121.18,48.47M,46.31M,69.70%,2.64%,1.70,4.00%,7.30%,2.60,0.57,28.98%,82.96%,199.18%,10.42%,10.01%,33.42%,63.29%,96.09%,-4.61%,111.06%,-4.61%,319.71%,80.68,2.47%,4.27,7.34,0.62%,949908
ADAP,Healthcare,907.24M,-,283.51,2.40,2.27,-,154.67M,11.25M,90.10%,11.81%,0.86,-33.70%,-44.90%,12.20,0.00,6.57%,1.21%,29.78%,6.04%,7.31%,6.76%,18.67%,-11.45%,-3.90%,62.66%,-53.99%,208.24%,59.53,0.68%,0.91,6.16,5.56%,434438
