Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,403.01M,-,17.00,4.84,23.30,-,34.43M,31.74M,0.04%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-60.70%,350.32%,435.14%,30.85%,35.89%,91.46%,196.28%,331.61%,-71.54%,397.35%,-71.54%,818.30%,57.28,-0.99%,0.19,5.62,-7.57%,1085583
AAIC,Real Estate,124.69M,-,69.27,0.64,14.01,5.88,34.66M,32.45M,37.10%,2.89%,4.04,-2.70%,-24.60%,-,3.50,0.54%,-6.30%,-36.19%,2.48%,2.74%,-1.38%,-0.54%,22.92%,-9.05%,16.61%,-45.05%,165.71%,49.13,0.54%,0.82,3.72,1.36%,190835
AAME,Financial,49.34M,159.39,0.26,0.84,5.54,10.50,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,120.08%,136.94%,192.22%,93.84%,26.00%,69.84%,105.64%,151.55%,-67.06%,160.40%,-67.06%,232.91%,69.68,-1.58%,0.20,5.26,-7.72%,424955
AAU,Basic Materials,105.01M,-,-,1.95,38.89,-,119.16M,114.95M,5.90%,0.52%,0.13,-4.20%,-4.60%,9.50,0.04,27.31%,55.08%,111.32%,14.48%,15.40%,33.52%,39.45%,31.77%,-23.75%,103.33%,-26.21%,331.40%,62.78,-4.48%,2.42,0.92,-6.13%,11192964
ABEO,Healthcare,315.67M,-,45.10,2.73,3.26,-,93.77M,84.15M,34.30%,3.42%,0.92,-47.00%,-62.00%,2.70,0.02,36.59%,84.62%,5.99%,20.27%,12.63%,46.53%,77.82%,53.21%,-11.34%,138.28%,-22.58%,239.57%,79.64,2.38%,2.28,3.36,0.00%,7096263
ABEV,Consumer Defensive,44.53B,16.08,-,2.87,-,-,15.73B,4.39B,8.62%,1.72%,3.24,-,-,-,-,-2.75%,-11.29%,-22.96%,2.68%,3.06%,-3.31%,-4.51%,10.85%,-11.56%,10.44%,-25.34%,52.87%,44.29,-0.35%,0.73,2.83,0.00%,16990080
ABIO,Healthcare,49.34M,-,-,0.63,0.97,-,9.32M,9.28M,7.20%,0.33%,0.05,-29.30%,-31.30%,34.00,0.00,13.73%,22.97%,-3.46%,7.21%,5.98%,15.87%,21.86%,1.84%,2.51%,33.84%,-75.91%,139.82%,72.90,5.58%,7.70,5.30,5.58%,4891563
ABUS,Healthcare,372.78M,-,61.11,-,3.15,-,79.49M,63.55M,31.20%,5.02%,0.79,-76.20%,128.90%,15.90,-,5.29%,6.83%,39.05%,11.85%,7.90%,8.23%,8.96%,43.69%,-25.38%,28.82%,-51.44%,397.73%,57.14,-0.45%,0.65,4.38,-1.13%,2648702
ACCO,Industrials,853.29M,11.62,0.49,1.18,9.95,7.53,94.50M,91.78M,93.20%,4.14%,7.20,2.80%,10.30%,1.60,1.26,2.15%,0.33%,-12.32%,3.81%,3.37%,3.68%,5.34%,28.16%,-5.44%,18.64%,-20.56%,157.55%,56.91,0.54%,0.69,9.04,-1.85%,366255
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,2.37%,0.33,-128.70%,-161.00%,1.60,0.00,-1.72%,54.65%,-15.47%,10.75%,16.20%,5.15%,31.03%,29.52%,-16.53%,73.48%,-44.97%,269.44%,59.28,1.47%,1.43,3.99,-2.44%,1166947
