Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,178.41M,-,7.50,4.93,10.31,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-9.64%,372.73%,420.00%,17.33%,36.32%,77.58%,188.98%,343.96%,-69.62%,430.97%,-69.62%,880.39%,58.38,0.87%,0.13,6.00,4.90%,445889
AAIC,Real Estate,124.40M,-,69.11,0.67,13.98,5.87,34.66M,32.37M,37.80%,2.90%,4.07,-2.70%,-24.60%,-,3.50,5.42%,-1.52%,-34.07%,3.10%,2.91%,7.01%,6.86%,32.44%,-1.71%,24.07%,-40.62%,187.14%,66.87,0.00%,3.06,4.02,3.34%,425027
AAME,Financial,107.41M,173.03,0.57,0.91,12.07,22.85,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,9.81%,153.78%,192.82%,31.08%,27.10%,57.22%,99.90%,152.94%,-66.31%,166.34%,-66.31%,240.51%,67.66,-2.63%,0.38,5.38,-5.78%,476371
AAU,Basic Materials,112.00M,-,-,1.91,41.48,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,20.79%,38.46%,103.94%,15.08%,14.94%,35.64%,48.11%,38.21%,-19.52%,114.61%,-22.12%,355.33%,64.76,6.67%,1.86,0.97,7.31%,5477842
ABEO,Healthcare,331.11M,-,47.30,2.41,3.42,-,93.77M,84.15M,36.10%,3.42%,0.85,-47.00%,-62.00%,2.70,0.02,14.73%,65.36%,-4.21%,23.71%,13.90%,26.12%,56.30%,38.81%,-19.45%,116.50%,-29.66%,208.52%,66.06,1.35%,1.53,3.05,3.14%,3136772
ABEV,Consumer Defensive,43.90B,15.85,-,2.83,-,-,15.73B,4.39B,8.62%,1.72%,3.29,-,-,-,-,-4.45%,-9.42%,-22.82%,2.63%,3.04%,-0.69%,-3.15%,12.30%,-10.16%,5.76%,-22.76%,55.30%,48.21,0.36%,0.73,2.88,3.05%,10093695
ABIO,Healthcare,49.42M,-,-,0.62,0.97,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,11.16%,13.85%,-5.47%,7.16%,5.88%,11.27%,17.76%,-0.97%,-6.00%,30.55%,-76.50%,133.94%,67.31,2.51%,2.50,5.17,-0.19%,1109201
ABUS,Healthcare,371.90M,-,60.97,-,3.14,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,4.34%,7.18%,32.01%,11.44%,7.86%,9.83%,11.34%,45.45%,-23.68%,31.76%,-50.33%,409.09%,58.91,2.77%,0.69,4.48,3.46%,1690562
ACCO,Industrials,854.28M,11.57,0.49,1.17,9.96,7.54,94.50M,91.78M,94.30%,4.14%,7.42,2.80%,10.30%,1.60,1.26,1.58%,2.62%,-11.24%,3.71%,3.32%,1.25%,2.50%,25.16%,-7.43%,15.69%,-16.67%,152.14%,52.40,0.11%,0.38,8.85,-1.67%,116460
ACER,Healthcare,57.10M,-,-,4.22,9.21,-,11.51M,11.21M,31.80%,2.37%,0.32,-128.70%,-161.00%,1.60,0.00,-3.76%,33.33%,-17.77%,11.27%,14.81%,-3.82%,21.20%,21.12%,-21.55%,63.04%,-48.28%,247.22%,53.16,1.04%,0.42,3.75,-2.34%,209986
