Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,187.76M,-,7.89,5.19,10.85,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-3.06%,377.78%,366.67%,12.99%,36.30%,47.92%,151.03%,305.34%,-71.19%,403.54%,-71.19%,829.74%,56.97,-0.83%,0.18,5.69,-5.48%,984833
AAIC,Real Estate,127.60M,-,70.89,0.69,14.34,6.02,34.66M,32.37M,37.80%,2.90%,4.01,-2.70%,-24.60%,-,3.50,7.55%,1.53%,-37.56%,4.31%,3.25%,4.66%,4.15%,29.44%,-3.78%,16.72%,-41.73%,181.79%,59.62,0.00%,0.74,3.94,-1.13%,169305
AAME,Financial,104.02M,167.58,0.55,0.88,11.69,22.13,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-15.31%,137.34%,162.09%,13.97%,27.60%,40.24%,85.31%,141.76%,-67.24%,157.74%,-67.24%,231.15%,64.43,0.36%,0.16,5.23,-5.39%,330263
AAU,Basic Materials,112.00M,-,-,1.91,41.48,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,7.46%,59.60%,106.00%,15.44%,13.89%,9.65%,24.74%,16.57%,-31.65%,82.27%,-33.85%,286.70%,54.05,0.00%,0.59,0.82,-8.87%,2927148
ABEO,Healthcare,294.19M,-,42.03,2.14,3.04,-,93.77M,84.15M,36.10%,3.42%,0.78,-47.00%,-62.00%,2.70,0.02,-21.26%,37.70%,-24.86%,21.71%,14.85%,0.78%,25.36%,13.72%,-33.90%,77.65%,-42.28%,153.16%,51.66,-8.37%,1.11,2.51,-4.75%,3986654
ABEV,Consumer Defensive,45.16B,16.31,-,2.91,-,-,15.73B,4.39B,8.62%,1.72%,3.30,-,-,-,-,2.14%,-5.90%,-18.86%,2.68%,3.04%,-3.70%,-6.76%,7.86%,-13.44%,0.73%,-24.19%,49.62%,41.84,-2.44%,1.09,2.77,-3.48%,24179464
ABIO,Healthcare,46.94M,-,-,0.59,0.92,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-1.01%,10.56%,-8.04%,6.78%,6.15%,-0.75%,5.30%,-11.07%,-15.35%,17.57%,-78.84%,110.68%,49.37,-1.42%,1.20,4.66,-5.37%,914945
ABUS,Healthcare,378.77M,-,62.09,-,3.20,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-1.34%,12.79%,29.71%,7.91%,8.04%,3.64%,5.72%,37.31%,-27.17%,25.74%,-52.61%,385.80%,53.09,-0.91%,0.42,4.28,-3.06%,1662351
ACCO,Industrials,800.18M,10.84,0.46,1.10,9.33,7.06,94.50M,91.78M,94.30%,4.14%,7.70,2.80%,10.30%,1.60,1.26,-10.03%,-4.53%,-12.46%,4.59%,3.60%,-5.68%,-4.93%,16.16%,-13.91%,3.26%,-16.36%,134.47%,40.65,-0.71%,1.80,8.23,-2.37%,866834
ACER,Healthcare,55.61M,-,-,4.11,8.97,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-3.36%,-2.86%,-24.37%,9.58%,12.01%,-9.76%,11.18%,12.20%,-26.99%,51.74%,-51.86%,223.15%,46.74,0.00%,0.24,3.49,-6.68%,198880
