Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,179.34M,-,7.54,4.96,10.37,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-5.43%,341.02%,391.45%,12.78%,36.34%,38.25%,138.33%,293.30%,-71.54%,397.35%,-71.54%,818.30%,56.62,-1.39%,0.06,5.62,-2.26%,199851
AAIC,Real Estate,126.00M,-,70.00,0.68,14.16,5.94,34.66M,32.37M,37.80%,2.90%,4.03,-2.70%,-24.60%,-,3.50,7.36%,2.07%,-40.39%,4.65%,3.32%,5.17%,4.61%,29.98%,-3.17%,13.43%,-41.36%,183.57%,60.74,-1.02%,0.80,3.97,0.76%,112137
AAME,Financial,98.56M,158.79,0.53,0.84,11.07,20.97,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-8.07%,118.33%,137.10%,14.74%,28.17%,31.02%,75.93%,132.56%,-68.22%,150.00%,-68.22%,221.20%,62.25,-1.34%,0.11,5.07,-3.15%,141650
AAU,Basic Materials,100.81M,-,-,1.72,37.34,-,119.16M,114.95M,5.90%,0.78%,0.17,-4.20%,-4.60%,9.50,0.04,-16.90%,45.86%,81.64%,11.91%,14.29%,12.85%,30.34%,21.58%,-28.52%,90.62%,-30.82%,304.43%,56.20,2.46%,0.56,0.86,5.89%,1751699
ABEO,Healthcare,275.18M,-,39.31,2.00,2.84,-,93.77M,84.15M,36.10%,3.42%,0.78,-47.00%,-62.00%,2.70,0.02,-26.79%,14.95%,-39.71%,19.99%,14.85%,-4.35%,18.97%,8.95%,-36.68%,70.19%,-44.70%,142.54%,49.09,1.22%,0.80,2.40,-2.44%,1774873
ABEV,Consumer Defensive,43.43B,15.68,-,2.80,-,-,15.73B,4.39B,8.62%,1.72%,3.31,-,-,-,-,-2.47%,-10.10%,-22.82%,2.68%,3.04%,-2.53%,-6.04%,8.50%,-12.81%,1.45%,-22.82%,50.70%,43.59,-0.36%,1.00,2.79,1.09%,13685930
ABIO,Healthcare,44.46M,-,-,0.56,0.87,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-7.17%,-1.89%,-10.38%,6.42%,6.13%,0.14%,6.07%,-10.31%,-14.55%,18.68%,-78.64%,112.67%,50.62,0.21%,1.66,4.70,0.86%,796675
ABUS,Healthcare,367.61M,-,60.26,-,3.11,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-3.39%,5.16%,30.89%,6.75%,7.77%,7.78%,10.02%,42.39%,-24.11%,31.03%,-50.61%,406.25%,57.16,1.40%,0.70,4.45,4.09%,1707439
ACCO,Industrials,781.19M,10.58,0.45,1.07,9.10,6.89,94.50M,91.78M,94.30%,4.14%,7.60,2.80%,10.30%,1.60,1.26,-10.64%,-5.84%,-13.37%,4.32%,3.64%,-6.02%,-5.55%,15.19%,-14.54%,2.51%,-15.42%,132.76%,39.67,0.12%,1.88,8.17,-0.73%,567628
ACER,Healthcare,52.05M,-,-,3.85,8.39,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-14.43%,-19.17%,-31.24%,9.76%,10.61%,-7.55%,12.73%,14.19%,-25.54%,54.74%,-50.91%,229.54%,48.46,0.86%,0.13,3.56,1.69%,67066
ACIU,Healthcare,584.15M,-,32.82,2.17,2.11,-,71.93M,37.91M,29.90%,2.83%,1.15,-22.10%,-24.20%,18.10,0.01,8.21%,27.99%,-7.59%,22.43%,12.88%,12.54%,29.98%,23.67%,-36.40%,65.28%,-38.85%,95.33%,58.84,2.91%,1.57,7.95,0.51%,884402
ACOR,Healthcare,65.77M,1.29,0.40,1.05,1.04,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,-7.03%,-13.68%,-32.94%,5.85%,8.24%,-9.10%,14.70%,41.25%,-23.44%,96.74%,-37.57%,161.60%,47.28,0.29%,0.21,6.63,-3.63%,156284
ACRX,Healthcare,237.60M,-,45.69,-,5.51,-,113.81M,88.85M,25.60%,12.35%,2.01,-60.70%,85.50%,2.90,-,-18.18%,-8.09%,44.97%,9.61%,11.93%,-6.14%,20.58%,45.11%,-25.85%,88.74%,-25.85%,210.81%,49.77,0.93%,0.54,2.18,0.93%,1779509
