Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,178.41M,-,7.50,4.93,10.31,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-9.64%,372.73%,420.00%,17.33%,36.32%,74.62%,184.17%,336.57%,-70.13%,422.13%,-70.13%,864.07%,58.09,0.87%,0.14,5.90,3.15%,369516
AAIC,Real Estate,124.40M,-,69.11,0.67,13.98,5.87,34.66M,32.37M,37.80%,2.90%,4.07,-2.70%,-24.60%,-,3.50,5.42%,-1.52%,-34.07%,3.10%,2.91%,6.71%,6.56%,32.06%,-2.00%,23.72%,-40.79%,186.31%,66.40,0.00%,3.87,4.01,3.04%,406676
AAME,Financial,107.41M,173.03,0.57,0.91,12.07,22.85,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,9.81%,153.78%,192.82%,31.08%,27.10%,58.66%,101.74%,155.27%,-66.00%,168.79%,-66.00%,243.64%,68.32,-2.63%,0.49,5.43,-4.91%,467269
AAU,Basic Materials,112.00M,-,-,1.91,41.48,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,20.79%,38.46%,103.94%,15.08%,14.94%,36.11%,48.63%,38.69%,-19.24%,115.36%,-21.85%,356.91%,64.91,6.67%,2.22,0.97,7.68%,4940562
ABEO,Healthcare,331.11M,-,47.30,2.41,3.42,-,93.77M,84.15M,36.10%,3.42%,0.85,-47.00%,-62.00%,2.70,0.02,14.73%,65.36%,-4.21%,23.71%,13.90%,24.15%,53.85%,36.64%,-20.71%,113.11%,-30.76%,203.69%,65.25,1.35%,1.77,3.01,1.52%,2746755
ABEV,Consumer Defensive,43.90B,15.85,-,2.83,-,-,15.73B,4.39B,8.62%,1.72%,3.29,-,-,-,-,-4.45%,-9.42%,-22.82%,2.63%,3.04%,-1.38%,-3.82%,11.52%,-10.78%,5.02%,-23.30%,54.22%,46.86,0.36%,0.76,2.86,2.33%,7918620
ABIO,Healthcare,49.42M,-,-,0.62,0.97,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,11.16%,13.85%,-5.47%,7.16%,5.88%,9.98%,16.39%,-2.12%,-7.09%,29.04%,-76.77%,131.22%,64.85,2.51%,2.99,5.11,-1.35%,1006818
ABUS,Healthcare,371.90M,-,60.97,-,3.14,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,4.34%,7.18%,32.01%,11.44%,7.86%,7.87%,9.35%,42.86%,-25.04%,29.41%,-51.22%,400.00%,57.31,2.77%,0.85,4.40,1.62%,1568779
ACCO,Industrials,854.28M,11.57,0.49,1.17,9.96,7.54,94.50M,91.78M,94.30%,4.14%,7.42,2.80%,10.30%,1.60,1.26,1.58%,2.62%,-11.24%,3.71%,3.32%,1.02%,2.27%,24.88%,-7.64%,15.42%,-16.85%,151.57%,51.96,0.11%,0.42,8.83,-1.89%,97253
ACER,Healthcare,57.10M,-,-,4.22,9.21,-,11.51M,11.21M,31.80%,2.37%,0.32,-128.70%,-161.00%,1.60,0.00,-3.76%,33.33%,-17.77%,11.27%,14.81%,-5.10%,19.59%,19.51%,-22.59%,60.87%,-48.97%,242.59%,51.99,1.04%,0.50,3.70,-3.65%,191099
ACH,Basic Materials,8.66B,-,0.31,0.71,4.31,16.11,680.91M,429.49M,1.60%,0.01%,0.40,0.00%,-0.10%,0.70,1.85,8.78%,-1.01%,20.05%,1.34%,1.66%,16.26%,11.38%,47.45%,-0.87%,28.47%,-2.26%,111.41%,68.56,10.57%,2.82,9.73,10.51%,124783
ACIU,Healthcare,604.83M,-,33.98,2.25,2.18,-,71.93M,37.91M,29.90%,2.83%,1.26,-22.10%,-24.20%,18.10,0.01,16.17%,41.45%,-3.08%,20.48%,12.08%,16.59%,32.10%,22.43%,-37.20%,63.20%,-39.62%,92.87%,63.25,1.95%,2.09,7.85,-4.15%,817082
ACOR,Healthcare,71.99M,1.42,0.44,1.15,1.14,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,2.45%,23.04%,-34.64%,7.11%,9.64%,0.30%,30.71%,57.76%,-14.97%,118.52%,-43.80%,190.56%,58.73,1.20%,0.37,7.36,-2.20%,200221
ACRX,Healthcare,276.10M,-,53.10,-,6.41,-,113.81M,88.85M,25.60%,12.35%,2.13,-60.70%,85.50%,2.90,-,8.19%,26.13%,50.30%,12.10%,13.64%,-3.99%,25.67%,48.46%,-24.66%,91.77%,-24.66%,215.80%,51.08,-0.80%,3.59,2.21,-11.75%,8454802
ACST,Healthcare,184.88M,38.15,2282.48,6.24,-,-,179.50M,176.13M,1.66%,1.27%,0.05,-,-,-,-,34.64%,61.06%,77.89%,18.87%,16.27%,35.38%,98.76%,116.23%,-11.57%,342.17%,-11.57%,530.94%,68.42,5.83%,1.64,1.08,4.75%,36828786
ACTG,Industrials,387.28M,35.24,14.84,1.93,1.28,129.09,48.47M,46.31M,69.30%,2.59%,1.37,4.00%,7.30%,2.60,0.57,11.89%,86.05%,229.22%,10.60%,11.07%,26.09%,64.14%,109.21%,-4.12%,134.20%,-4.12%,365.71%,79.88,2.25%,1.75,8.15,1.87%,698416
