Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,179.34M,-,7.54,4.96,10.37,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-5.43%,341.02%,391.45%,12.78%,36.34%,39.23%,140.03%,296.09%,-71.34%,400.88%,-71.34%,824.84%,56.81,-1.39%,0.09,5.66,-1.57%,495331
AAIC,Real Estate,126.00M,-,70.00,0.68,14.16,5.94,34.66M,32.37M,37.80%,2.90%,4.03,-2.70%,-24.60%,-,3.50,7.36%,2.07%,-40.39%,4.65%,3.32%,5.70%,5.13%,30.63%,-2.68%,14.00%,-41.06%,185.00%,61.67,-1.02%,0.87,3.99,1.27%,202961
AAME,Financial,98.56M,158.79,0.53,0.84,11.07,20.97,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-8.07%,118.33%,137.10%,14.74%,28.17%,19.79%,60.85%,112.62%,-70.95%,128.57%,-70.95%,193.67%,56.93,-1.34%,0.14,4.64,-11.45%,305665
AAU,Basic Materials,100.81M,-,-,1.72,37.34,-,119.16M,114.95M,5.90%,0.78%,0.17,-4.20%,-4.60%,9.50,0.04,-16.90%,45.86%,81.64%,11.91%,14.29%,11.30%,28.55%,19.91%,-29.50%,88.00%,-31.77%,298.87%,55.53,2.46%,0.44,0.85,4.43%,2263295
ABEO,Healthcare,275.18M,-,39.31,2.00,2.84,-,93.77M,84.15M,36.10%,3.42%,0.78,-47.00%,-62.00%,2.70,0.02,-26.79%,14.95%,-39.71%,19.99%,14.85%,-3.95%,19.47%,9.41%,-36.41%,70.91%,-44.47%,143.56%,49.34,1.22%,0.95,2.41,-2.03%,3509174
ABEV,Consumer Defensive,43.43B,15.68,-,2.80,-,-,15.73B,4.39B,8.62%,1.72%,3.31,-,-,-,-,-2.47%,-10.10%,-22.82%,2.68%,3.04%,-1.83%,-5.37%,9.28%,-12.19%,2.18%,-22.27%,51.79%,45.01,-0.36%,1.44,2.81,1.81%,32677487
ABIO,Healthcare,44.46M,-,-,0.56,0.87,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-7.17%,-1.89%,-10.38%,6.42%,6.13%,1.20%,7.20%,-9.35%,-13.64%,19.95%,-78.41%,114.93%,51.98,0.21%,2.92,4.75,1.93%,2328961
ABUS,Healthcare,367.61M,-,60.26,-,3.11,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-3.39%,5.16%,30.89%,6.75%,7.77%,6.21%,8.42%,40.31%,-25.21%,29.12%,-51.33%,398.86%,55.77,1.40%,0.58,4.39,2.57%,2318262
ACCO,Industrials,781.19M,10.58,0.45,1.07,9.10,6.89,94.50M,91.78M,94.30%,4.14%,7.60,2.80%,10.30%,1.60,1.26,-10.64%,-5.84%,-13.37%,4.32%,3.64%,-4.30%,-3.82%,17.31%,-12.97%,4.39%,-13.87%,137.04%,42.76,0.12%,1.94,8.32,1.09%,972785
ACER,Healthcare,52.05M,-,-,3.85,8.39,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-14.43%,-19.17%,-31.24%,9.76%,10.61%,-7.00%,13.39%,14.87%,-25.10%,55.65%,-50.62%,231.48%,48.98,0.86%,0.12,3.58,2.29%,104069
ACIU,Healthcare,584.15M,-,32.82,2.17,2.11,-,71.93M,37.91M,29.90%,2.83%,1.15,-22.10%,-24.20%,18.10,0.01,8.21%,27.99%,-7.59%,22.43%,12.88%,13.39%,30.96%,24.60%,-35.92%,66.53%,-38.38%,96.81%,59.29,2.91%,1.17,8.01,1.26%,1099096
ACOR,Healthcare,65.77M,1.29,0.40,1.05,1.04,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,-7.03%,-13.68%,-32.94%,5.85%,8.24%,-9.10%,14.70%,41.25%,-23.44%,96.74%,-37.57%,161.60%,47.28,0.29%,0.22,6.63,-3.63%,269573
ACRX,Healthcare,237.60M,-,45.69,-,5.51,-,113.81M,88.85M,25.60%,12.35%,2.01,-60.70%,85.50%,2.90,-,-18.18%,-8.09%,44.97%,9.61%,11.93%,-7.00%,19.47%,43.78%,-26.53%,87.01%,-26.53%,207.96%,49.09,0.93%,0.50,2.16,0.00%,2719538
ACST,Healthcare,163.83M,33.80,2022.54,5.53,-,-,179.50M,176.13M,1.66%,1.27%,0.04,-,-,-,-,-23.94%,43.19%,62.98%,11.60%,15.87%,10.16%,60.08%,85.10%,-23.34%,283.28%,-23.34%,446.90%,57.17,2.96%,0.50,0.94,2.47%,25943256
ACTG,Industrials,386.80M,35.20,14.82,1.93,1.28,128.93,48.47M,46.31M,69.30%,2.59%,1.28,4.00%,7.30%,2.60,0.57,-0.75%,42.68%,235.71%,8.21%,9.96%,24.27%,62.66%,113.65%,0.00%,144.25%,0.00%,385.71%,78.07,0.38%,2.99,8.50,6.38%,2811000
ADAP,Healthcare,941.19M,-,294.12,2.46,2.35,-,154.67M,11.25M,84.40%,12.77%,0.90,-33.70%,-44.90%,12.20,0.00,-11.67%,0.67%,50.25%,10.33%,8.41%,4.04%,13.49%,-11.44%,-14.31%,65.96%,-53.06%,214.50%,53.46,1.00%,0.55,6.29,5.18%,881179
ADES,Industrials,113.38M,-,1.91,1.28,7.56,3.02,18.09M,17.94M,63.60%,4.58%,6.93,-14.50%,-24.20%,1.40,0.35,4.73%,10.33%,-52.12%,6.09%,6.09%,10.85%,10.06%,23.69%,-2.24%,31.75%,-51.70%,73.33%,61.73,0.33%,2.05,6.10,2.01%,243249
ADIL,Healthcare,41.06M,-,-,5.69,5.55,-,13.65M,11.64M,9.90%,2.97%,0.55,-121.30%,-132.80%,7.50,0.00,2.42%,46.53%,83.77%,10.48%,11.35%,15.03%,36.72%,69.45%,-9.98%,85.62%,-25.75%,197.00%,64.89,-0.34%,0.79,2.97,0.34%,502145
ADMA,Healthcare,258.51M,-,6.41,3.26,4.33,-,87.70M,70.91M,54.90%,13.61%,2.40,-37.20%,-98.80%,8.50,1.36,-8.33%,17.86%,-31.78%,7.22%,7.61%,1.07%,13.08%,3.51%,-16.41%,35.88%,-38.10%,79.31%,53.84,1.89%,0.86,2.60,-1.52%,3467295
ADMP,Healthcare,183.52M,-,9.97,3.75,14.80,-,140.28M,92.57M,5.30%,5.48%,0.26,-78.50%,-115.90%,1.30,0.19,-18.18%,67.70%,94.41%,10.29%,16.96%,-2.11%,48.32%,79.09%,-41.03%,193.62%,-41.03%,411.11%,54.98,1.48%,0.40,1.38,2.22%,7659944
ADMS,Healthcare,171.24M,-,2.45,-,1.85,-,28.38M,27.75M,63.00%,6.39%,3.30,-43.50%,328.40%,3.90,-,-7.69%,27.43%,3.04%,7.27%,11.76%,1.86%,14.66%,45.94%,-35.85%,42.82%,-35.85%,208.95%,54.57,1.04%,0.39,5.87,1.91%,211386
ADT,Industrials,7.60B,-,1.44,2.30,15.54,11.79,769.24M,691.77M,95.70%,2.39%,4.17,-3.70%,-19.70%,0.90,3.10,0.54%,5.86%,30.06%,3.09%,5.05%,3.86%,10.30%,13.51%,-9.11%,26.12%,-43.75%,184.29%,61.32,0.00%,0.83,9.68,3.09%,3297260
ADTX,Healthcare,59.50M,-,-,2.26,4.34,-,13.97M,9.25M,6.80%,10.77%,0.24,-133.80%,-596.90%,18.90,0.00,2.20%,75.31%,-,18.51%,19.32%,3.52%,37.69%,36.48%,-42.05%,104.19%,-59.29%,140.74%,54.47,0.00%,0.15,3.90,-6.92%,605255
ADXS,Healthcare,137.45M,-,458.16,2.79,5.45,-,70.13M,-,17.50%,-,0.37,-60.50%,-76.40%,8.50,0.00,5.26%,67.22%,12.15%,18.54%,14.09%,25.52%,84.36%,113.29%,-25.48%,297.82%,-25.48%,343.35%,63.60,0.00%,0.59,1.17,-2.50%,8750092
AEF,Financial,457.27M,-,33.07,1.27,-,-,50.75M,-,63.43%,-,0.31,-,-,-,-,0.67%,5.26%,19.35%,1.19%,1.39%,4.21%,8.28%,31.19%,0.55%,16.87%,0.55%,107.97%,69.70,0.11%,0.54,9.10,1.00%,40775
AEG,Financial,9.69B,1137.50,0.16,0.29,0.72,-,2.05B,1.81B,8.10%,0.16%,1.31,-,-,-,0.42,4.36%,6.56%,12.62%,1.98%,1.72%,10.10%,15.86%,46.96%,1.72%,33.99%,1.72%,162.78%,68.86,3.30%,0.69,4.73,3.96%,1491854
AEHL,Industrials,12.20M,-,-,-,-,-,3.05M,2.19M,0.87%,4.92%,0.13,-,-,-,-,10.50%,47.06%,100.23%,16.73%,15.39%,44.97%,64.05%,94.71%,-8.71%,116.43%,-13.18%,491.03%,70.37,3.75%,7.44,4.61,15.25%,5999062
AEHR,Technology,80.98M,-,5.95,7.33,23.82,-,23.40M,20.19M,23.10%,0.78%,0.29,-23.10%,-33.50%,3.20,0.16,14.63%,49.78%,39.83%,13.92%,10.15%,12.64%,24.53%,59.59%,-16.11%,51.76%,-16.11%,174.55%,58.16,-2.67%,1.37,3.02,-10.39%,736475
AEMD,Healthcare,31.29M,-,39.12,2.72,2.59,-,12.09M,11.78M,6.10%,4.89%,0.26,-54.30%,-59.30%,10.00,0.00,-15.26%,2.35%,-6.12%,11.13%,11.40%,1.68%,10.66%,46.24%,-15.92%,71.43%,-29.22%,123.73%,52.33,1.15%,0.11,2.64,1.15%,242066
AESE,Communication Services,94.11M,-,4.09,1.61,16.23,-,29.63M,18.53M,1.80%,1.65%,0.10,-46.50%,-74.10%,1.00,0.17,-23.72%,28.65%,-15.60%,14.33%,16.39%,5.54%,30.12%,34.83%,-33.98%,132.35%,-60.10%,492.50%,54.30,2.52%,0.50,2.37,-0.42%,1445464
AEY,Technology,37.80M,-,0.77,2.79,7.00,-,12.15M,5.56M,4.90%,4.31%,0.84,-53.30%,-119.70%,1.80,0.48,-4.39%,12.76%,-10.04%,8.48%,7.17%,6.76%,5.97%,33.50%,-20.52%,26.69%,-48.07%,124.67%,57.39,2.14%,0.30,3.37,3.06%,84814
AEZS,Healthcare,87.25M,-,67.11,5.19,4.02,-,62.68M,62.63M,21.40%,8.12%,0.31,-21.50%,-125.80%,13.00,0.01,-26.70%,101.73%,2.94%,10.50%,25.75%,14.53%,83.32%,135.18%,-59.12%,321.65%,-59.12%,410.34%,53.64,5.00%,0.82,1.48,5.71%,13535823
AFI,Industrials,80.95M,-,0.14,0.34,3.65,-,21.96M,20.95M,75.20%,2.38%,2.08,-11.10%,-22.10%,1.90,0.29,-24.95%,-7.33%,11.47%,8.45%,7.82%,-11.74%,-4.18%,8.70%,-28.57%,20.31%,-31.25%,243.75%,42.18,0.00%,1.62,3.85,1.58%,387601
AFIF,Financial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.41%,-0.36%,-0.05%,0.34%,0.35%,-0.50%,-0.66%,-1.02%,-1.32%,0.10%,-9.93%,6.48%,39.18,0.00%,3.25,9.70,-0.31%,269080
AFIN,Real Estate,880.81M,-,2.90,0.57,10.21,-,108.43M,108.35M,49.90%,3.24%,6.59,-1.20%,-2.60%,-,0.00,2.71%,6.93%,-35.58%,2.94%,3.12%,7.09%,8.74%,15.47%,-2.54%,16.87%,-36.85%,101.19%,64.46,0.24%,0.66,8.45,1.44%,353578
AFMD,Healthcare,646.79M,-,23.69,9.30,5.48,-,86.03M,82.40M,47.30%,9.10%,4.28,-37.70%,-100.40%,2.20,0.05,2.33%,-11.65%,123.27%,4.51%,6.68%,-0.46%,-4.62%,38.59%,-19.25%,9.03%,-19.25%,325.35%,47.94,0.00%,0.81,6.04,-1.63%,1415874
AGE,Healthcare,91.04M,-,47.92,-,82.76,-,37.68M,21.21M,18.40%,1.72%,1.13,-207.10%,964.50%,0.40,-,-12.96%,25.00%,66.67%,7.64%,9.62%,6.85%,22.43%,70.91%,-25.49%,52.00%,-41.98%,242.34%,55.60,0.85%,0.41,2.28,-2.98%,132255
AGEN,Healthcare,853.15M,-,9.33,-,7.48,-,182.67M,170.64M,56.10%,14.62%,8.65,-95.70%,82.80%,0.90,-,-14.01%,25.93%,0.68%,6.37%,9.79%,2.85%,18.84%,18.70%,-24.71%,44.98%,-24.71%,146.15%,55.51,-0.45%,0.72,4.48,1.36%,2067569
AGFS,Consumer Defensive,131.00M,-,0.79,0.46,5.22,5.16,51.00M,30.24M,73.30%,2.57%,4.32,-9.70%,-25.00%,2.70,0.98,-6.54%,20.30%,-1.62%,6.47%,7.07%,11.34%,9.47%,0.02%,-13.13%,35.52%,-40.95%,148.00%,60.18,0.00%,0.50,2.48,2.06%,90021
AGI,Basic Materials,3.01B,29.46,4.25,1.09,-,-,392.73M,391.00M,74.64%,0.82%,1.08,-,-,-,-,-7.04%,-3.28%,17.30%,4.25%,4.23%,-7.43%,-13.25%,-17.71%,-24.82%,-2.62%,-35.92%,122.16%,33.46,0.91%,1.73,7.42,-3.13%,5122826
AGLE,Healthcare,343.80M,-,-,3.29,2.46,-,62.24M,46.72M,94.00%,3.98%,8.28,-66.90%,-81.40%,10.10,0.00,-6.13%,-8.75%,-12.41%,5.45%,5.37%,-1.98%,-7.77%,-8.67%,-25.46%,10.79%,-35.94%,108.29%,43.29,0.14%,0.47,7.29,1.25%,106273
AGRO,Consumer Defensive,970.42M,-,1.13,1.15,4.54,3.37,117.74M,117.34M,73.30%,0.67%,2.52,-1.60%,-4.30%,1.80,1.31,-0.36%,2.11%,1.99%,2.36%,3.06%,5.02%,14.90%,55.06%,-2.23%,43.30%,-2.23%,151.96%,66.93,0.00%,0.63,8.34,1.58%,194681
AGRX,Healthcare,291.13M,-,-,4.34,4.05,-,87.35M,67.10M,49.90%,3.55%,1.95,-45.90%,-56.80%,10.20,0.24,-3.51%,15.38%,-9.84%,8.12%,6.27%,7.11%,11.77%,14.69%,-11.67%,21.98%,-16.75%,146.67%,56.83,2.12%,0.58,3.33,0.91%,712998
