Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,187.76M,-,7.89,5.19,10.85,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-3.06%,377.78%,366.67%,12.99%,36.30%,50.26%,155.00%,311.75%,-70.73%,411.50%,-70.73%,844.44%,57.37,-0.83%,0.20,5.78,-3.99%,775027
AAIC,Real Estate,127.60M,-,70.89,0.69,14.34,6.02,34.66M,32.37M,37.80%,2.90%,4.01,-2.70%,-24.60%,-,3.50,7.55%,1.53%,-37.56%,4.31%,3.25%,3.99%,3.49%,28.62%,-4.39%,15.98%,-42.10%,180.00%,57.92,0.00%,0.91,3.92,-1.75%,144506
AAME,Financial,104.02M,167.58,0.55,0.88,11.69,22.13,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-15.31%,137.34%,162.09%,13.97%,27.60%,45.27%,91.96%,150.44%,-66.06%,167.00%,-66.06%,243.04%,67.03,0.36%,0.21,5.42,-1.99%,298912
AAU,Basic Materials,112.00M,-,-,1.91,41.48,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,7.46%,59.60%,106.00%,15.44%,13.89%,13.78%,29.44%,20.96%,-29.08%,89.13%,-31.36%,301.27%,56.28,0.00%,0.60,0.85,-5.43%,2095659
ABEO,Healthcare,294.19M,-,42.03,2.14,3.04,-,93.77M,84.15M,36.10%,3.42%,0.78,-47.00%,-62.00%,2.70,0.02,-21.26%,37.70%,-24.86%,21.71%,14.85%,-1.83%,22.11%,10.77%,-35.62%,73.04%,-43.78%,146.59%,50.11,-8.37%,1.28,2.44,-7.22%,3192482
ABEV,Consumer Defensive,45.16B,16.31,-,2.91,-,-,15.73B,4.39B,8.62%,1.72%,3.30,-,-,-,-,2.14%,-5.90%,-18.86%,2.68%,3.04%,-3.88%,-6.93%,7.67%,-13.59%,0.55%,-24.33%,49.35%,41.58,-2.44%,1.17,2.77,-3.66%,18123026
ABIO,Healthcare,46.94M,-,-,0.59,0.92,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-1.01%,10.56%,-8.04%,6.78%,6.15%,-0.02%,6.07%,-10.42%,-14.73%,18.43%,-78.68%,112.22%,50.29,-1.42%,1.41,4.69,-4.67%,753376
ABUS,Healthcare,378.77M,-,62.09,-,3.20,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-1.34%,12.79%,29.71%,7.91%,8.04%,4.47%,6.56%,38.41%,-26.59%,26.74%,-52.23%,389.68%,53.99,-0.91%,0.48,4.31,-2.29%,1296763
ACCO,Industrials,800.18M,10.84,0.46,1.10,9.33,7.06,94.50M,91.78M,94.30%,4.14%,7.70,2.80%,10.30%,1.60,1.26,-10.03%,-4.53%,-12.46%,4.59%,3.60%,-6.14%,-5.39%,15.60%,-14.33%,2.76%,-16.77%,133.33%,40.04,-0.71%,1.75,8.19,-2.85%,587687
ACER,Healthcare,55.61M,-,-,4.11,8.97,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-3.36%,-2.86%,-24.37%,9.58%,12.01%,-7.95%,13.42%,14.46%,-25.52%,54.79%,-50.90%,229.64%,48.29,0.00%,0.19,3.56,-4.81%,109115
