Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,453.92M,-,19.15,5.46,26.24,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,381.85%,418.85%,455.26%,113.33%,33.31%,195.13%,306.56%,435.03%,-66.89%,478.69%,-66.89%,968.50%,60.49,-2.69%,2.16,6.54,3.30%,3623532
AAIC,Real Estate,123.69M,-,68.72,0.64,13.90,5.83,34.66M,32.45M,37.10%,2.82%,3.83,-2.70%,-24.60%,-,3.50,1.93%,-4.90%,-36.16%,3.27%,2.75%,-1.74%,0.74%,24.39%,-8.44%,18.89%,-44.68%,167.50%,50.60,-0.27%,0.64,3.74,1.49%,46806
AAME,Financial,48.78M,157.58,0.26,0.83,5.48,10.38,20.44M,4.08M,5.40%,0.01%,0.00,0.30%,1.00%,-,0.26,118.49%,126.09%,173.68%,71.90%,21.29%,170.18%,193.83%,234.45%,-57.54%,235.65%,-57.54%,329.12%,91.99,-5.77%,9.24,6.78,30.39%,5397345
AAU,Basic Materials,85.52M,-,-,1.59,31.67,-,119.16M,114.95M,5.90%,0.52%,0.15,-4.20%,-4.60%,9.50,0.04,2.39%,42.30%,60.58%,15.80%,14.55%,21.10%,15.98%,12.02%,-35.83%,71.11%,-37.90%,263.04%,57.47,3.34%,1.87,0.77,3.34%,2362765
ABEO,Healthcare,242.39M,-,34.63,2.10,2.50,-,93.77M,84.15M,34.30%,2.02%,0.66,-47.00%,-62.00%,2.70,0.02,35.08%,50.88%,-2.27%,10.38%,9.99%,51.01%,75.03%,42.69%,18.70%,130.37%,-28.34%,214.30%,78.66,3.49%,9.42,3.11,20.54%,7493240
ABEV,Consumer Defensive,45.95B,16.59,-,2.96,-,-,15.73B,4.39B,8.62%,1.84%,3.30,-,-,-,-,4.66%,-4.89%,-22.96%,3.12%,3.28%,-3.86%,-3.56%,12.17%,-10.94%,11.22%,-28.13%,53.95%,44.90,-3.42%,2.77,2.85,-2.40%,20913158
ABIO,Healthcare,43.38M,-,-,0.56,0.85,-,9.32M,9.28M,7.20%,0.87%,0.15,-29.30%,-31.30%,34.00,0.00,10.95%,12.83%,-16.04%,5.33%,5.12%,6.62%,10.78%,-8.18%,-1.55%,21.86%,-78.34%,115.61%,61.79,2.15%,3.02,4.76,2.25%,490029
ABUS,Healthcare,353.21M,-,57.90,-,2.99,-,79.49M,63.55M,31.20%,6.38%,1.07,-76.20%,128.90%,15.90,-,9.79%,16.25%,29.69%,5.82%,7.46%,10.71%,10.58%,46.78%,-25.04%,29.41%,-51.22%,400.00%,62.59,3.13%,2.12,4.40,6.02%,2485175
ACCO,Industrials,836.30M,11.39,0.48,1.16,9.75,7.38,94.50M,91.78M,93.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,9.52%,0.23%,-3.80%,3.36%,3.37%,5.97%,7.48%,30.63%,0.77%,20.08%,-19.60%,160.68%,62.01,0.45%,0.36,9.15,3.27%,60622
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,9.32%,60.89%,-11.53%,8.71%,15.01%,19.28%,43.87%,39.75%,-10.81%,85.36%,-41.20%,294.74%,65.24,1.50%,1.82,4.26,6.85%,441985
ACH,Basic Materials,7.90B,-,0.29,0.65,3.94,14.73,680.91M,429.49M,1.60%,0.00%,0.09,0.00%,-0.10%,0.70,1.85,5.75%,-11.49%,9.03%,1.54%,1.68%,2.68%,-1.48%,33.32%,-12.87%,14.53%,-12.87%,88.48%,54.60,7.29%,1.34,8.67,7.17%,40663
ACIU,Healthcare,515.07M,-,29.27,1.96,1.89,-,71.93M,37.91M,30.00%,3.25%,3.39,-22.10%,-24.20%,18.10,0.01,17.89%,27.03%,-26.18%,13.81%,9.60%,16.55%,28.43%,14.28%,-23.92%,52.17%,-43.70%,79.83%,67.02,1.56%,1.27,7.32,3.82%,142101
ACOR,Healthcare,67.91M,1.38,0.41,1.12,1.07,-,47.71M,9.35M,40.50%,11.56%,0.92,6.60%,16.10%,1.10,0.73,9.05%,88.22%,-41.39%,7.18%,10.49%,11.78%,41.39%,61.42%,-13.63%,121.96%,-42.91%,195.14%,64.99,1.22%,0.45,7.48,1.77%,164330
ACRX,Healthcare,243.51M,-,46.83,-,5.65,-,113.81M,88.85M,25.40%,11.82%,2.19,-60.70%,85.50%,2.90,-,5.45%,73.13%,34.88%,8.77%,15.50%,22.26%,54.77%,74.35%,-13.21%,120.91%,-13.21%,263.77%,68.32,1.29%,1.91,2.55,9.98%,2830857
ACST,Healthcare,137.31M,-,-,8.32,-,-,179.50M,95.08M,1.66%,1.67%,0.04,-,-,-,-,17.24%,76.27%,4.79%,8.95%,16.92%,20.04%,79.19%,71.78%,-23.28%,293.55%,-23.28%,388.83%,68.44,4.22%,2.13,0.84,9.27%,28595649
ACTG,Industrials,359.72M,31.50,13.78,1.73,1.19,119.91,48.47M,46.31M,69.70%,2.64%,1.64,4.00%,7.30%,2.60,0.57,27.68%,83.33%,180.39%,10.49%,10.22%,21.73%,50.66%,82.58%,-10.65%,97.70%,-10.65%,293.13%,70.53,0.00%,2.73,6.88,-3.78%,630493
ADAP,Healthcare,903.93M,-,282.48,2.56,2.26,-,154.67M,11.25M,90.50%,11.81%,0.86,-33.70%,-44.90%,12.20,0.00,13.74%,10.70%,49.64%,6.21%,7.39%,19.43%,32.17%,-0.95%,7.72%,82.32%,-48.43%,245.50%,68.01,0.81%,2.63,6.91,11.27%,1252410
ADES,Industrials,98.51M,-,1.66,1.27,6.57,2.63,18.09M,17.94M,63.40%,4.45%,7.26,-14.50%,-24.20%,1.40,0.35,16.77%,6.47%,-49.81%,8.75%,5.41%,14.39%,10.92%,22.67%,-4.08%,31.97%,-51.62%,73.61%,64.01,1.35%,3.61,6.11,3.21%,122244
ADIL,Healthcare,33.80M,-,-,5.38,4.57,-,13.65M,11.67M,9.80%,3.17%,0.66,-121.30%,-132.80%,7.50,0.00,30.23%,59.09%,51.35%,10.60%,9.38%,27.28%,37.85%,63.99%,-1.76%,73.14%,-30.74%,177.03%,74.42,-1.43%,3.06,2.77,-1.06%,523989
ADMA,Healthcare,251.50M,-,6.24,3.21,4.21,-,87.70M,70.91M,54.50%,15.64%,3.02,-37.20%,-98.80%,8.50,1.36,17.12%,25.00%,-35.00%,9.47%,6.57%,13.76%,22.02%,4.88%,-8.79%,46.13%,-37.02%,82.41%,64.40,1.15%,1.12,2.64,1.73%,1259873
ADMP,Healthcare,153.00M,-,8.32,3.39,12.34,-,140.28M,92.57M,5.30%,3.63%,0.19,-78.50%,-115.90%,1.30,0.19,6.09%,84.85%,76.79%,9.83%,15.64%,27.76%,90.73%,99.32%,-38.03%,267.09%,-38.03%,437.04%,63.85,6.56%,3.36,1.45,18.85%,18382158
ADMS,Healthcare,173.10M,-,2.48,-,1.87,-,28.38M,27.75M,62.60%,4.34%,2.61,-43.50%,328.40%,3.90,-,1.52%,31.29%,8.21%,21.84%,11.26%,15.90%,22.55%,52.91%,-34.64%,45.50%,-34.64%,214.74%,59.71,0.00%,2.72,5.98,-0.33%,386784
ADT,Industrials,7.64B,-,1.44,2.28,15.62,11.85,769.24M,691.76M,95.70%,2.47%,4.10,-3.70%,-19.70%,0.90,3.10,2.99%,12.86%,41.98%,4.64%,5.69%,2.68%,9.50%,11.89%,-12.02%,23.78%,-45.55%,175.18%,56.46,1.08%,0.38,9.37,0.75%,493911
ADTX,Healthcare,44.79M,-,-,1.86,3.27,-,13.97M,9.25M,6.80%,4.80%,0.12,-133.80%,-596.90%,18.90,0.00,-7.77%,60.00%,-,11.40%,16.40%,12.26%,37.81%,22.08%,-49.48%,82.80%,-64.51%,109.88%,58.32,0.29%,0.40,3.40,-1.16%,454134
ADXS,Healthcare,106.60M,-,355.33,2.42,4.23,-,70.13M,-,15.00%,-,0.49,-60.50%,-76.40%,8.50,0.00,42.47%,131.94%,16.87%,12.93%,13.93%,37.57%,100.90%,89.49%,-10.62%,279.35%,-20.55%,279.35%,72.84,-0.96%,2.65,1.00,-3.74%,9959594
AEF,Financial,442.56M,-,32.00,1.22,-,-,50.75M,-,63.43%,-,0.23,-,-,-,-,5.57%,5.31%,14.37%,1.43%,1.75%,2.12%,7.03%,29.04%,-0.11%,18.09%,-0.11%,100.43%,62.13,-0.69%,0.62,8.77,0.57%,14825
AEG,Financial,9.12B,7.12,0.20,0.28,0.68,-,2.05B,1.81B,8.10%,0.17%,1.39,-,-,-,0.42,5.38%,1.65%,0.70%,1.37%,1.74%,3.15%,9.57%,38.27%,-1.36%,22.95%,-1.36%,141.11%,61.65,0.93%,0.79,4.34,0.70%,541598
AEHL,Industrials,10.25M,-,-,-,-,-,3.05M,2.19M,0.87%,3.15%,0.10,-,-,-,-,20.43%,29.23%,69.70%,23.07%,14.40%,24.69%,36.85%,53.22%,-30.10%,65.73%,-33.52%,352.56%,67.90,1.79%,3.72,3.53,5.06%,785199
