Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,178.41M,-,7.50,4.93,10.31,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-9.64%,372.73%,420.00%,17.33%,36.32%,74.62%,184.17%,336.56%,-70.13%,422.12%,-70.13%,864.05%,58.09,0.87%,0.27,5.90,3.15%,1537501
AAIC,Real Estate,124.40M,-,69.11,0.67,13.98,5.87,34.66M,32.37M,37.80%,2.90%,4.07,-2.70%,-24.60%,-,3.50,5.42%,-1.52%,-34.07%,3.10%,2.91%,8.08%,7.93%,33.76%,-0.73%,25.31%,-40.03%,190.00%,68.40,0.00%,2.33,4.06,4.37%,535320
AAME,Financial,107.41M,173.03,0.57,0.91,12.07,22.85,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,9.81%,153.78%,192.82%,31.08%,27.10%,57.22%,99.90%,152.94%,-66.31%,166.34%,-66.31%,240.51%,67.66,-2.63%,0.27,5.38,-5.78%,555121
AAU,Basic Materials,112.00M,-,-,1.91,41.48,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,20.79%,38.46%,103.94%,15.08%,14.94%,32.03%,44.16%,34.52%,-21.67%,108.89%,-24.19%,343.19%,63.58,6.67%,1.47,0.94,4.44%,7157385
ABEO,Healthcare,331.11M,-,47.30,2.41,3.42,-,93.77M,84.15M,36.10%,3.42%,0.85,-47.00%,-62.00%,2.70,0.02,14.73%,65.36%,-4.21%,23.71%,13.90%,12.37%,39.26%,23.68%,-28.23%,92.89%,-37.33%,174.89%,57.38,1.35%,2.11,2.72,-8.11%,7156844
ABEV,Consumer Defensive,43.90B,15.85,-,2.83,-,-,15.73B,4.39B,8.62%,1.72%,3.29,-,-,-,-,-4.45%,-9.42%,-22.82%,2.63%,3.04%,-0.52%,-2.98%,12.50%,-10.00%,5.94%,-22.62%,55.57%,48.54,0.36%,0.81,2.88,3.23%,18650216
ABIO,Healthcare,49.42M,-,-,0.62,0.97,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,11.16%,13.85%,-5.47%,7.16%,5.88%,11.27%,17.76%,-0.97%,-6.00%,30.55%,-76.50%,133.94%,67.31,2.51%,1.88,5.17,-0.19%,1386661
ABUS,Healthcare,371.90M,-,60.97,-,3.14,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,4.34%,7.18%,32.01%,11.44%,7.86%,10.08%,11.59%,45.78%,-23.51%,32.06%,-50.22%,410.23%,59.10,2.77%,0.57,4.49,3.70%,2315271
ACCO,Industrials,854.28M,11.57,0.49,1.17,9.96,7.54,94.50M,91.78M,94.30%,4.14%,7.42,2.80%,10.30%,1.60,1.26,1.58%,2.62%,-11.24%,3.71%,3.32%,1.02%,2.27%,24.88%,-7.64%,15.42%,-16.85%,151.57%,51.96,0.11%,0.61,8.83,-1.89%,310511
ACER,Healthcare,57.10M,-,-,4.22,9.21,-,11.51M,11.21M,31.80%,2.37%,0.32,-128.70%,-161.00%,1.60,0.00,-3.76%,33.33%,-17.77%,11.27%,14.81%,-2.28%,23.14%,23.06%,-20.29%,65.65%,-47.45%,252.78%,54.64,1.04%,0.50,3.81,-0.78%,415072
ACH,Basic Materials,8.66B,-,0.31,0.71,4.31,16.11,680.91M,429.49M,1.60%,0.01%,0.40,0.00%,-0.10%,0.70,1.85,8.78%,-1.01%,20.05%,1.34%,1.66%,15.84%,10.98%,46.92%,-1.22%,28.01%,-2.61%,110.65%,68.23,10.57%,2.23,9.69,10.11%,215503
ACIU,Healthcare,604.83M,-,33.98,2.25,2.18,-,71.93M,37.91M,29.90%,2.83%,1.26,-22.10%,-24.20%,18.10,0.01,16.17%,41.45%,-3.08%,20.48%,12.08%,17.63%,33.28%,23.53%,-36.64%,64.66%,-39.08%,94.59%,64.27,1.95%,1.37,7.92,-3.30%,1167234
ACOR,Healthcare,71.99M,1.42,0.44,1.15,1.14,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,2.45%,23.04%,-34.64%,7.11%,9.64%,1.47%,32.24%,59.60%,-13.97%,121.07%,-43.14%,193.96%,60.15,1.20%,0.37,7.45,-1.06%,434350
ACRX,Healthcare,276.10M,-,53.10,-,6.41,-,113.81M,88.85M,25.60%,12.35%,2.13,-60.70%,85.50%,2.90,-,8.19%,26.13%,50.30%,12.10%,13.64%,-0.30%,30.49%,54.16%,-21.77%,99.13%,-21.77%,227.92%,53.67,-0.80%,2.08,2.30,-8.37%,10690981
ACST,Healthcare,184.88M,38.15,2282.48,6.24,-,-,179.50M,176.13M,1.66%,1.27%,0.05,-,-,-,-,34.64%,61.06%,77.89%,18.87%,16.27%,38.03%,102.65%,120.46%,-9.84%,350.82%,-9.84%,543.27%,69.15,5.83%,1.18,1.10,6.80%,58080315
ACTG,Industrials,387.28M,35.24,14.84,1.93,1.28,129.09,48.47M,46.31M,69.30%,2.59%,1.37,4.00%,7.30%,2.60,0.57,11.89%,86.05%,229.22%,10.60%,11.07%,21.60%,58.30%,101.76%,-7.53%,125.86%,-7.53%,349.14%,75.51,2.25%,1.63,7.86,-1.75%,1425136
ADAP,Healthcare,1.03B,-,320.68,2.68,2.57,-,154.67M,11.25M,84.40%,12.77%,0.93,-33.70%,-44.90%,12.20,0.00,4.99%,12.03%,64.23%,9.77%,8.11%,13.78%,24.79%,-4.05%,-7.77%,78.63%,-49.48%,238.50%,63.77,1.53%,1.21,6.77,3.83%,1859436
ADES,Industrials,107.88M,-,1.82,1.22,7.19,2.88,18.09M,17.94M,63.60%,4.58%,7.37,-14.50%,-24.20%,1.40,0.35,-3.89%,5.37%,-52.46%,5.22%,5.66%,10.76%,9.12%,21.42%,-3.69%,29.81%,-52.41%,70.77%,60.73,1.93%,2.32,6.01,5.62%,259052
ADIL,Healthcare,41.89M,-,-,5.81,5.66,-,13.65M,11.64M,9.90%,2.97%,0.56,-121.30%,-132.80%,7.50,0.00,7.86%,45.19%,79.76%,13.53%,10.70%,32.06%,51.40%,84.66%,0.00%,99.38%,-20.25%,219.00%,75.63,0.66%,1.19,3.19,5.63%,739737
ADMA,Healthcare,273.20M,-,6.78,3.44,4.58,-,87.70M,70.91M,54.90%,13.61%,2.50,-37.20%,-98.80%,8.50,1.36,7.31%,35.44%,-20.51%,7.13%,7.42%,5.56%,17.26%,5.25%,-14.80%,38.49%,-36.90%,82.76%,56.40,2.15%,1.12,2.65,-5.02%,4320941
