Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,445.32M,-,18.79,5.35,25.74,-,34.43M,31.74M,0.04%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,343.57%,400.40%,464.14%,120.62%,34.95%,142.42%,262.78%,412.14%,-66.94%,477.88%,-66.94%,967.01%,60.13,6.44%,1.08,6.53,5.15%,963046
AAIC,Real Estate,124.36M,-,69.09,0.64,13.97,5.87,34.66M,32.45M,37.10%,2.89%,4.01,-2.70%,-24.60%,-,3.50,2.49%,-6.55%,-35.14%,2.80%,2.65%,-2.30%,-0.90%,22.45%,-9.54%,15.99%,-45.35%,164.29%,46.98,-0.81%,0.35,3.70,-0.27%,13177
AAME,Financial,61.25M,197.88,0.33,1.04,6.88,13.03,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,191.52%,170.95%,251.08%,91.23%,25.68%,105.77%,142.04%,190.22%,-62.34%,197.76%,-62.34%,280.68%,81.46,-3.98%,0.58,6.01,-7.89%,192231
AAU,Basic Materials,96.12M,-,-,1.78,35.60,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,6.78%,64.64%,95.91%,8.98%,14.62%,37.08%,38.96%,32.00%,-23.92%,102.89%,-26.37%,330.46%,65.06,5.07%,5.97,0.91,9.01%,4080341
ABEO,Healthcare,313.79M,-,44.83,2.72,3.24,-,93.77M,84.15M,34.30%,3.42%,0.96,-47.00%,-62.00%,2.70,0.02,64.53%,89.77%,13.99%,18.31%,11.97%,51.40%,80.82%,53.28%,-11.48%,137.93%,-22.70%,239.06%,79.58,-1.80%,3.14,3.36,0.45%,1506259
ABEV,Consumer Defensive,44.22B,15.97,-,2.85,-,-,15.73B,4.39B,8.62%,1.72%,3.14,-,-,-,-,-3.77%,-8.47%,-24.31%,2.66%,3.27%,-4.58%,-5.07%,10.24%,-12.19%,9.65%,-26.05%,51.79%,42.91,0.36%,0.55,2.81,0.00%,2099449
ABIO,Healthcare,46.27M,-,-,0.60,0.91,-,9.32M,9.28M,7.20%,0.33%,0.05,-29.30%,-31.30%,34.00,0.00,12.19%,17.77%,-9.96%,5.59%,5.53%,12.35%,17.63%,-1.91%,-1.38%,28.76%,-76.82%,130.72%,69.13,0.80%,7.18,5.10,2.59%,685377
ABUS,Healthcare,380.44M,-,62.37,-,3.22,-,79.49M,63.55M,31.20%,5.02%,0.79,-76.20%,128.90%,15.90,-,14.03%,15.50%,39.91%,10.38%,7.89%,11.90%,12.24%,48.74%,-23.17%,32.65%,-50.00%,412.50%,60.13,1.79%,1.56,4.51,0.89%,997483
ACCO,Industrials,884.43M,12.04,0.51,1.22,10.31,7.81,94.50M,91.78M,93.20%,4.14%,7.12,2.80%,10.30%,1.60,1.26,11.55%,8.45%,2.85%,3.41%,3.30%,8.62%,10.56%,34.37%,0.03%,24.15%,-16.87%,169.52%,66.41,0.43%,0.91,9.46,0.96%,77245
ACER,Healthcare,56.35M,-,-,4.25,9.09,-,11.51M,11.21M,31.60%,2.37%,0.33,-128.70%,-161.00%,1.60,0.00,3.75%,55.42%,-19.38%,9.93%,15.75%,9.22%,34.71%,32.29%,-15.02%,76.61%,-43.97%,276.11%,61.51,3.36%,0.93,4.06,4.96%,119379
ACH,Basic Materials,8.61B,-,0.31,0.71,4.30,16.06,680.91M,429.49M,1.60%,0.01%,0.39,0.00%,-0.10%,0.70,1.85,7.96%,-9.35%,21.49%,1.43%,1.64%,5.48%,0.64%,35.15%,-11.16%,16.78%,-11.16%,92.17%,57.26,0.68%,0.60,8.84,0.23%,9472
ACIU,Healthcare,558.91M,-,31.76,2.13,2.05,-,71.93M,37.91M,30.00%,2.83%,3.00,-22.10%,-24.20%,18.10,0.01,15.91%,32.35%,-14.72%,14.42%,10.17%,14.05%,26.64%,14.63%,-23.70%,52.60%,-43.54%,80.34%,63.82,0.00%,0.87,7.34,-4.05%,49509
ACOR,Healthcare,72.63M,1.48,0.44,1.20,1.15,-,47.71M,9.35M,40.50%,5.77%,0.46,6.60%,16.10%,1.10,0.73,12.69%,91.24%,-34.66%,6.42%,10.39%,12.16%,45.83%,70.18%,-8.66%,134.72%,-39.63%,212.11%,68.78,1.78%,0.61,7.91,0.64%,114648
ACRX,Healthcare,290.74M,-,55.91,-,6.75,-,113.81M,88.85M,25.40%,12.35%,2.20,-60.70%,85.50%,2.90,-,27.65%,105.19%,63.91%,10.66%,16.22%,18.50%,55.02%,78.19%,-10.54%,127.71%,-10.54%,274.96%,66.42,4.33%,2.23,2.63,-5.05%,1774774
ACST,Healthcare,175.91M,-,-,10.65,-,-,179.50M,95.08M,1.66%,1.67%,0.03,-,-,-,-,44.08%,71.93%,71.72%,12.43%,16.24%,44.46%,112.48%,114.04%,-3.63%,330.33%,-3.63%,514.04%,77.41,14.29%,4.35,1.05,7.14%,31850250
ACTG,Industrials,376.82M,33.00,14.44,1.81,1.24,125.61,48.47M,46.31M,69.70%,2.59%,1.50,4.00%,7.30%,2.60,0.57,16.67%,71.00%,203.24%,10.76%,10.32%,34.18%,69.68%,109.39%,0.63%,129.60%,0.63%,356.57%,82.22,2.14%,5.98,7.99,6.68%,765020
ADAP,Healthcare,982.53M,-,307.04,2.78,2.46,-,154.67M,11.25M,90.50%,12.77%,0.93,-33.70%,-44.90%,12.20,0.00,11.94%,9.22%,61.10%,9.31%,8.09%,15.84%,27.25%,-3.42%,-7.77%,78.63%,-49.48%,238.50%,65.86,1.19%,0.49,6.77,0.30%,121175
ADES,Industrials,97.18M,-,1.64,1.25,6.48,2.59,18.09M,17.94M,63.40%,4.58%,7.31,-14.50%,-24.20%,1.40,0.35,25.59%,6.38%,-51.09%,7.49%,5.58%,5.11%,2.89%,13.86%,-9.25%,22.30%,-55.17%,60.90%,54.86,0.00%,2.09,5.66,-3.04%,37441
