Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,178.41M,-,7.50,4.93,10.31,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-9.64%,372.73%,420.00%,17.33%,36.32%,81.82%,195.88%,354.56%,-68.90%,443.65%,-68.90%,903.79%,58.78,0.87%,0.31,6.14,7.40%,1299046
AAIC,Real Estate,124.40M,-,69.11,0.67,13.98,5.87,34.66M,32.37M,37.80%,2.90%,4.07,-2.70%,-24.60%,-,3.50,5.42%,-1.52%,-34.07%,3.10%,2.91%,7.81%,7.66%,33.43%,-0.98%,25.00%,-40.18%,189.29%,68.03,0.00%,2.64,4.05,4.11%,455989
AAME,Financial,107.41M,173.03,0.57,0.91,12.07,22.85,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,9.81%,153.78%,192.82%,31.08%,27.10%,56.63%,99.16%,152.00%,-66.44%,165.34%,-66.44%,239.23%,67.39,-2.63%,0.33,5.36,-6.13%,513159
AAU,Basic Materials,112.00M,-,-,1.91,41.48,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,20.79%,38.46%,103.94%,15.08%,14.94%,34.12%,46.45%,36.66%,-20.43%,112.20%,-22.99%,350.21%,64.28,6.67%,1.59,0.95,6.10%,5841684
ABEO,Healthcare,331.11M,-,47.30,2.41,3.42,-,93.77M,84.15M,36.10%,3.42%,0.85,-47.00%,-62.00%,2.70,0.02,14.73%,65.36%,-4.21%,23.71%,13.90%,20.22%,48.99%,32.32%,-23.22%,106.37%,-32.95%,194.09%,62.83,1.35%,1.56,2.91,-1.69%,3981837
ABEV,Consumer Defensive,43.90B,15.85,-,2.83,-,-,15.73B,4.39B,8.62%,1.72%,3.29,-,-,-,-,-4.45%,-9.42%,-22.82%,2.63%,3.04%,-0.86%,-3.31%,12.11%,-10.31%,5.57%,-22.89%,55.03%,47.88,0.36%,0.75,2.87,2.87%,12868039
ABIO,Healthcare,49.42M,-,-,0.62,0.97,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,11.16%,13.85%,-5.47%,7.16%,5.88%,10.19%,16.62%,-1.93%,-6.91%,29.29%,-76.73%,131.67%,65.25,2.51%,2.11,5.12,-1.16%,1168119
ABUS,Healthcare,371.90M,-,60.97,-,3.14,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,4.34%,7.18%,32.01%,11.44%,7.86%,9.32%,10.83%,44.78%,-24.03%,31.16%,-50.56%,406.74%,58.51,2.77%,0.63,4.46,2.99%,1910421
ACCO,Industrials,854.28M,11.57,0.49,1.17,9.96,7.54,94.50M,91.78M,94.30%,4.14%,7.42,2.80%,10.30%,1.60,1.26,1.58%,2.62%,-11.24%,3.71%,3.32%,1.48%,2.73%,25.44%,-7.22%,15.95%,-16.48%,152.71%,52.85,0.11%,0.41,8.87,-1.44%,156468
ACER,Healthcare,57.10M,-,-,4.22,9.21,-,11.51M,11.21M,31.80%,2.37%,0.32,-128.70%,-161.00%,1.60,0.00,-3.76%,33.33%,-17.77%,11.27%,14.81%,-4.08%,20.88%,20.79%,-21.76%,62.60%,-48.42%,246.29%,52.92,1.04%,0.39,3.74,-2.61%,242192
ACH,Basic Materials,8.66B,-,0.31,0.71,4.31,16.11,680.91M,429.49M,1.60%,0.01%,0.40,0.00%,-0.10%,0.70,1.85,8.78%,-1.01%,20.05%,1.34%,1.66%,15.96%,11.10%,47.08%,-1.12%,28.14%,-2.51%,110.87%,68.33,10.57%,1.92,9.70,10.23%,139589
ACIU,Healthcare,604.83M,-,33.98,2.25,2.18,-,71.93M,37.91M,29.90%,2.83%,1.26,-22.10%,-24.20%,18.10,0.01,16.17%,41.45%,-3.08%,20.48%,12.08%,18.82%,34.62%,24.77%,-36.00%,66.32%,-38.46%,96.56%,65.48,1.95%,1.51,8.00,-2.32%,971695
ACOR,Healthcare,71.99M,1.42,0.44,1.15,1.14,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,2.45%,23.04%,-34.64%,7.11%,9.64%,2.02%,32.95%,60.46%,-13.51%,122.26%,-42.83%,195.53%,60.83,1.20%,0.31,7.49,-0.53%,273113
ACRX,Healthcare,276.10M,-,53.10,-,6.41,-,113.81M,88.85M,25.60%,12.35%,2.13,-60.70%,85.50%,2.90,-,8.19%,26.13%,50.30%,12.10%,13.64%,-0.36%,30.41%,54.07%,-21.82%,99.01%,-21.82%,227.72%,53.63,-0.80%,2.47,2.30,-8.42%,9559952
ACST,Healthcare,184.88M,38.15,2282.48,6.24,-,-,179.50M,176.13M,1.66%,1.27%,0.05,-,-,-,-,34.64%,61.06%,77.89%,18.87%,16.27%,34.26%,97.12%,114.45%,-12.30%,338.52%,-12.30%,525.73%,68.10,5.83%,1.16,1.07,3.88%,42962434
ACTG,Industrials,387.28M,35.24,14.84,1.93,1.28,129.09,48.47M,46.31M,69.30%,2.59%,1.37,4.00%,7.30%,2.60,0.57,11.89%,86.05%,229.22%,10.60%,11.07%,21.94%,58.75%,102.33%,-7.27%,126.50%,-7.27%,350.41%,76.03,2.25%,1.76,7.88,-1.47%,1155995
ADAP,Healthcare,1.03B,-,320.68,2.68,2.57,-,154.67M,11.25M,84.40%,12.77%,0.93,-33.70%,-44.90%,12.20,0.00,4.99%,12.03%,64.23%,9.77%,8.11%,16.47%,27.74%,-1.78%,-5.59%,82.85%,-48.28%,246.50%,65.64,1.53%,1.14,6.93,6.29%,1325235
ADES,Industrials,107.88M,-,1.82,1.22,7.19,2.88,18.09M,17.94M,63.60%,4.58%,7.37,-14.50%,-24.20%,1.40,0.35,-3.89%,5.37%,-52.46%,5.22%,5.66%,13.16%,11.48%,24.04%,-1.60%,32.61%,-51.39%,74.47%,62.74,1.93%,1.94,6.14,7.91%,162968
ADIL,Healthcare,41.89M,-,-,5.81,5.66,-,13.65M,11.64M,9.90%,2.97%,0.56,-121.30%,-132.80%,7.50,0.00,7.86%,45.19%,79.76%,13.53%,10.70%,29.58%,48.56%,81.19%,-1.88%,95.63%,-21.75%,213.01%,74.64,0.66%,0.80,3.13,3.65%,371386
ADMA,Healthcare,273.20M,-,6.78,3.44,4.58,-,87.70M,70.91M,54.90%,13.61%,2.50,-37.20%,-98.80%,8.50,1.36,7.31%,35.44%,-20.51%,7.13%,7.42%,8.91%,20.98%,8.59%,-12.10%,42.88%,-34.90%,88.56%,60.30,2.15%,1.11,2.73,-2.00%,3238130
ADMP,Healthcare,210.71M,-,11.45,4.31,16.99,-,140.28M,92.57M,5.30%,5.48%,0.26,-78.50%,-115.90%,1.30,0.19,27.05%,106.34%,131.72%,15.33%,16.93%,11.21%,71.05%,97.12%,-36.32%,228.56%,-36.32%,451.85%,60.90,3.87%,0.64,1.49,-3.87%,9197980
ADMS,Healthcare,176.00M,-,2.52,-,1.90,-,28.38M,27.75M,63.00%,6.39%,3.56,-43.50%,328.40%,3.90,-,-1.33%,32.74%,2.96%,8.50%,11.54%,8.16%,18.90%,50.92%,-34.32%,46.23%,-34.32%,216.32%,57.36,0.51%,0.65,6.01,1.52%,244424
