Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,184.02M,-,7.73,5.09,10.64,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,0.85%,368.25%,413.04%,12.10%,36.54%,63.40%,171.78%,328.36%,-70.13%,422.12%,-70.13%,864.05%,58.09,0.00%,0.27,5.90,0.00%,0
AAIC,Real Estate,129.84M,-,72.13,0.70,14.59,6.12,34.66M,32.37M,37.80%,2.90%,3.99,-2.70%,-24.60%,-,3.50,8.56%,2.27%,-30.60%,4.01%,3.13%,7.89%,7.52%,33.49%,-0.98%,23.03%,-40.03%,190.00%,68.40,0.00%,2.32,4.06,0.00%,0
AAME,Financial,101.20M,163.03,0.54,0.86,11.37,21.53,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-17.23%,142.34%,166.34%,18.11%,27.36%,50.51%,95.20%,150.75%,-66.31%,165.02%,-66.31%,240.51%,67.66,0.00%,0.27,5.38,0.00%,0
AAU,Basic Materials,116.97M,-,-,2.00,43.32,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,18.94%,48.88%,111.24%,15.61%,13.96%,28.63%,43.26%,34.04%,-21.67%,108.89%,-24.19%,343.19%,63.58,0.00%,1.47,0.94,0.00%,0
ABEO,Healthcare,304.26M,-,43.47,2.21,3.14,-,93.77M,84.15M,36.10%,3.42%,0.82,-47.00%,-62.00%,2.70,0.02,-19.76%,37.37%,-14.20%,19.80%,13.98%,10.52%,37.62%,23.59%,-28.23%,92.89%,-37.33%,174.89%,57.38,0.00%,2.11,2.72,0.00%,0
ABEV,Consumer Defensive,45.32B,16.36,-,2.92,-,-,15.73B,4.39B,8.62%,1.72%,3.30,-,-,-,-,1.77%,-9.43%,-22.01%,2.70%,3.06%,-0.23%,-3.03%,12.33%,-10.00%,5.56%,-21.18%,55.57%,48.54,0.00%,0.81,2.88,0.00%,0
ABIO,Healthcare,49.32M,-,-,0.62,0.97,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,4.87%,15.40%,-6.51%,6.40%,5.94%,10.41%,17.28%,-1.12%,-6.00%,30.55%,-76.50%,133.94%,67.31,0.00%,1.89,5.17,0.00%,0
ABUS,Healthcare,385.65M,-,63.22,-,3.26,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-7.23%,11.41%,34.03%,9.61%,7.96%,9.30%,11.29%,45.00%,-23.51%,32.06%,-50.22%,410.23%,59.10,0.00%,0.57,4.49,0.00%,0
ACCO,Industrials,838.14M,11.35,0.48,1.15,9.77,7.40,94.50M,91.78M,94.30%,4.14%,7.68,2.80%,10.30%,1.60,1.26,-4.95%,-0.11%,-9.53%,3.35%,3.35%,1.02%,2.07%,24.75%,-7.64%,11.63%,-10.26%,151.57%,51.96,0.00%,0.61,8.83,0.00%,0
ACER,Healthcare,56.65M,-,-,4.19,9.14,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-4.51%,33.22%,-18.94%,10.57%,14.75%,-2.23%,22.25%,22.78%,-20.29%,65.65%,-47.45%,252.78%,54.64,0.00%,0.50,3.81,0.00%,0
