Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,179.34M,-,7.54,4.96,10.37,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-5.43%,341.02%,391.45%,12.78%,36.34%,49.48%,153.68%,309.62%,-70.89%,408.85%,-70.89%,839.54%,57.23,-0.83%,0.18,5.75,-4.49%,1025534
AAIC,Real Estate,126.00M,-,70.00,0.68,14.16,5.94,34.66M,32.37M,37.80%,2.90%,4.01,-2.70%,-24.60%,-,3.50,7.36%,2.07%,-40.39%,4.65%,3.32%,4.52%,4.02%,29.27%,-3.90%,16.57%,-41.80%,181.43%,59.27,0.00%,0.86,3.94,-1.25%,201425
AAME,Financial,98.56M,158.79,0.53,0.84,11.07,20.97,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-8.07%,118.33%,137.10%,14.74%,28.17%,40.44%,85.59%,142.12%,-67.19%,158.13%,-67.19%,231.65%,64.54,0.36%,0.16,5.24,-5.24%,343020
AAU,Basic Materials,100.81M,-,-,1.72,37.34,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,-16.90%,45.86%,81.64%,11.91%,14.29%,8.30%,23.20%,15.13%,-32.49%,80.02%,-34.67%,281.94%,53.36,0.00%,0.62,0.81,-9.99%,3176598
ABEO,Healthcare,275.18M,-,39.31,2.00,2.84,-,93.77M,84.15M,36.10%,3.42%,0.78,-47.00%,-62.00%,2.70,0.02,-26.79%,14.95%,-39.71%,19.99%,14.85%,-1.03%,23.11%,11.68%,-35.09%,74.46%,-43.32%,148.61%,50.58,-8.37%,1.16,2.46,-6.46%,4262098
ABEV,Consumer Defensive,43.43B,15.68,-,2.80,-,-,15.73B,4.39B,8.62%,1.72%,3.30,-,-,-,-,-2.47%,-10.10%,-22.82%,2.68%,3.04%,-4.05%,-7.10%,7.47%,-13.75%,0.36%,-24.46%,49.08%,41.32,-2.44%,1.13,2.76,-3.83%,25854525
ABIO,Healthcare,44.46M,-,-,0.56,0.87,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-7.17%,-1.89%,-10.38%,6.42%,6.13%,-0.66%,5.39%,-10.99%,-15.27%,17.67%,-78.82%,110.86%,49.48,-1.42%,1.23,4.66,-5.28%,966341
ABUS,Healthcare,367.61M,-,60.26,-,3.11,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-3.39%,5.16%,30.89%,6.75%,7.77%,3.76%,5.84%,37.47%,-27.09%,25.88%,-52.55%,386.36%,53.22,-0.91%,0.46,4.28,-2.95%,1832549
ACCO,Industrials,781.19M,10.58,0.45,1.07,9.10,6.89,94.50M,91.78M,94.30%,4.14%,7.70,2.80%,10.30%,1.60,1.26,-10.64%,-5.84%,-13.37%,4.32%,3.64%,-5.68%,-4.93%,16.16%,-13.91%,3.26%,-16.36%,134.47%,40.65,-0.71%,2.21,8.23,-2.37%,1093313
ACER,Healthcare,52.05M,-,-,3.85,8.39,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-14.43%,-19.17%,-31.24%,9.76%,10.61%,-9.50%,11.50%,12.52%,-26.78%,52.17%,-51.72%,224.07%,46.95,0.00%,0.26,3.50,-6.42%,219637
