Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,179.34M,-,7.54,4.96,10.37,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-5.43%,341.02%,391.45%,12.78%,36.34%,40.46%,142.15%,299.59%,-71.09%,405.31%,-71.09%,833.01%,57.04,-1.39%,0.09,5.71,-0.70%,466242
AAIC,Real Estate,126.00M,-,70.00,0.68,14.16,5.94,34.66M,32.37M,37.80%,2.90%,4.03,-2.70%,-24.60%,-,3.50,7.36%,2.07%,-40.39%,4.65%,3.32%,5.17%,4.61%,29.98%,-3.17%,13.43%,-41.36%,183.57%,60.74,-1.02%,0.72,3.97,0.76%,150798
AAME,Financial,98.56M,158.79,0.53,0.84,11.07,20.97,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-8.07%,118.33%,137.10%,14.74%,28.17%,22.50%,64.49%,117.43%,-70.29%,133.74%,-70.29%,200.31%,58.13,-1.34%,0.11,4.74,-9.45%,219070
AAU,Basic Materials,100.81M,-,-,1.72,37.34,-,119.16M,114.95M,5.90%,0.78%,0.17,-4.20%,-4.60%,9.50,0.04,-16.90%,45.86%,81.64%,11.91%,14.29%,10.24%,27.32%,18.76%,-30.17%,86.20%,-32.43%,295.06%,55.06,2.46%,0.44,0.84,3.43%,2062447
ABEO,Healthcare,275.18M,-,39.31,2.00,2.84,-,93.77M,84.15M,36.10%,3.42%,0.78,-47.00%,-62.00%,2.70,0.02,-26.79%,14.95%,-39.71%,19.99%,14.85%,-6.74%,16.00%,6.23%,-38.26%,65.95%,-46.08%,136.48%,47.70,1.22%,0.73,2.34,-4.88%,2417398
ABEV,Consumer Defensive,43.43B,15.68,-,2.80,-,-,15.73B,4.39B,8.62%,1.72%,3.31,-,-,-,-,-2.47%,-10.10%,-22.82%,2.68%,3.04%,-2.01%,-5.54%,9.08%,-12.34%,2.00%,-22.40%,51.52%,44.66,-0.36%,1.25,2.81,1.63%,25454391
ABIO,Healthcare,44.46M,-,-,0.56,0.87,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-7.17%,-1.89%,-10.38%,6.42%,6.13%,2.69%,8.77%,-8.02%,-12.37%,21.70%,-78.09%,118.08%,53.76,0.21%,2.66,4.82,3.42%,1905306
ABUS,Healthcare,367.61M,-,60.26,-,3.11,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-3.39%,5.16%,30.89%,6.75%,7.77%,6.93%,9.16%,41.27%,-24.70%,30.00%,-51.00%,402.27%,56.42,1.40%,0.55,4.42,3.27%,1982043
ACCO,Industrials,781.19M,10.58,0.45,1.07,9.10,6.89,94.50M,91.78M,94.30%,4.14%,7.60,2.80%,10.30%,1.60,1.26,-10.64%,-5.84%,-13.37%,4.32%,3.64%,-4.53%,-4.05%,17.02%,-13.18%,4.14%,-14.08%,136.47%,42.30,0.12%,1.69,8.30,0.85%,758772
ACER,Healthcare,52.05M,-,-,3.85,8.39,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-14.43%,-19.17%,-31.24%,9.76%,10.61%,-7.26%,13.07%,14.55%,-25.31%,55.22%,-50.76%,230.56%,48.74,0.86%,0.11,3.57,2.00%,87618
ACIU,Healthcare,584.15M,-,32.82,2.17,2.11,-,71.93M,37.91M,29.90%,2.83%,1.15,-22.10%,-24.20%,18.10,0.01,8.21%,27.99%,-7.59%,22.43%,12.88%,13.82%,31.45%,25.07%,-35.68%,67.15%,-38.15%,97.54%,59.51,2.91%,1.17,8.04,1.64%,987161
ACOR,Healthcare,65.77M,1.29,0.40,1.05,1.04,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,-7.03%,-13.68%,-32.94%,5.85%,8.24%,-8.96%,14.88%,41.46%,-23.33%,97.03%,-37.48%,161.99%,47.41,0.29%,0.21,6.64,-3.49%,223234
ACRX,Healthcare,237.60M,-,45.69,-,5.51,-,113.81M,88.85M,25.60%,12.35%,2.01,-60.70%,85.50%,2.90,-,-18.18%,-8.09%,44.97%,9.61%,11.93%,-7.06%,19.39%,43.69%,-26.58%,86.89%,-26.58%,207.76%,49.04,0.93%,0.48,2.16,-0.06%,2331487
ACST,Healthcare,163.83M,33.80,2022.54,5.53,-,-,179.50M,176.13M,1.66%,1.27%,0.04,-,-,-,-,-23.94%,43.19%,62.98%,11.60%,15.87%,10.75%,60.94%,86.09%,-22.94%,285.32%,-22.94%,449.82%,57.40,2.96%,0.52,0.94,3.01%,24435766
ACTG,Industrials,386.80M,35.20,14.82,1.93,1.28,128.93,48.47M,46.31M,69.30%,2.59%,1.28,4.00%,7.30%,2.60,0.57,-0.75%,42.68%,235.71%,8.21%,9.96%,25.00%,63.62%,114.91%,0.59%,145.69%,0.59%,388.57%,78.39,0.38%,2.68,8.55,7.01%,2259555
ADAP,Healthcare,941.19M,-,294.12,2.46,2.35,-,154.67M,11.25M,84.40%,12.77%,0.90,-33.70%,-44.90%,12.20,0.00,-11.67%,0.67%,50.25%,10.33%,8.41%,1.22%,10.43%,-13.83%,-16.62%,61.48%,-54.33%,206.00%,51.00,1.00%,0.52,6.12,2.34%,753251
