Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,453.92M,-,19.15,5.46,26.24,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,381.85%,418.85%,455.26%,113.33%,33.31%,194.26%,305.36%,433.45%,-66.99%,476.99%,-66.99%,965.36%,60.45,-2.69%,1.66,6.52,3.00%,4113874
AAIC,Real Estate,123.69M,-,68.72,0.64,13.90,5.83,34.66M,32.45M,37.10%,2.82%,3.83,-2.70%,-24.60%,-,3.50,1.93%,-4.90%,-36.16%,3.27%,2.75%,-2.66%,-0.20%,23.23%,-9.29%,17.78%,-45.20%,165.00%,47.76,-0.27%,0.65,3.71,0.54%,70482
AAME,Financial,48.78M,157.58,0.26,0.83,5.48,10.38,20.44M,4.08M,5.40%,0.01%,0.00,0.30%,1.00%,-,0.26,118.49%,126.09%,173.68%,71.90%,21.29%,145.07%,166.53%,203.37%,-61.49%,204.46%,-61.49%,289.25%,90.85,-5.77%,9.22,6.15,18.27%,7979761
AAU,Basic Materials,85.52M,-,-,1.59,31.67,-,119.16M,114.95M,5.90%,0.52%,0.15,-4.20%,-4.60%,9.50,0.04,2.39%,42.30%,60.58%,15.80%,14.55%,21.18%,16.05%,12.10%,-35.79%,71.22%,-37.86%,263.27%,57.50,3.34%,1.50,0.77,3.41%,2805571
ABEO,Healthcare,242.39M,-,34.63,2.10,2.50,-,93.77M,84.15M,34.30%,2.02%,0.66,-47.00%,-62.00%,2.70,0.02,35.08%,50.88%,-2.27%,10.38%,9.99%,50.28%,74.19%,42.01%,18.13%,129.26%,-28.69%,212.78%,78.49,3.49%,7.95,3.10,19.96%,9375142
ABEV,Consumer Defensive,45.95B,16.59,-,2.96,-,-,15.73B,4.39B,8.62%,1.84%,3.30,-,-,-,-,4.66%,-4.89%,-22.96%,3.12%,3.28%,-4.20%,-3.90%,11.77%,-11.25%,10.83%,-28.39%,53.41%,44.40,-3.42%,2.00,2.84,-2.74%,22416287
ABIO,Healthcare,43.38M,-,-,0.56,0.85,-,9.32M,9.28M,7.20%,0.87%,0.15,-29.30%,-31.30%,34.00,0.00,10.95%,12.83%,-16.04%,5.33%,5.12%,7.18%,11.36%,-7.70%,-1.03%,22.50%,-78.23%,116.74%,62.41,2.15%,2.69,4.79,2.79%,648986
ABUS,Healthcare,353.21M,-,57.90,-,2.99,-,79.49M,63.55M,31.20%,6.38%,1.07,-76.20%,128.90%,15.90,-,9.79%,16.25%,29.69%,5.82%,7.46%,9.20%,9.07%,44.78%,-26.06%,27.65%,-51.88%,393.18%,61.34,3.13%,1.75,4.34,4.58%,3036276
ACCO,Industrials,836.30M,11.39,0.48,1.16,9.75,7.38,94.50M,91.78M,93.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,9.52%,0.23%,-3.80%,3.36%,3.37%,6.20%,7.72%,30.91%,0.99%,20.34%,-19.42%,161.25%,62.31,0.45%,0.39,9.17,3.50%,95874
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,9.32%,60.89%,-11.53%,8.71%,15.01%,15.42%,39.21%,35.22%,-13.70%,79.35%,-43.10%,281.94%,63.33,1.50%,1.68,4.13,3.38%,605185
