Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,419.50M,-,17.70,5.04,24.25,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,336.57%,361.14%,465.22%,120.04%,34.82%,148.55%,257.39%,387.27%,-69.22%,438.05%,-69.22%,893.46%,59.09,3.42%,0.36,6.08,3.93%,1494892
AAIC,Real Estate,125.36M,-,69.65,0.64,14.09,5.91,34.66M,32.45M,37.10%,2.82%,3.86,-2.70%,-24.60%,-,3.50,2.19%,-4.83%,-35.07%,3.00%,2.72%,-3.68%,-1.76%,21.34%,-10.51%,14.73%,-45.94%,161.43%,44.24,-1.07%,0.80,3.66,-2.14%,142058
AAME,Financial,60.97M,196.97,0.32,1.04,6.85,12.97,20.44M,4.08M,5.40%,0.01%,0.00,0.30%,1.00%,-,0.26,180.18%,175.42%,242.11%,85.72%,24.46%,133.97%,165.06%,209.83%,-60.24%,214.36%,-60.24%,301.90%,88.53,-6.00%,1.43,6.35,-2.31%,2197518
AAU,Basic Materials,90.70M,-,-,1.68,33.59,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,-14.98%,50.91%,75.62%,9.16%,14.48%,26.25%,24.28%,19.02%,-31.62%,82.33%,-33.83%,286.85%,60.34,5.02%,2.31,0.82,3.82%,7206764
ABEO,Healthcare,318.49M,-,45.50,2.76,3.29,-,93.77M,84.15M,34.30%,2.02%,0.60,-47.00%,-62.00%,2.70,0.02,74.74%,90.45%,35.06%,15.52%,11.34%,61.99%,90.89%,58.76%,-0.91%,151.31%,-20.09%,250.49%,82.05,10.03%,4.81,3.47,2.30%,10226364
ABEV,Consumer Defensive,44.53B,16.08,-,2.87,-,-,15.73B,4.39B,8.62%,1.84%,3.28,-,-,-,-,-2.41%,-5.35%,-25.53%,2.91%,3.29%,-4.64%,-4.81%,10.64%,-12.02%,9.87%,-25.91%,52.08%,43.18,-1.77%,0.82,2.82,-0.51%,15120206
ABIO,Healthcare,45.90M,-,-,0.59,0.90,-,9.32M,9.28M,7.20%,0.87%,0.14,-29.30%,-31.30%,34.00,0.00,9.07%,18.23%,-13.05%,5.53%,5.42%,9.00%,13.68%,-5.46%,-5.03%,23.99%,-77.68%,122.17%,64.73,1.62%,2.94,4.91,-0.41%,1276739
ABUS,Healthcare,411.93M,-,67.53,-,3.48,-,79.49M,63.55M,31.20%,6.38%,1.02,-76.20%,128.90%,15.90,-,24.74%,24.10%,48.92%,7.95%,7.59%,13.35%,13.89%,51.21%,-22.32%,34.12%,-49.45%,418.18%,61.66,2.48%,2.02,4.56,-5.79%,5990283
ACCO,Industrials,876.88M,11.94,0.51,1.21,10.22,7.74,94.50M,91.78M,93.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,11.12%,6.41%,0.98%,3.23%,3.45%,8.63%,10.35%,34.07%,1.02%,23.56%,-17.27%,168.23%,65.74,0.22%,0.33,9.41,1.35%,133638
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,9.62%,57.71%,-11.92%,9.50%,15.41%,7.43%,31.10%,28.06%,-17.99%,70.43%,-45.93%,262.96%,59.37,0.50%,0.59,3.92,-1.75%,356488
ACH,Basic Materials,8.38B,-,0.30,0.69,4.18,15.62,680.91M,429.49M,1.60%,0.00%,0.09,0.00%,-0.10%,0.70,1.85,7.92%,-12.09%,19.00%,1.39%,1.65%,5.65%,0.83%,35.86%,-10.96%,17.04%,-10.96%,92.61%,57.52,3.73%,0.80,8.86,3.26%,59896
ACIU,Healthcare,558.91M,-,31.76,2.13,2.05,-,71.93M,37.91M,30.00%,3.25%,3.42,-22.10%,-24.20%,18.10,0.01,24.39%,34.68%,-19.39%,15.66%,10.12%,20.40%,33.54%,19.82%,-20.23%,59.54%,-40.97%,88.55%,70.13,1.18%,0.54,7.67,0.31%,145822
ACOR,Healthcare,69.85M,1.42,0.42,1.15,1.11,-,47.71M,9.35M,40.50%,11.56%,0.92,6.60%,16.10%,1.10,0.73,12.17%,81.73%,-37.62%,6.72%,10.32%,13.16%,45.12%,67.42%,-10.30%,130.50%,-40.71%,206.49%,67.58,5.95%,0.44,7.77,2.75%,386909
ACRX,Healthcare,271.85M,-,52.28,-,6.31,-,113.81M,88.85M,25.40%,11.82%,2.15,-60.70%,85.50%,2.90,-,21.60%,89.05%,54.17%,10.65%,16.11%,34.71%,73.15%,97.03%,-1.53%,150.65%,-1.53%,312.75%,74.32,5.02%,1.65,2.89,11.78%,6049622
ACST,Healthcare,161.55M,-,-,9.78,-,-,179.50M,95.08M,1.66%,1.67%,0.04,-,-,-,-,32.35%,100.67%,18.91%,11.55%,17.48%,36.07%,102.11%,98.62%,-10.98%,356.69%,-10.98%,467.25%,74.53,6.11%,1.72,0.97,7.78%,57728518
ACTG,Industrials,361.23M,31.63,13.84,1.73,1.19,120.41,48.47M,46.31M,69.70%,2.64%,1.58,4.00%,7.30%,2.60,0.57,20.07%,70.14%,189.52%,10.84%,10.07%,28.54%,60.64%,96.37%,-3.31%,113.94%,-3.31%,325.43%,78.92,0.28%,2.48,7.45,3.69%,1445889
