Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,187.76M,-,7.89,5.19,10.85,-,34.43M,31.74M,0.40%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,-3.06%,377.78%,366.67%,12.99%,36.30%,49.22%,153.24%,308.90%,-70.94%,407.96%,-70.94%,837.91%,57.19,-0.83%,0.24,5.74,-4.65%,740150
AAIC,Real Estate,127.60M,-,70.89,0.69,14.34,6.02,34.66M,32.37M,37.80%,2.90%,4.01,-2.70%,-24.60%,-,3.50,7.55%,1.53%,-37.56%,4.31%,3.25%,3.24%,2.74%,27.68%,-5.08%,15.14%,-42.52%,177.97%,56.12,0.00%,1.03,3.89,-2.47%,127536
AAME,Financial,104.02M,167.58,0.55,0.88,11.69,22.13,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,-15.31%,137.34%,162.09%,13.97%,27.60%,49.02%,96.92%,156.90%,-65.18%,173.89%,-65.18%,251.90%,68.86,0.36%,0.24,5.56,0.54%,267330
AAU,Basic Materials,112.00M,-,-,1.91,41.48,-,119.16M,114.95M,5.90%,0.78%,0.18,-4.20%,-4.60%,9.50,0.04,7.46%,59.60%,106.00%,15.44%,13.89%,15.57%,31.48%,22.86%,-27.96%,92.11%,-30.28%,307.59%,57.30,0.00%,0.70,0.86,-3.94%,1914540
ABEO,Healthcare,294.19M,-,42.03,2.14,3.04,-,93.77M,84.15M,36.10%,3.42%,0.78,-47.00%,-62.00%,2.70,0.02,-21.26%,37.70%,-24.86%,21.71%,14.85%,-0.42%,23.86%,12.36%,-34.69%,75.52%,-42.97%,150.13%,50.94,-8.37%,1.49,2.47,-5.89%,2913194
ABEV,Consumer Defensive,45.16B,16.31,-,2.91,-,-,15.73B,4.39B,8.62%,1.72%,3.30,-,-,-,-,2.14%,-5.90%,-18.86%,2.68%,3.04%,-4.22%,-7.27%,7.28%,-13.91%,0.18%,-24.60%,48.81%,41.07,-2.44%,1.13,2.76,-4.01%,13680133
ABIO,Healthcare,46.94M,-,-,0.59,0.92,-,9.32M,9.28M,9.00%,0.33%,0.04,-29.30%,-31.30%,34.00,0.00,-1.01%,10.56%,-8.04%,6.78%,6.15%,0.62%,6.75%,-9.84%,-14.18%,19.19%,-78.55%,113.57%,51.13,-1.42%,1.70,4.72,-4.07%,705555
ABUS,Healthcare,378.77M,-,62.09,-,3.20,-,79.49M,63.55M,32.90%,5.02%,0.79,-76.20%,128.90%,15.90,-,-1.34%,12.79%,29.71%,7.91%,8.04%,5.45%,7.57%,39.72%,-25.89%,27.94%,-51.77%,394.32%,55.10,-0.91%,0.56,4.35,-1.36%,1191389
ACCO,Industrials,800.18M,10.84,0.46,1.10,9.33,7.06,94.50M,91.78M,94.30%,4.14%,7.70,2.80%,10.30%,1.60,1.26,-10.03%,-4.53%,-12.46%,4.59%,3.60%,-5.56%,-4.81%,16.31%,-13.81%,3.39%,-16.26%,134.76%,40.80,-0.71%,2.06,8.24,-2.25%,538604
ACER,Healthcare,55.61M,-,-,4.11,8.97,-,11.51M,11.21M,31.80%,2.37%,0.31,-128.70%,-161.00%,1.60,0.00,-3.36%,-2.86%,-24.37%,9.58%,12.01%,-6.92%,14.69%,15.74%,-24.69%,56.52%,-50.34%,233.33%,49.22,0.00%,0.20,3.60,-3.74%,92436
ACIU,Healthcare,661.70M,-,37.17,2.46,2.39,-,71.93M,37.91M,29.90%,2.83%,1.17,-22.10%,-24.20%,18.10,0.01,17.12%,51.10%,7.43%,21.56%,12.63%,15.33%,32.67%,25.11%,-35.68%,67.15%,-38.15%,97.54%,59.88,-0.67%,1.64,8.04,-10.27%,798477
ACOR,Healthcare,70.94M,1.39,0.43,1.13,1.12,-,47.71M,9.35M,40.70%,5.77%,0.45,6.60%,16.10%,1.10,0.73,-5.60%,10.75%,-23.66%,6.78%,8.88%,-4.04%,22.95%,50.54%,-18.53%,109.35%,-35.75%,178.37%,53.33,-2.43%,0.25,7.05,-4.92%,163206
ACRX,Healthcare,245.30M,-,47.17,-,5.69,-,113.81M,88.85M,25.60%,12.35%,2.03,-60.70%,85.50%,2.90,-,-19.49%,7.21%,42.95%,11.20%,13.54%,-3.09%,24.81%,49.46%,-23.79%,93.98%,-23.79%,219.43%,51.70,-0.45%,0.76,2.24,0.47%,2195569
ACST,Healthcare,183.09M,37.78,2260.32,6.18,-,-,179.50M,176.13M,1.66%,1.27%,0.04,-,-,-,-,4.08%,70.11%,79.29%,16.40%,15.66%,13.29%,66.59%,89.24%,-21.89%,290.53%,-21.89%,457.25%,58.54,0.00%,1.18,0.95,-6.58%,32001751
ACTG,Industrials,393.09M,35.77,15.06,1.96,1.30,131.03,48.47M,46.31M,69.30%,2.59%,1.30,4.00%,7.30%,2.60,0.57,8.41%,57.36%,234.85%,9.71%,9.97%,17.33%,53.55%,99.71%,-7.18%,126.72%,-7.18%,350.86%,72.01,-1.85%,1.01,7.89,-2.83%,495277
ADAP,Healthcare,1.04B,-,325.60,2.72,2.61,-,154.67M,11.25M,84.40%,12.77%,0.90,-33.70%,-44.90%,12.20,0.00,-1.93%,15.73%,64.68%,9.30%,8.35%,2.79%,12.57%,-12.47%,-15.46%,63.72%,-53.69%,210.25%,52.32,-1.36%,1.04,6.20,-6.27%,871683
ADES,Industrials,112.24M,-,1.89,1.27,7.48,2.99,18.09M,17.94M,63.60%,4.58%,7.07,-14.50%,-24.20%,1.40,0.35,1.37%,7.64%,-52.26%,5.61%,5.96%,4.63%,3.58%,16.06%,-8.17%,23.76%,-54.63%,62.82%,53.69,-0.68%,1.17,5.73,-3.21%,71933
ADIL,Healthcare,43.14M,-,-,5.98,5.83,-,13.65M,11.64M,9.90%,2.97%,0.55,-121.30%,-132.80%,7.50,0.00,4.36%,61.98%,105.04%,12.66%,11.11%,16.44%,36.97%,69.08%,-10.59%,84.38%,-26.25%,195.00%,64.23,0.00%,0.72,2.95,-5.14%,240073
