Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,445.32M,-,18.79,5.35,25.74,-,34.43M,31.74M,0.04%,0.01%,0.00,-16.40%,-38.80%,0.50,0.01,343.57%,400.40%,464.14%,120.62%,34.95%,125.71%,237.77%,376.84%,-69.22%,438.05%,-69.22%,893.46%,58.93,6.44%,0.42,6.08,-2.09%,2348860
AAIC,Real Estate,124.36M,-,69.09,0.64,13.97,5.87,34.66M,32.45M,37.10%,2.89%,4.01,-2.70%,-24.60%,-,3.50,2.49%,-6.55%,-35.14%,2.80%,2.65%,-3.09%,-1.70%,21.46%,-10.27%,15.05%,-45.79%,162.14%,44.70,-0.81%,0.61,3.67,-1.08%,142700
AAME,Financial,61.25M,197.88,0.33,1.04,6.88,13.03,20.44M,4.08M,5.40%,0.04%,0.00,0.30%,1.00%,-,0.26,191.52%,170.95%,251.08%,91.23%,25.68%,95.01%,129.37%,175.03%,-64.31%,182.18%,-64.31%,260.76%,76.31,-3.98%,0.34,5.70,-12.71%,707846
AAU,Basic Materials,96.12M,-,-,1.78,35.60,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,6.78%,64.64%,95.91%,8.98%,14.62%,46.35%,48.36%,40.94%,-18.77%,116.62%,-21.39%,359.59%,67.66,5.07%,4.94,0.97,16.39%,21168376
ABEO,Healthcare,313.79M,-,44.83,2.72,3.24,-,93.77M,84.15M,34.30%,3.42%,0.96,-47.00%,-62.00%,2.70,0.02,64.53%,89.77%,13.99%,18.31%,11.97%,51.62%,81.09%,53.51%,-11.34%,138.28%,-22.58%,239.57%,79.64,-1.80%,2.97,3.36,0.60%,8899224
ABEV,Consumer Defensive,44.22B,15.97,-,2.85,-,-,15.73B,4.39B,8.62%,1.72%,3.14,-,-,-,-,-3.77%,-8.47%,-24.31%,2.66%,3.27%,-3.90%,-4.40%,11.03%,-11.56%,10.44%,-25.53%,52.87%,44.29,0.36%,0.66,2.83,0.71%,15944943
ABIO,Healthcare,46.27M,-,-,0.60,0.91,-,9.32M,9.28M,7.20%,0.33%,0.05,-29.30%,-31.30%,34.00,0.00,12.19%,17.77%,-9.96%,5.59%,5.53%,10.61%,15.81%,-3.43%,-2.90%,26.76%,-77.18%,127.15%,67.54,0.80%,4.08,5.02,1.01%,2436388
ABUS,Healthcare,380.44M,-,62.37,-,3.22,-,79.49M,63.55M,31.20%,5.02%,0.79,-76.20%,128.90%,15.90,-,14.03%,15.50%,39.91%,10.38%,7.89%,9.91%,10.25%,46.11%,-24.53%,30.29%,-50.89%,403.41%,58.44,1.79%,0.83,4.43,-0.89%,3340524
ACCO,Industrials,884.43M,12.04,0.51,1.22,10.31,7.81,94.50M,91.78M,93.20%,4.14%,7.12,2.80%,10.30%,1.60,1.26,11.55%,8.45%,2.85%,3.41%,3.30%,5.75%,7.63%,30.82%,-2.62%,20.87%,-19.07%,162.39%,61.02,0.43%,0.63,9.21,-1.71%,337550
ACER,Healthcare,56.35M,-,-,4.25,9.09,-,11.51M,11.21M,31.60%,2.37%,0.33,-128.70%,-161.00%,1.60,0.00,3.75%,55.42%,-19.38%,9.93%,15.75%,9.98%,35.64%,33.20%,-14.44%,77.83%,-43.59%,278.70%,61.96,3.36%,0.53,4.09,5.68%,426069
