Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,419.50M,-,17.70,5.04,24.25,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,336.57%,361.14%,465.22%,120.04%,34.82%,153.46%,264.44%,396.89%,-68.61%,448.67%,-68.61%,913.07%,59.36,3.42%,0.40,6.20,5.98%,1993706
AAIC,Real Estate,125.36M,-,69.65,0.64,14.09,5.91,34.66M,32.45M,37.10%,2.82%,3.86,-2.70%,-24.60%,-,3.50,2.19%,-4.83%,-35.07%,3.00%,2.72%,-3.42%,-1.49%,21.68%,-10.27%,15.05%,-45.79%,162.14%,44.90,-1.07%,0.82,3.67,-1.87%,175382
AAME,Financial,60.97M,196.97,0.32,1.04,6.85,12.97,20.44M,4.08M,5.40%,0.01%,0.00,0.30%,1.00%,-,0.26,180.18%,175.42%,242.11%,85.72%,24.46%,134.71%,165.89%,210.80%,-60.11%,215.35%,-60.11%,303.16%,88.92,-6.00%,1.25,6.37,-2.00%,2304760
AAU,Basic Materials,90.70M,-,-,1.68,33.59,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,-14.98%,50.91%,75.62%,9.16%,14.48%,28.68%,26.67%,21.31%,-30.31%,85.84%,-32.56%,294.30%,61.18,5.02%,2.03,0.84,5.82%,7586515
ABEO,Healthcare,318.49M,-,45.50,2.76,3.29,-,93.77M,84.15M,34.30%,2.02%,0.60,-47.00%,-62.00%,2.70,0.02,74.74%,90.45%,35.06%,15.52%,11.34%,55.95%,83.78%,52.85%,-4.60%,141.95%,-23.07%,237.43%,79.38,10.03%,4.28,3.34,-1.51%,10907187
ABEV,Consumer Defensive,44.53B,16.08,-,2.87,-,-,15.73B,4.39B,8.62%,1.84%,3.28,-,-,-,-,-2.41%,-5.35%,-25.53%,2.91%,3.29%,-4.15%,-4.32%,11.21%,-11.56%,10.44%,-25.53%,52.87%,43.92,-1.77%,0.72,2.83,0.00%,15856595
ABIO,Healthcare,45.90M,-,-,0.59,0.90,-,9.32M,9.28M,7.20%,0.87%,0.14,-29.30%,-31.30%,34.00,0.00,9.07%,18.23%,-13.05%,5.53%,5.42%,9.67%,14.38%,-4.88%,-4.45%,24.74%,-77.55%,123.53%,65.79,1.62%,2.63,4.94,0.20%,1369680
ABUS,Healthcare,411.93M,-,67.53,-,3.48,-,79.49M,63.55M,31.20%,6.38%,1.02,-76.20%,128.90%,15.90,-,24.74%,24.10%,48.92%,7.95%,7.59%,12.89%,13.42%,50.59%,-22.63%,33.57%,-49.65%,416.07%,61.19,2.48%,1.78,4.54,-6.17%,6337107
ACCO,Industrials,876.88M,11.94,0.51,1.21,10.22,7.74,94.50M,91.78M,93.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,11.12%,6.41%,0.98%,3.23%,3.45%,8.52%,10.24%,33.92%,0.91%,23.43%,-17.35%,167.95%,65.61,0.22%,0.38,9.40,1.24%,186442
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,9.62%,57.71%,-11.92%,9.50%,15.41%,6.60%,30.10%,27.08%,-18.62%,69.13%,-46.34%,260.19%,58.59,0.50%,0.52,3.89,-2.51%,374519
ACH,Basic Materials,8.38B,-,0.30,0.69,4.18,15.62,680.91M,429.49M,1.60%,0.00%,0.09,0.00%,-0.10%,0.70,1.85,7.92%,-12.09%,19.00%,1.39%,1.65%,5.77%,0.94%,36.01%,-10.86%,17.17%,-10.86%,92.83%,57.66,3.73%,0.74,8.87,3.38%,66177
ACIU,Healthcare,558.91M,-,31.76,2.13,2.05,-,71.93M,37.91M,30.00%,3.25%,3.42,-22.10%,-24.20%,18.10,0.01,24.39%,34.68%,-19.39%,15.66%,10.12%,20.03%,33.12%,19.44%,-20.48%,59.04%,-41.15%,87.96%,69.92,1.18%,0.52,7.65,0.00%,166916
ACOR,Healthcare,69.85M,1.42,0.42,1.15,1.11,-,47.71M,9.35M,40.50%,11.56%,0.92,6.60%,16.10%,1.10,0.73,12.17%,81.73%,-37.62%,6.72%,10.32%,15.49%,48.11%,70.86%,-8.46%,135.23%,-39.50%,212.79%,68.89,5.95%,0.56,7.93,4.86%,588172
ACRX,Healthcare,271.85M,-,52.28,-,6.31,-,113.81M,88.85M,25.40%,11.82%,2.15,-60.70%,85.50%,2.90,-,21.60%,89.05%,54.17%,10.65%,16.11%,30.29%,67.46%,90.57%,-4.76%,142.42%,-4.76%,299.20%,72.89,5.02%,1.63,2.80,8.11%,7163024
ACST,Healthcare,161.55M,-,-,9.78,-,-,179.50M,95.08M,1.66%,1.67%,0.04,-,-,-,-,32.35%,100.67%,18.91%,11.55%,17.48%,36.95%,103.43%,99.91%,-10.40%,359.65%,-10.40%,470.94%,74.77,6.11%,1.66,0.98,8.48%,66508611
ACTG,Industrials,361.23M,31.63,13.84,1.73,1.19,120.41,48.47M,46.31M,69.70%,2.64%,1.58,4.00%,7.30%,2.60,0.57,20.07%,70.14%,189.52%,10.84%,10.07%,30.19%,62.69%,98.87%,-2.08%,116.67%,-2.08%,330.86%,79.54,0.28%,2.40,7.54,5.01%,1673678
ADAP,Healthcare,994.17M,-,310.68,2.81,2.49,-,154.67M,11.25M,90.50%,11.81%,0.85,-33.70%,-44.90%,12.20,0.00,21.75%,14.21%,67.40%,8.92%,7.89%,16.35%,28.28%,-3.19%,-7.01%,78.63%,-49.48%,238.50%,66.03,3.95%,0.91,6.77,-0.88%,1287202
ADES,Industrials,98.18M,-,1.66,1.27,6.55,2.62,18.09M,17.94M,63.40%,4.45%,7.06,-14.50%,-24.20%,1.40,0.35,15.23%,5.92%,-48.83%,8.90%,5.48%,8.54%,5.75%,16.93%,-6.73%,25.70%,-53.92%,65.37%,58.76,0.68%,1.15,5.82,-1.36%,117098
ADIL,Healthcare,37.54M,-,-,5.98,5.07,-,13.65M,11.67M,9.80%,3.17%,0.61,-121.30%,-132.80%,7.50,0.00,44.65%,69.02%,74.72%,14.38%,10.23%,34.19%,47.40%,76.70%,-5.96%,87.49%,-25.01%,199.98%,75.21,-4.50%,1.45,3.00,-3.54%,780833
ADMA,Healthcare,265.04M,-,6.58,3.38,4.44,-,87.70M,70.91M,54.50%,15.64%,3.03,-37.20%,-98.80%,8.50,1.36,11.84%,27.44%,-17.35%,8.79%,6.60%,24.42%,34.07%,16.20%,1.03%,60.55%,-30.24%,102.07%,71.86,7.66%,2.06,2.93,6.93%,6768555
ADMP,Healthcare,181.84M,-,9.88,4.03,14.66,-,140.28M,92.57M,5.30%,3.63%,0.18,-78.50%,-115.90%,1.30,0.19,31.82%,105.88%,109.24%,10.98%,16.14%,30.48%,95.91%,108.77%,-34.62%,280.50%,-34.62%,466.67%,65.86,13.10%,1.48,1.53,5.52%,24293111
ADMS,Healthcare,177.14M,-,2.54,-,1.92,-,28.38M,27.75M,62.60%,4.34%,2.55,-43.50%,328.40%,3.90,-,-9.57%,28.18%,12.25%,13.81%,11.23%,21.71%,29.55%,62.28%,-30.39%,54.98%,-30.39%,235.24%,63.60,-0.49%,1.96,6.37,3.74%,830748
ADT,Industrials,7.71B,-,1.46,2.30,15.75,11.96,769.24M,691.76M,95.70%,2.47%,4.17,-3.70%,-19.70%,0.90,3.10,6.11%,11.67%,42.34%,3.97%,5.60%,4.03%,10.96%,13.42%,-10.59%,25.78%,-44.67%,179.64%,58.51,-0.43%,0.39,9.52,1.51%,1428239
ADTX,Healthcare,45.70M,-,-,1.90,3.34,-,13.97M,9.25M,6.80%,4.80%,0.12,-133.80%,-596.90%,18.90,0.00,7.67%,49.36%,-,9.65%,16.20%,21.79%,50.45%,34.78%,-44.13%,100.00%,-60.75%,132.10%,63.79,0.28%,0.48,3.76,7.12%,1604446
ADXS,Healthcare,107.62M,-,358.75,2.44,4.27,-,70.13M,-,15.00%,-,0.48,-60.50%,-76.40%,8.50,0.00,49.27%,127.72%,26.31%,13.10%,13.99%,51.34%,121.93%,114.81%,1.78%,318.62%,-9.53%,331.94%,80.17,3.81%,1.66,1.14,8.56%,18579542
AEF,Financial,444.59M,-,32.15,1.23,-,-,50.75M,-,63.43%,-,0.23,-,-,-,-,3.06%,3.06%,18.43%,1.35%,1.66%,3.07%,7.80%,30.05%,0.80%,19.31%,0.80%,102.49%,64.69,-0.11%,0.27,8.86,1.14%,18814
AEG,Financial,9.14B,7.14,0.20,0.28,0.69,-,2.05B,1.81B,8.10%,0.17%,1.40,-,-,-,0.42,4.60%,-0.69%,1.65%,1.45%,1.73%,5.23%,11.55%,40.70%,0.68%,25.50%,0.68%,146.11%,65.10,1.16%,0.67,4.43,2.55%,1336045
AEHL,Industrials,10.58M,-,-,-,-,-,3.05M,2.19M,0.87%,3.15%,0.10,-,-,-,-,23.93%,4.20%,73.32%,24.95%,13.85%,22.73%,34.74%,51.85%,-30.50%,64.79%,-33.90%,350.00%,67.65,0.58%,1.65,3.51,1.15%,1052465
