Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,438.58M,-,18.43,12.33,25.35,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,1025.98%,1062.60%,1138.10%,99.04%,29.80%,196.03%,285.99%,386.44%,-70.58%,414.16%,-70.58%,849.35%,58.56,-29.51%,3.67,5.81,-59.37%,16858208
AAIC,Real Estate,126.02M,-,70.01,0.64,14.16,5.94,34.66M,32.45M,36.40%,2.82%,3.79,-2.70%,-24.60%,-,3.50,0.27%,-1.86%,-35.54%,3.19%,2.77%,-3.88%,-0.86%,22.26%,-10.15%,22.09%,-45.72%,162.50%,44.91,0.00%,0.36,3.67,-0.68%,78192
AAME,Financial,48.40M,72.42,0.26,0.38,5.44,10.30,20.44M,4.08M,5.50%,0.01%,0.02,0.30%,1.00%,-,0.26,1.27%,-8.08%,25.79%,4.69%,5.42%,144.98%,158.13%,188.33%,107.89%,187.13%,66.67%,267.09%,89.96,54.81%,3873.99,5.80,142.68%,103578721
AAU,Basic Materials,70.49M,-,-,1.53,26.11,-,119.16M,114.95M,5.90%,0.52%,0.15,-4.20%,-4.60%,9.50,0.04,22.08%,41.95%,53.44%,22.88%,14.65%,18.44%,10.54%,7.95%,-38.33%,64.44%,-40.32%,248.89%,55.67,1.57%,1.00,0.74,2.96%,3607981
ABEO,Healthcare,252.57M,-,36.08,2.00,2.61,-,93.77M,84.15M,37.00%,2.02%,0.66,-47.00%,-62.00%,2.70,0.02,23.62%,41.38%,-6.82%,8.86%,9.72%,27.24%,46.60%,17.95%,1.97%,96.15%,-40.79%,159.69%,70.35,5.69%,1.22,2.57,4.46%,2773239
ABEV,Consumer Defensive,45.79B,16.53,-,2.95,-,-,15.73B,4.39B,8.62%,1.84%,3.29,-,-,-,-,0.34%,-4.90%,-26.62%,3.33%,3.37%,-1.67%,-1.08%,15.05%,-8.80%,13.89%,-28.68%,57.65%,48.60,1.03%,0.51,2.92,0.29%,11254489
ABIO,Healthcare,43.29M,-,-,0.56,0.85,-,9.32M,9.28M,6.40%,0.87%,0.16,-29.30%,-31.30%,34.00,0.00,11.48%,9.39%,-17.38%,5.80%,5.19%,5.07%,8.82%,-9.94%,-3.51%,19.43%,-78.77%,111.31%,59.19,1.50%,2.14,4.67,0.21%,980651
ABUS,Healthcare,342.91M,-,56.21,-,2.90,-,79.49M,63.55M,31.00%,6.38%,1.08,-76.20%,128.90%,15.90,-,13.35%,17.18%,28.40%,6.22%,7.52%,2.60%,2.41%,36.28%,-30.75%,19.56%,-54.93%,361.93%,54.13,1.92%,1.12,4.07,-2.28%,3751103
ACCO,Industrials,862.17M,11.38,0.50,1.15,10.05,7.61,94.50M,91.78M,94.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,6.12%,3.75%,-3.49%,3.44%,3.44%,2.23%,3.84%,26.22%,-2.86%,15.75%,-22.49%,151.28%,56.20,1.13%,0.33,8.82,-0.34%,162135
ACER,Healthcare,60.29M,-,-,4.46,9.72,-,11.51M,11.21M,32.20%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,7.12%,58.59%,-6.45%,9.30%,15.12%,13.68%,35.48%,30.91%,-16.74%,73.04%,-45.10%,268.52%,61.01,0.74%,0.28,3.98,-1.97%,195578
