Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
AACG,Consumer Defensive,419.50M,-,17.70,5.04,24.25,-,34.43M,31.74M,0.04%,0.00%,0.00,-16.40%,-38.80%,0.50,0.01,336.57%,361.14%,465.22%,120.04%,34.82%,139.15%,243.87%,368.84%,-70.38%,417.70%,-70.38%,855.88%,58.57,0.00%,0.96,5.85,0.00%,0
AAIC,Real Estate,125.36M,-,69.65,0.64,14.09,5.91,34.66M,32.45M,37.10%,2.82%,3.86,-2.70%,-24.60%,-,3.50,2.19%,-4.83%,-35.07%,3.00%,2.72%,-1.58%,0.39%,24.00%,-8.56%,17.24%,-44.76%,167.14%,50.22,0.00%,0.55,3.74,0.00%,0
AAME,Financial,60.97M,196.97,0.32,1.04,6.85,12.97,20.44M,4.08M,5.40%,0.01%,0.00,0.30%,1.00%,-,0.26,180.18%,175.42%,242.11%,85.72%,24.46%,139.50%,171.32%,217.14%,-59.30%,221.78%,-59.30%,311.39%,91.52,0.00%,5.08,6.50,0.00%,0
AAU,Basic Materials,90.70M,-,-,1.68,33.59,-,119.16M,114.95M,5.90%,0.52%,0.14,-4.20%,-4.60%,9.50,0.04,-14.98%,50.91%,75.62%,9.16%,14.48%,21.60%,19.70%,14.63%,-34.14%,75.62%,-36.27%,272.61%,58.62,0.00%,1.26,0.79,0.00%,0
ABEO,Healthcare,318.49M,-,45.50,2.76,3.29,-,93.77M,84.15M,34.30%,2.02%,0.60,-47.00%,-62.00%,2.70,0.02,74.74%,90.45%,35.06%,15.52%,11.34%,58.34%,86.59%,55.19%,-3.14%,145.65%,-21.89%,242.60%,81.36,0.00%,6.38,3.39,0.00%,0
ABEV,Consumer Defensive,44.53B,16.08,-,2.87,-,-,15.73B,4.39B,8.62%,1.84%,3.28,-,-,-,-,-2.41%,-5.35%,-25.53%,2.91%,3.29%,-4.15%,-4.32%,11.21%,-11.56%,10.44%,-25.53%,52.87%,43.92,0.00%,1.44,2.83,0.00%,0
ABIO,Healthcare,45.90M,-,-,0.59,0.90,-,9.32M,9.28M,7.20%,0.87%,0.14,-29.30%,-31.30%,34.00,0.00,9.07%,18.23%,-13.05%,5.53%,5.42%,9.45%,14.15%,-5.07%,-4.64%,24.49%,-77.59%,123.08%,65.57,0.00%,6.43,4.93,0.00%,0
ABUS,Healthcare,411.93M,-,67.53,-,3.48,-,79.49M,63.55M,31.20%,6.38%,1.02,-76.20%,128.90%,15.90,-,24.74%,24.10%,48.92%,7.95%,7.59%,20.31%,20.88%,60.49%,-17.55%,42.35%,-46.34%,450.00%,69.75,0.00%,3.01,4.84,0.00%,0
ACCO,Industrials,876.88M,11.94,0.51,1.21,10.22,7.74,94.50M,91.78M,93.20%,4.15%,6.99,2.80%,10.30%,1.60,1.26,11.12%,6.41%,0.98%,3.23%,3.45%,7.19%,8.89%,32.29%,-0.32%,21.92%,-18.36%,164.67%,64.01,0.00%,0.78,9.29,0.00%,0
ACER,Healthcare,58.09M,-,-,4.38,9.37,-,11.51M,11.21M,31.60%,1.85%,0.26,-128.70%,-161.00%,1.60,0.00,9.62%,57.71%,-11.92%,9.50%,15.41%,9.35%,33.44%,30.35%,-16.53%,73.48%,-44.97%,269.44%,61.25,0.00%,1.18,3.99,0.00%,0
ACH,Basic Materials,8.38B,-,0.30,0.69,4.18,15.62,680.91M,429.49M,1.60%,0.00%,0.09,0.00%,-0.10%,0.70,1.85,7.92%,-12.09%,19.00%,1.39%,1.65%,2.31%,-2.36%,31.56%,-13.77%,13.34%,-13.77%,86.52%,53.24,0.00%,0.92,8.58,0.00%,0
ACIU,Healthcare,558.91M,-,31.76,2.13,2.05,-,71.93M,37.91M,30.00%,3.25%,3.42,-22.10%,-24.20%,18.10,0.01,24.39%,34.68%,-19.39%,15.66%,10.12%,20.03%,33.12%,19.44%,-20.48%,59.04%,-41.15%,87.96%,69.92,0.00%,0.89,7.65,0.00%,0
ACOR,Healthcare,69.85M,1.42,0.42,1.15,1.11,-,47.71M,9.35M,40.50%,11.56%,0.92,6.60%,16.10%,1.10,0.73,12.17%,81.73%,-37.62%,6.72%,10.32%,10.14%,41.24%,62.94%,-12.70%,124.33%,-42.30%,198.30%,65.71,0.00%,0.33,7.56,0.00%,0
ACRX,Healthcare,271.85M,-,52.28,-,6.31,-,113.81M,88.85M,25.40%,11.82%,2.15,-60.70%,85.50%,2.90,-,21.60%,89.05%,54.17%,10.65%,16.11%,20.52%,54.90%,76.27%,-11.90%,124.24%,-11.90%,269.26%,69.07,0.00%,2.00,2.59,0.00%,0
ACST,Healthcare,161.55M,-,-,9.78,-,-,179.50M,95.08M,1.66%,1.67%,0.04,-,-,-,-,32.35%,100.67%,18.91%,11.55%,17.48%,26.25%,87.53%,84.29%,-17.40%,323.73%,-17.40%,426.32%,71.56,0.00%,1.72,0.90,0.00%,0
ACTG,Industrials,361.23M,31.63,13.84,1.73,1.19,120.41,48.47M,46.31M,69.70%,2.64%,1.58,4.00%,7.30%,2.60,0.57,20.07%,70.14%,189.52%,10.84%,10.07%,23.97%,54.92%,89.38%,-6.75%,106.32%,-6.75%,310.29%,76.97,0.00%,2.62,7.18,0.00%,0
ADAP,Healthcare,994.17M,-,310.68,2.81,2.49,-,154.67M,11.25M,90.50%,11.81%,0.85,-33.70%,-44.90%,12.20,0.00,21.75%,14.21%,67.40%,8.92%,7.89%,17.38%,29.42%,-2.34%,-6.18%,80.21%,-49.03%,241.50%,67.27,0.00%,1.37,6.83,0.00%,0
ADES,Industrials,98.18M,-,1.66,1.27,6.55,2.62,18.09M,17.94M,63.40%,4.45%,7.06,-14.50%,-24.20%,1.40,0.35,15.23%,5.92%,-48.83%,8.90%,5.48%,10.03%,7.20%,18.54%,-5.45%,27.43%,-53.29%,67.65%,60.77,0.00%,2.25,5.90,0.00%,0
ADIL,Healthcare,37.54M,-,-,5.98,5.07,-,13.65M,11.67M,9.80%,3.17%,0.61,-121.30%,-132.80%,7.50,0.00,44.65%,69.02%,74.72%,14.38%,10.23%,39.12%,52.81%,83.19%,-2.51%,94.37%,-22.25%,211.00%,80.95,0.00%,5.57,3.11,0.00%,0
ADMA,Healthcare,265.04M,-,6.58,3.38,4.44,-,87.70M,70.91M,54.50%,15.64%,3.03,-37.20%,-98.80%,8.50,1.36,11.84%,27.44%,-17.35%,8.79%,6.60%,16.35%,25.38%,8.67%,-5.52%,50.14%,-34.76%,88.97%,67.16,0.00%,1.52,2.74,0.00%,0
